organism	name
Azorhizobium	caulinodans
Buchnera	aphidicola
Buchnera	aphidicola
Buchnera	aphidicola
Buchnera	aphidicola
Buchnera	aphidicola
Buchnera	aphidicola
Buchnera	aphidicola
Buchnera	aphidicola
Buchnera	aphidicola
Buchnera	aphidicola
Buchnera	aphidicola
Buchnera	aphidicola
Buchnera	aphidicola
Buchnera	aphidicola
Buchnera	aphidicola
Cellulomonas	gilvus
Dictyoglomus	thermophilum
Methylophilus	methylotrophus
Pelobacter	carbinolicus
Phenylobacterium	immobile
Shewanella	colwelliana
Myxococcus	fulvus
Myxococcus	xanthus
Stigmatella	aurantiaca
Cystobacter	fuscus
Archangium	gephyra
Chondromyces	apiculatus
Chondromyces	crocatus
Sorangium	cellulosum
Vitreoscilla	stercoraria
Vitreoscilla	filiformis
Lysobacter	enzymogenes
Simonsiella	muelleri
Hyphomonas	jannaschiana
Flectobacillus	major
Cyclobacterium	marinum
Runella	slithyformis
Gemmata	obscuriglobus
Rubinisphaera	brasiliensis
Planctopirus	limnophila
Gimesia	maris
Blastopirellula	marina
Pirellula	staleyi
Isosphaera	pallida
Methylocystis	parvus
Borrelia	burgdorferi
Borrelia	hermsii
Borrelia	turicatae
Borrelia	anserina
Borrelia	coriaceae
Spirochaeta	thermophila
Treponema	denticola
Brachyspira	hyodysenteriae
Treponema	pallidum
Treponema	phagedenis
Treponema	bryantii
Treponema	saccharophilum
Treponema	succinifaciens
Leptospira	biflexa
Leptospira	interrogans
Leptospira	borgpetersenii
Leptospirillum	ferrooxidans
Leptonema	illini
Novispirillum	itersonii
Aquaspirillum	serpens
Azospirillum	brasilense
Azospirillum	lipoferum
Campylobacter	coli
Campylobacter	fetus
Campylobacter	fetus
Campylobacter	jejuni
Campylobacter	jejuni
Campylobacter	hyointestinalis
Campylobacter	hyointestinalis
Campylobacter	concisus
Campylobacter	curvus
Campylobacter	lari
Campylobacter	mucosalis
Campylobacter	showae
Campylobacter	sputorum
Helicobacter	pylori
Helicobacter	cinaedi
Helicobacter	felis
Helicobacter	fennelliae
Helicobacter	muridarum
Helicobacter	mustelae
Planomicrobium	okeanokoites
Flavobacterium	aquatile
Empedobacter	brevis
Terrimonas	ferruginea
Psychroflexus	gondwanensis
Chryseobacterium	indologenes
Chryseobacterium	indologenes
Myroides	odoratus
Sphingobacterium	spiritivorum
Sphingobacterium	thalpophilum
Francisella	tularensis
Paracoccus	denitrificans
Thermus	aquaticus
Thermus	thermophilus
Thermus	filiformis
Meiothermus	ruber
Xanthobacter	autotrophicus
Comamonas	testosteroni
Pseudomonas	aeruginosa
Pseudoalteromonas	atlantica
Burkholderia	cepacia
Pseudomonas	fluorescens
Pseudomonas	mendocina
Pseudomonas	putida
Pseudomonas	putida
Ralstonia	solanacearum
Pseudomonas	stutzeri
Pseudomonas	stutzeri
Pseudomonas	syringae
Ralstonia	pickettii
Xanthomonas	campestris
Xanthomonas	translucens
Xanthomonas	citri
Xanthomonas	oryzae
Azotobacter	chroococcum
Azotobacter	vinelandii
Rhizobium	rhizogenes
