,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ade_e,EX_ade_e,4.156056349409998,-29.502922340049,17.65101323897096,uptake,8.696038874924708,-45.117944458598956,76.31169348425945,uptake
1,bz_e,EX_bz_e,0.0020400726235437847,0.0018360653611894438,0.002040072623543821,uptake,0.0042565670934582665,-57.37779946664631,0.004256567093415215,uptake
2,ca2_e,EX_ca2_e,0.10618578005545393,0.0955672020499105,0.10618578005545581,uptake,0.22155431721450264,0.19939888549299667,0.2215543172145026,uptake
3,cit_e,EX_cit_e,0.10618578005545393,0.0,1000.0,uptake,0.0,0.0,135.62993319568398,secretion
4,cl_e,EX_cl_e,0.10618578005545393,0.0955672020499105,0.10618578005545613,uptake,0.22155431721450264,0.19939888549295226,0.22155431721450297,uptake
5,cobalt2_e,EX_cobalt2_e,0.0020400726235437847,0.0018360653611894438,0.002040072623543823,uptake,0.0042565670934582665,0.0038309103841105163,0.004256567093458265,uptake
6,cu2_e,EX_cu2_e,0.014464114900925425,0.013017703410833149,0.014464114900925704,uptake,0.030179060692619095,0.027161154623343547,0.030179060692618935,uptake
7,fe2_e,EX_fe2_e,0.13699087667096516,0.0,0.13699087667096785,uptake,0.0,-1000.0,18.16823565278158,secretion
8,fe3_e,EX_fe3_e,0.15928887044629875,0.1433599834016718,0.1592888704463021,uptake,0.6181812389829442,0.0,1000.0,uptake
9,glu__L_e,EX_glu__L_e,10.737310232235643,0.0,26.393617231825694,uptake,0.0,-1000.0,361.6757800394523,secretion
10,gua_e,EX_gua_e,4.939281031040574,0.0,21.175390950750245,uptake,10.353163010076695,0.0,75.62550847807638,uptake
11,ile__L_e,EX_ile__L_e,5.927002592455526,5.334302333210083,40.36614946696795,uptake,0.0,0.0,0.0,secretion
12,k_e,EX_k_e,3.9820789560738246,3.5838710604665156,3.982078956073912,uptake,8.308521006734004,7.4776689060568495,8.308521006734015,uptake
13,leu__L_e,EX_leu__L_e,9.191159591578051,8.272043632420377,9.19115959157824,uptake,0.0,0.0,0.0,secretion
14,mg2_e,EX_mg2_e,0.17697630009242327,0.1592786700831842,0.17697630009242657,uptake,0.3692571953575045,0.3323314758215872,0.36925719535750434,uptake
15,mn2_e,EX_mn2_e,0.014096901828687563,0.012687211645819067,0.014096901828687827,uptake,0.029412878615796646,0.02647159075420369,0.02941287861579663,uptake
16,nh4_e,EX_nh4_e,17.814954585822274,-1000.0,1000.0,uptake,543.1593209468148,-958.5562406184137,902.3234404228443,uptake
17,nmn_e,EX_nmn_e,0.04647285436432731,0.0,0.046472854364069505,uptake,0.0,0.0,369.31464797904914,secretion
18,no2_e,EX_no2_e,6.748458235051781,0.0,333.3333333333333,uptake,421.66121616752616,-877.1800837624596,767.162373228169,uptake
19,o2_e,EX_o2_e,985.5563368266346,0.0,1000.0,uptake,287.405096486588,0.0021357325391416094,993.2912966788393,uptake
20,pi_e,EX_pi_e,9.206684544245213,-1000.0,36.86075326216657,uptake,-958.0262898510975,-1000.0,-630.6853520209556,secretion
21,pro__L_e,EX_pro__L_e,4.509682537974718,4.058714284177329,4.509682537974816,uptake,9.40935438844418,0.0,1000.0,uptake
22,so4_e,EX_so4_e,0.08849835040932952,0.0,29.868122767308325,uptake,0.18464988051421966,0.16618489246271426,100.16618489291578,uptake
23,thr__L_e,EX_thr__L_e,5.175399036489526,0.0,74.93038659671609,uptake,23.16491917333486,0.0,1000.0,uptake
24,val__L_e,EX_val__L_e,8.632812115240313,-114.45269131850341,68.88064201483007,uptake,37.21384656230665,-937.6784061505563,37.21384656230662,uptake
25,zn2_e,EX_zn2_e,0.006956647646284299,0.006260982881655998,0.0069566476462844294,uptake,0.014514893788692676,0.01306340440981685,0.01451489378869267,uptake
26,2pglyc_e,EX_2pglyc_e,0.0,0.0,36.88287398890057,secretion,0.0,0.0,369.31464797905494,secretion
27,3oxoadp_e,EX_3oxoadp_e,0.0,0.0,140.545054927748,secretion,0.0,-246.59987853760515,0.0,secretion
28,4hphac_e,EX_4hphac_e,0.0,0.0,0.0,secretion,0.0,0.0,82.9824067660574,secretion
29,acald_e,EX_acald_e,-982.4238563154898,-1000.0,-859.4549450722507,secretion,0.0,-1000.0,1000.0,secretion
30,ala__D_e,EX_ala__D_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,1000.0,secretion
31,ala__L_e,EX_ala__L_e,0.0,0.0,70.27252746387433,secretion,-887.1616413434124,-1000.0,1000.0,secretion
32,arab__D_e,EX_arab__D_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
33,chol_e,EX_chol_e,0.0,0.0,122.22222222222265,secretion,0.0,0.0,0.0,secretion
34,co2_e,EX_co2_e,-990.2891523078099,-1000.0,549.4222716051687,secretion,-1000.0,-1000.0,-753.4001214623909,secretion
