,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,5.391662400770604,0.0,151.33136940021436,uptake,0.0,0.0,499.9981439826696,secretion
1,acald_e,EX_acald_e,415.46938045159436,-1000.0,1000.0,uptake,-374.8362543610035,-1000.0,0.0,secretion
2,arg__L_e,EX_arg__L_e,11.54664169917778,0.0,270.39197752941266,uptake,5.470802963439692,-19.361991618617864,571.6807555225207,uptake
3,bz_e,EX_bz_e,0.0039036355611976616,0.0035132720050764345,0.0039036355611962933,uptake,0.0018495439239194081,0.0016645895315150483,0.0018495439239194196,uptake
4,ca2_e,EX_ca2_e,0.20318423096033816,0.18286580786422832,0.20318423096026694,uptake,0.09626876124000514,0.08664188511600553,0.09626876124000573,uptake
5,cgly_e,EX_cgly_e,10.545007850530057,0.0,154.18332678525937,uptake,1.7044656985271702,0.0,122.96259055724195,uptake
6,cit_e,EX_cit_e,6.8486943748995355,0.0,466.0249055372462,uptake,0.10904910975428826,0.011502313662845154,1000.0,uptake
7,cl_e,EX_cl_e,0.20318423096033816,0.18286580786422837,0.20318423096026694,uptake,0.09626876124000514,0.08664188511600553,0.09626876124000665,uptake
8,cobalt2_e,EX_cobalt2_e,0.0039036355611976616,0.003513272005076437,0.0039036355611962894,uptake,0.0018495439239194081,0.0016645895315274847,0.0018495439239194196,uptake
9,cu2_e,EX_cu2_e,0.027676776128891405,0.02490909851599191,0.027676776128881704,uptake,0.013113266420588597,0.011801939778529861,0.013113266420588713,uptake
10,fe2_e,EX_fe2_e,0.262129127934423,-1000.0,0.26212912793448206,uptake,0.12419687449118828,-999.8700288493771,0.12419687449119139,uptake
11,fe3_e,EX_fe3_e,0.3047958646183135,0.2743162781563342,1000.0,uptake,0.14441238957962743,0.1299711506217136,1000.0,uptake
12,fol_e,EX_fol_e,0.026115321904412125,-22.423472651099804,0.0261153219044035,uptake,0.01237344885107372,-5.95377617673622,0.012373448851021268,uptake
13,gln__L_e,EX_gln__L_e,34.903849897825914,0.0,291.413464908181,uptake,30.316762238049073,0.0,148.71365744281712,uptake
14,ile__L_e,EX_ile__L_e,11.341193359591962,-442.2721811136958,11.34119335958799,uptake,5.373461466723822,-116.59245610863286,1000.0,uptake
15,k_e,EX_k_e,7.6196233609685615,6.857661024868854,7.619623360965891,uptake,3.610180271416013,3.2491622442793187,3.610180271416084,uptake
16,leu__L_e,EX_leu__L_e,17.587088330219444,-560.0677259451322,17.58708833021326,uptake,8.332768735873353,-992.500508137714,8.332768735873419,uptake
17,met__L_e,EX_met__L_e,6.008046455883696,0.0,6.008046455881592,uptake,2.846614557865117,0.0,2.846614557865135,uptake
18,mg2_e,EX_mg2_e,0.33864038493389703,0.3047763464403809,0.338640384933778,uptake,0.16044793540000862,0.14440314186000924,0.1604479354000096,uptake
19,mn2_e,EX_mn2_e,0.02697412172787586,0.024276709555078203,0.026974121727866382,uptake,0.012780348514283122,0.011502313662854929,0.0127803485142832,uptake
20,o2_e,EX_o2_e,727.8813737766384,0.00783459657123554,1000.0,uptake,184.76368948405218,0.0037120346548683027,1000.0,uptake
21,pi_e,EX_pi_e,38.42602219199027,-1000.0,116.79286439206481,uptake,14.539135317860158,-1000.0,25.771788950251423,uptake
22,progly_e,EX_progly_e,8.629181589805498,0.0,154.18332678525942,uptake,0.0,0.0,121.42857142857285,secretion
23,ribflv_e,EX_ribflv_e,0.017410214602941558,0.0156691931425492,0.01741021460293548,uptake,0.008248965900680555,0.007424069310613666,0.008248965900680631,uptake
24,so4_e,EX_so4_e,0.16933971064475462,0.15240573958021578,86.81907240629681,uptake,0.08023321541962396,0.07220989387766232,0.08023321541962486,uptake
25,thr__L_e,EX_thr__L_e,9.90301594613552,0.0,9.903015946132056,uptake,4.692052494273433,0.0,125.65141867345598,uptake
26,zn2_e,EX_zn2_e,0.013311397263684015,0.011980257537310642,0.013311397263679336,uptake,0.006306944780565177,0.0056762503025087185,0.006306944780565216,uptake
27,15dap_e,EX_15dap_e,0.0,-688.0351956947713,0.0,secretion,0.0,-1000.0,0.0,secretion
28,2pglyc_e,EX_2pglyc_e,0.0,0.0,999.9921654034285,secretion,0.0,0.0,998.2257306642405,secretion
29,4abut_e,EX_4abut_e,0.0,-260.00000000016195,0.0,secretion,8.960818366118657,-1000.0000000000008,1000.0,uptake
30,LalaDgluMdapDala_e,EX_LalaDgluMdapDala_e,0.0,-20.634920634932673,0.0,secretion,0.0,-18.085106382976534,0.0,secretion
31,ala_B_e,EX_ala_B_e,0.0,0.0,27.40314813976273,secretion,0.0,0.0,40.47619047618897,secretion
32,ala__D_e,EX_ala__D_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,999.9999999999997,secretion
33,ala__L_e,EX_ala__L_e,0.0,0.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
34,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
35,anhgm_e,EX_anhgm_e,0.0,-22.413793103460108,0.0,secretion,0.0,-18.085106382977962,0.0,secretion
36,but_e,EX_but_e,0.0,0.0,0.0,secretion,0.0,0.0,121.42857142856691,secretion
37,chol_e,EX_chol_e,0.0,0.0,260.0000000001484,secretion,0.0,0.0,121.42857142858354,secretion
38,co2_e,EX_co2_e,-754.2416548195137,-1000.0,-311.9648043052273,secretion,-634.88818520495,-1000.0,140.99715304331352,secretion
39,enter_e,EX_enter_e,0.0,-137.74834437094137,0.0,secretion,0.0,-0.12418417296142475,0.0,secretion
40,feenter_e,EX_feenter_e,0.0,0.0,137.74834437094069,secretion,0.0,0.0,0.12418417296142649,secretion
41,glcur_e,EX_glcur_e,0.0,0.0,0.0,secretion,0.0,-77.2727272727399,0.0,secretion
42,glu__L_e,EX_glu__L_e,0.0,0.0,260.0000000001579,secretion,0.0,0.0,121.42857142858793,secretion
43,glyb_e,EX_glyb_e,0.0,-260.0000000001403,0.0,secretion,0.0,-121.42857142859972,0.0,secretion
44,h2o_e,EX_h2o_e,0.0,-1000.0,1000.0,secretion,-734.0782831817917,-1000.0,1000.0,secretion
45,h2s_e,EX_h2s_e,0.0,-196.60022311610234,260.00000000014967,secretion,0.0,-121.42857142855463,62.76227182967158,secretion
46,h_e,EX_h_e,-550.7325038496275,-1000.0,294.79909974131783,secretion,-352.94788227972845,-1000.0,950.5857846679505,secretion
47,lcts_e,EX_lcts_e,0.0,0.0,81.25000000004817,secretion,0.0,0.0,65.38461538461665,secretion
48,lys__L_e,EX_lys__L_e,0.0,0.0,688.0351956947776,secretion,6.346913424761077,-115.7163493462781,1000.0,uptake
49,murein4p3p_e,EX_murein4p3p_e,0.0,-1000.0000000000001,0.0,secretion,0.0,-1000.0,0.0,secretion
50,murein4p4p_e,EX_murein4p4p_e,0.0,-1000.0000000000001,0.0,secretion,0.0,-1000.0,0.0,secretion
51,murein4px4p_e,EX_murein4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
52,murein4px4px4p_e,EX_murein4px4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
53,murein5p3p_e,EX_murein5p3p_e,0.0,0.0,1000.0000000000014,secretion,0.0,0.0,1000.0,secretion
54,murein5p4p_e,EX_murein5p4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
55,murein5p5p5p_e,EX_murein5p5p5p_e,0.0,-1000.0000000000003,500.00000000000006,secretion,0.0,-1000.0,1000.0,secretion
56,murein5p5p_e,EX_murein5p5p_e,0.0,-499.9999999999997,1000.0,secretion,0.0,-500.09061511480274,1000.0,secretion
57,murein5px3p_e,EX_murein5px3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
58,murein5px4p_e,EX_murein5px4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
59,murein5px4px4p_e,EX_murein5px4px4p_e,0.0,-500.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
60,nh4_e,EX_nh4_e,-426.3871951073189,-1000.0,508.7819898378157,secretion,0.0,-1000.0,1000.0,secretion
61,no2_e,EX_no2_e,0.0,0.0,0.0,secretion,5.113785499805538,0.0,903.843994774985,uptake
62,orn_e,EX_orn_e,0.0,0.0,260.00000000016064,secretion,309.7201937263661,-121.42857142851756,1000.0,uptake
63,ppa_e,EX_ppa_e,0.0,0.0,130.0000000000761,secretion,0.0,0.0,121.42857142857225,secretion
64,pro__L_e,EX_pro__L_e,0.0,-266.2652179668029,8.629181589804372,secretion,-305.63168440534605,-1000.0,4.088509321020077,secretion
65,rib__D_e,EX_rib__D_e,0.0,0.0,130.00000000007356,secretion,0.0,0.0,91.33934097173372,secretion
66,s_e,EX_s_e,0.0,-137.01574069881295,0.0,secretion,0.0,-121.42857142856938,0.0,secretion
67,spmd_e,EX_spmd_e,0.0,-39.12187322541873,0.0,secretion,0.0,-20.1151411161179,0.0,secretion
68,succ_e,EX_succ_e,-17.299390390271064,-546.8527249278444,0.003877828176740053,secretion,-8.958968822194738,-989.2063187466542,22.67309989771888,secretion
69,uaagmda_e,EX_uaagmda_e,0.0,0.0,1000.0,secretion,1.8495439239194083,-0.18123022959969148,1000.0,uptake
70,udcpdp_e,EX_udcpdp_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0000000000011,secretion
71,udcpo5_e,EX_udcpo5_e,0.0,-6.250000000003728,0.0,secretion,0.0,-18.08510638297849,0.0,secretion
72,udcpp_e,EX_udcpp_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
73,ura_e,EX_ura_e,-656.3601749526803,-1000.0,-383.6976134471263,secretion,6.118198823129215,0.0,45.982569417007426,uptake
74,val__L_e,EX_val__L_e,-113.58772511518887,-985.1331679178794,317.8560756204053,secretion,-290.97353093598605,-992.9560896466354,1000.0,secretion
