,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,acald_e,EX_acald_e,837.2646691062132,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
1,arg__L_e,EX_arg__L_e,689.4033648427621,353.7963617152129,1000.0,uptake,2.8371414092216067,2.553427268299589,1000.0,uptake
2,ca2_e,EX_ca2_e,0.2897769977738721,0.2607992979985058,0.2897769977738723,uptake,0.049924680298988694,0.04493221226909234,0.04992468029898892,uptake
3,cl_e,EX_cl_e,0.2897769977738721,0.2607992979985058,0.28977699777387256,uptake,0.049924680298988694,0.04493221226909227,0.04992468029898867,uptake
4,cobalt2_e,EX_cobalt2_e,0.005567281417365462,0.005010553275667741,0.005567281417365463,uptake,0.0009591677290871993,0.0008632509561785276,0.0009591677290872036,uptake
5,cu2_e,EX_cu2_e,0.03947202524912111,0.03552482272448427,0.03947202524912113,uptake,0.00680049919922824,0.006120449279305758,0.006800499199228231,uptake
6,etoh_e,EX_etoh_e,135.3591152889115,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
7,fe2_e,EX_fe2_e,0.8085362802439863,-999.9999999999993,0.8085362802439868,uptake,0.06440811300820544,0.0,3.1443870547920914,uptake
8,glu__L_e,EX_glu__L_e,56.15455103469918,-949.4720776021645,451.9784150090759,uptake,-673.7555917584253,-1000.0,645.8265357515317,secretion
9,h2_e,EX_h2_e,1000.0,-1000.0,1000.0,uptake,0.0,0.0,1000.0,secretion
10,h2o_e,EX_h2o_e,1000.0,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
11,h2s_e,EX_h2s_e,5.123346397144741,-331.24383699637315,338.7487063245908,uptake,0.0,-11.054265261646664,63.33038807130753,secretion
12,ile__L_e,EX_ile__L_e,16.174567029057716,-686.1174133964778,16.174567029057723,uptake,2.7866604116397515,-99.78736057142041,2.786660411639752,uptake
13,k_e,EX_k_e,10.866943616998178,9.78024925537415,10.866943616998245,uptake,1.8722282654371794,1.6850054388935556,1.8722282654371951,uptake
14,leu__L_e,EX_leu__L_e,25.082328642470802,-327.76316608297026,25.082328642470824,uptake,4.321347961533852,3.8892131653806907,4.321347961533849,uptake
15,lys__L_e,EX_lys__L_e,19.104738584645485,0.0,717.8687884490514,uptake,0.0,-62.499999999967876,0.0,secretion
16,mal__L_e,EX_mal__L_e,492.3037113863389,-1000.0,1000.0,uptake,143.44569009404424,-1000.0,1000.0,uptake
17,met__L_e,EX_met__L_e,8.556132119092268,0.0,8.568494971127333,uptake,1.4762454601608146,0.0,11.532702546792377,uptake
18,mg2_e,EX_mg2_e,0.4829616629564537,0.4346654966641765,0.48296166295645376,uptake,0.08320780049831451,0.07488702044848725,0.08320780049831489,uptake
19,mn2_e,EX_mn2_e,0.038469914593995375,0.03462292313486412,0.03846991459399538,uptake,0.006627849007992553,0.005965064107193631,0.006627849007992583,uptake
20,no2_e,EX_no2_e,234.9912773725565,-1000.0000000000024,1000.0,uptake,-406.4804136098527,-999.3076727331448,27.777777777759745,secretion
21,o2_e,EX_o2_e,1000.0,0.0,1000.0,uptake,0.008555776143457802,0.007700198529111952,8.942241315760262,uptake
22,pro__L_e,EX_pro__L_e,12.306753937157236,-389.6851122536002,12.306753937157307,uptake,2.1202882235336875,-1000.0,12.37395039826548,uptake
23,ptrc_e,EX_ptrc_e,672.9357917927085,-356.94276851220775,863.7995801421557,uptake,0.0,0.0,26.31578947367149,secretion
24,pyr_e,EX_pyr_e,714.0331438848264,-1000.0,1000.0,uptake,0.0,0.0,0.0,secretion
25,ser__L_e,EX_ser__L_e,23.868160238157536,0.0,1000.0,uptake,-379.2367265875948,-1000.0,808.6869460710667,secretion
26,so4_e,EX_so4_e,0.24150866788531383,0.2173578010984667,115.43474909741232,uptake,0.04160869608780272,0.03744782647902453,11.23011110001587,uptake
