,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,alaala_e,EX_alaala_e,2.8637037456092256,-22.22222222222184,1000.0,uptake,0.0,-17.50000000000015,0.0,secretion
1,arab__L_e,EX_arab__L_e,19.507979470649346,-1000.0000000000006,1000.0,uptake,-34.94413575966934,-999.9999999999998,999.9999999999999,secretion
2,ca2_e,EX_ca2_e,0.1490557799589601,0.1341502019630642,0.14905577995896033,uptake,0.27953094796996064,0.2515778531679474,0.27953094796438627,uptake
3,chtbs_e,EX_chtbs_e,2.8637037456092256,0.0,7.7055384992534695,uptake,5.370431277040553,0.0,92.33338814924211,uptake
4,cl_e,EX_cl_e,0.1490557799589601,0.1341502019630642,0.14905577995896024,uptake,0.27953094796996064,0.2515778531679474,0.2795309479643865,uptake
5,cobalt2_e,EX_cobalt2_e,0.002863703745609226,0.002577333371048305,0.0028637037456092267,uptake,0.005370431277040554,0.0048333881492401065,0.005370431276933452,uptake
6,cu2_e,EX_cu2_e,0.0203036595563694,0.018273293600732474,0.020303659556369365,uptake,0.038076357754217506,0.034268721978112336,0.038076357753458204,uptake
7,fe2_e,EX_fe2_e,0.19229770651765954,-999.7987618103888,0.19229770651696654,uptake,-486.58321307527126,-1000.0,20.912797308339663,secretion
8,fe3_e,EX_fe3_e,0.2235979884571684,0.2012381896114448,1000.0,uptake,487.3631608096359,0.377390946700757,1000.0,uptake
9,glyclt_e,EX_glyclt_e,0.002863703745609226,-35.90770491878288,0.0028637037456094028,uptake,-0.03592818524340177,-822.6071432239527,-0.03233536671841897,secretion
10,h2s_e,EX_h2s_e,4.531725266314222,-107.22016103565232,7.156634918839937,uptake,13.226727783597656,-338.09594499499065,361.9040550050068,uptake
11,indole_e,EX_indole_e,1.627815120116652,1.4650336081049882,1.6278151201166549,uptake,-789.4036930848673,-1000.0,0.0,secretion
12,k_e,EX_k_e,5.589749252167024,5.030774326950325,5.589749252167033,uptake,10.482705922593782,9.434435330146254,10.482705922384737,uptake
13,mg2_e,EX_mg2_e,0.24842629993160026,0.22358366993844042,0.24842629993160037,uptake,0.4658849132832679,0.4192964219465791,0.4658849132739768,uptake
14,mn2_e,EX_mn2_e,0.019788192882159765,0.017809373593943804,0.019788192882159772,uptake,0.03710968012435026,0.03339871211124916,0.037109680123610184,uptake
15,o2_e,EX_o2_e,449.58320689186377,0.04834433070754492,1000.0,uptake,35.37014386899543,-0.005958002759939518,1000.0,uptake
16,pnto__R_e,EX_pnto__R_e,0.016494933574709752,-67.82247611246636,0.016494933574706484,uptake,0.030933684155754735,-174.97215968426744,0.03093368415509462,uptake
