,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,3mb_e,EX_3mb_e,2.2895597816520317,0.0,12.90187312213071,uptake,13.336726341968294,0.0,13.33672634196831,uptake
1,alaala_e,EX_alaala_e,2.8637037456092256,-22.22222222222184,1000.0,uptake,34.97286962195583,-22.222222222222477,270.7923366374933,uptake
2,ca2_e,EX_ca2_e,0.1490557799589601,0.1341502019630642,0.14905577995896033,uptake,0.15407965403034396,0.1386716886273095,0.15407965403034388,uptake
3,cgly_e,EX_cgly_e,2.639074823803639,0.0,113.61797875594259,uptake,17.020280952778222,0.0,217.55700802887276,uptake
4,cl_e,EX_cl_e,0.1490557799589601,0.1341502019630642,0.14905577995896024,uptake,0.15407965403034396,0.1386716886273095,0.15407965403034415,uptake
5,cobalt2_e,EX_cobalt2_e,0.002863703745609226,0.002577333371048305,0.0028637037456092267,uptake,0.0029602239006790406,0.002664201510611135,0.0029602239006790423,uptake
6,cu2_e,EX_cu2_e,0.0203036595563694,0.018273293600732474,0.020303659556369365,uptake,0.02098798745581439,0.01888918871023294,0.020987987455814372,uptake
7,fe2_e,EX_fe2_e,0.19229770651765954,-999.7987618103888,0.19229770651696654,uptake,0.0,-333.8643131347397,0.19877903493059765,secretion
8,fe3_e,EX_fe3_e,0.2235979884571684,0.2012381896114448,1000.0,uptake,0.42991331709561714,0.20802085394851694,334.25123512012374,uptake
9,glyclt_e,EX_glyclt_e,0.002863703745609226,-35.90770491878288,0.0028637037456094028,uptake,-0.019803897895542932,-107.19506248862545,-0.01782350810598743,secretion
10,h2s_e,EX_h2s_e,4.531725266314222,-107.22016103565232,7.156634918839937,uptake,0.0,-200.00000000000057,100.69330959944301,secretion
11,k_e,EX_k_e,5.589749252167024,5.030774326950325,5.589749252167033,uptake,5.778149838452447,5.2003348546072,5.7781498384524435,uptake
12,mg2_e,EX_mg2_e,0.24842629993160026,0.22358366993844042,0.24842629993160037,uptake,0.2567994233839067,0.2311194810455159,0.2567994233839068,uptake
13,mn2_e,EX_mn2_e,0.019788192882159765,0.017809373593943804,0.019788192882159772,uptake,0.020455147153692187,0.01840963243832296,0.020455147153692198,uptake
14,o2_e,EX_o2_e,449.58320689186377,0.04834433070754492,1000.0,uptake,535.743005172236,8.259957153429104,1000.0,uptake
15,tartr__D_e,EX_tartr__D_e,18.830226705179335,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
16,urea_e,EX_urea_e,47.95327764245777,-33.33333333333245,1000.0,uptake,0.0,-39.99999999999706,0.0,secretion
17,zn2_e,EX_zn2_e,0.009765229772527452,0.008788706795274713,0.009765229772527455,uptake,0.01009436350131552,0.009084927151183964,0.010094363501315526,uptake
18,14glucan_e,EX_14glucan_e,0.0,0.0,27.894921517083855,secretion,0.0,0.0,102.03348034798967,secretion
19,4abut_e,EX_4abut_e,0.0,-1000.0,0.0,secretion,0.0,-200.0000000000016,0.0,secretion
20,4hphac_e,EX_4hphac_e,0.0,0.0,499.97582783464657,secretion,4.088631649378888,0.0,4.0886316493788915,uptake
21,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,-970.1020642277706,-1000.0,-739.8205367220415,secretion
22,acald_e,EX_acald_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
23,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-18.1818181818182,541.5846732749862,secretion
24,asp__L_e,EX_asp__L_e,0.0,0.0,200.0000000000019,secretion,31.571439150000124,-951.8839612360459,126.84295954482597,uptake
25,but_e,EX_but_e,0.0,0.0,0.0,secretion,12.543593552259235,0.0,25.539703853084095,uptake
26,co2_e,EX_co2_e,-163.97899836992937,-1000.0,43.87875270208946,secretion,-1000.0,-1000.0,-799.999999999998,secretion
27,dca_e,EX_dca_e,0.0,0.0,21.818181818181788,secretion,0.0,0.0,25.531914893617127,secretion
28,enlipa_e,EX_enlipa_e,0.0,-3.9215686274513106,0.0,secretion,0.0,-3.8461538461539804,0.0,secretion
