,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,alaala_e,EX_alaala_e,2.8637037456092256,-22.22222222222184,1000.0,uptake,0.0,-1000.0,0.0,secretion
1,arab__L_e,EX_arab__L_e,19.507979470649346,-1000.0000000000006,1000.0,uptake,0.0,-1000.0,1000.0,secretion
2,ca2_e,EX_ca2_e,0.1490557799589601,0.1341502019630642,0.14905577995896033,uptake,0.07979717627458366,0.07181745864712534,0.0797971762745839,uptake
3,cl_e,EX_cl_e,0.1490557799589601,0.1341502019630642,0.14905577995896024,uptake,0.07979717627458366,0.07181745864712534,0.07979717627458327,uptake
4,cobalt2_e,EX_cobalt2_e,0.002863703745609226,0.002577333371048305,0.0028637037456092267,uptake,0.0015330869601264882,0.00137977826411384,0.0015330869601264821,uptake
5,cu2_e,EX_cu2_e,0.0203036595563694,0.018273293600732474,0.020303659556369365,uptake,0.010869586547296795,0.009782627892567121,0.010869586547296792,uptake
6,fe2_e,EX_fe2_e,0.19229770651765954,-999.7987618103888,0.19229770651696654,uptake,0.22265021921916991,-999.7996148026913,5.75594075285296,uptake
7,fe3_e,EX_fe3_e,0.2235979884571684,0.2012381896114448,1000.0,uptake,0.0,0.0,1000.0,secretion
8,fol_e,EX_fol_e,0.019158178058128195,-35.89303989190191,0.019158178058126384,uptake,0.010256351763246173,0.009230716586921539,0.010256351763242707,uptake
9,glyc3p_e,EX_glyc3p_e,964.2402726767161,695.5971478455408,1000.0,uptake,0.0,-16.666666666666046,56.43919716668754,secretion
10,h2s_e,EX_h2s_e,4.531725266314222,-107.22016103565232,7.156634918839937,uptake,1.4108386059260019,-98.73024525466585,1000.0,uptake
11,k_e,EX_k_e,5.589749252167024,5.030774326950325,5.589749252167033,uptake,2.9924784300797,2.6932305870717315,2.9924784300797,uptake
12,mal__L_e,EX_mal__L_e,0.016494933574712434,0.0,1000.0,uptake,63.86923062583596,0.0,1000.0,uptake
13,mg2_e,EX_mg2_e,0.24842629993160026,0.22358366993844042,0.24842629993160037,uptake,0.1329952937909728,0.1196957644118756,0.13299529379097227,uptake
14,mn2_e,EX_mn2_e,0.019788192882159765,0.017809373593943804,0.019788192882159772,uptake,0.010593630894474041,0.009534267805026643,0.010593630894474002,uptake
15,o2_e,EX_o2_e,449.58320689186377,0.04834433070754492,1000.0,uptake,0.029925857461669057,0.0269332717198977,1000.0,uptake
16,pnto__R_e,EX_pnto__R_e,0.016494933574709752,-67.82247611246636,0.016494933574706484,uptake,0.0,0.0,14.28571428571441,secretion
17,pro__L_e,EX_pro__L_e,6.330360314856481,-197.81464037468183,6.330360314856492,uptake,0.0,-1000.0,3.3889653797065837,secretion
18,urea_e,EX_urea_e,47.95327764245777,-33.33333333333245,1000.0,uptake,0.0,-50.000000000000945,0.0,secretion
19,zn2_e,EX_zn2_e,0.009765229772527452,0.008788706795274713,0.009765229772527455,uptake,0.00522782653403132,0.004705043880628191,0.0052278265340313,uptake
20,4abut_e,EX_4abut_e,0.0,-1000.0,0.0,secretion,11.272589116505248,0.0,1000.0000000000007,uptake
21,4abz_e,EX_4abz_e,0.0,-49.99999999999974,35.91028225215445,secretion,0.0,-25.00000000000147,0.0,secretion
22,4hphac_e,EX_4hphac_e,0.0,0.0,499.97582783464657,secretion,2.1174843784571067,0.0,2.1174843784571107,uptake
23,abt__L_e,EX_abt__L_e,-19.507979470649346,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
24,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,0.0,-999.9857606883143,0.0,secretion
25,acald_e,EX_acald_e,0.0,-1000.0,1000.0,secretion,-186.79042219867054,-999.9999999999997,999.9999999999995,secretion
26,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
27,ala__L_e,EX_ala__L_e,0.0,-1000.0,1000.0,secretion,-70.1343552952429,-1000.0,1000.0,secretion
28,asp__L_e,EX_asp__L_e,0.0,0.0,200.0000000000019,secretion,14.223551551704738,-987.2018805089959,1000.0,uptake
29,chol_e,EX_chol_e,0.0,-40.089443777308105,0.0,secretion,0.0,0.0,1000.0,secretion
