,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,arab__L_e,EX_arab__L_e,19.507979470649346,-1000.0000000000006,1000.0,uptake,0.0,0.0,0.0,secretion
1,ca2_e,EX_ca2_e,0.1490557799589601,0.1341502019630642,0.14905577995896033,uptake,0.16354729398905182,0.14719256459014327,0.16354729398904827,uptake
2,cgly_e,EX_cgly_e,2.639074823803639,0.0,113.61797875594259,uptake,0.0,0.0,202.58979732279923,secretion
3,cl_e,EX_cl_e,0.1490557799589601,0.1341502019630642,0.14905577995896024,uptake,0.16354729398905182,0.14719256459014332,0.16354729398904957,uptake
4,cobalt2_e,EX_cobalt2_e,0.002863703745609226,0.002577333371048305,0.0028637037456092267,uptake,0.003142119000750277,0.0028279071006751845,0.003142119000750209,uptake
5,cu2_e,EX_cu2_e,0.0203036595563694,0.018273293600732474,0.020303659556369365,uptake,0.022277623715319453,0.020049861343787074,0.022277623715318957,uptake
6,fe2_e,EX_fe2_e,0.19229770651765954,-999.7987618103888,0.19229770651696654,uptake,0.21099329089926966,-1000.0,0.21099329090133853,uptake
7,fe3_e,EX_fe3_e,0.2235979884571684,0.2012381896114448,1000.0,uptake,0.2453366515785817,0.0,1000.0,uptake
8,fol_e,EX_fol_e,0.019158178058128195,-35.89303989190191,0.019158178058126384,uptake,0.021020776115019176,-17.372385649322183,0.02102077611501918,uptake
9,glycogen1500_e,EX_glycogen1500_e,0.058141395319938394,0.0,1.5750893198147342,uptake,0.0,0.0,2.3043389201832465,secretion
10,h2s_e,EX_h2s_e,4.531725266314222,-107.22016103565232,7.156634918839937,uptake,2.8775525808452866,-50.00000000000067,202.58979732279622,uptake
11,k_e,EX_k_e,5.589749252167024,5.030774326950325,5.589749252167033,uptake,6.133196341134496,5.51987670702092,6.133196341134365,uptake
12,mal__L_e,EX_mal__L_e,0.016494933574712434,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
13,mg2_e,EX_mg2_e,0.24842629993160026,0.22358366993844042,0.24842629993160037,uptake,0.2725788233150864,0.2453209409835722,0.27257882331508654,uptake
14,mn2_e,EX_mn2_e,0.019788192882159765,0.017809373593943804,0.019788192882159772,uptake,0.02171204229518443,0.01954083806566554,0.02171204229518396,uptake
15,o2_e,EX_o2_e,449.58320689186377,0.04834433070754492,1000.0,uptake,0.0,0.0,150.00601375392876,secretion
16,pnto__R_e,EX_pnto__R_e,0.016494933574709752,-67.82247611246636,0.016494933574706484,uptake,0.0,0.0,20.000000000000338,secretion
17,pro__L_e,EX_pro__L_e,6.330360314856481,-197.81464037468183,6.330360314856492,uptake,0.0,0.0,6.945811157108384,secretion
18,thm_e,EX_thm_e,0.006386059352708569,0.005747453417437709,0.006386059352708572,uptake,0.007006925371673113,0.0,0.007006925371672965,uptake
19,zn2_e,EX_zn2_e,0.009765229772527452,0.008788706795274713,0.009765229772527455,uptake,0.010714625792558436,0.009643163213300276,0.010714625792557442,uptake
20,4abut_e,EX_4abut_e,0.0,-1000.0,0.0,secretion,0.0,-200.00000000001023,0.0,secretion
21,4hphac_e,EX_4hphac_e,0.0,0.0,499.97582783464657,secretion,0.0,0.0,0.0,secretion
22,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,-1000.0,-1000.0,-799.999999999998,secretion
23,acald_e,EX_acald_e,0.0,-1000.0,1000.0,secretion,20.440458156770788,-1000.0,1000.0,uptake
24,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
25,ala__L_e,EX_ala__L_e,0.0,-1000.0,1000.0,secretion,0.0,-999.9999999999959,1000.0,secretion
26,amylose300_e,EX_amylose300_e,0.0,0.0,10.0,secretion,0.0,0.0,10.0,secretion
27,asp__L_e,EX_asp__L_e,0.0,0.0,200.0000000000019,secretion,38.45105284784133,34.60594756309422,1000.0,uptake
28,chol_e,EX_chol_e,0.0,-40.089443777308105,0.0,secretion,0.0,0.0,0.0,secretion
29,co2_e,EX_co2_e,-163.97899836992937,-1000.0,43.87875270208946,secretion,-736.7165151803526,-1000.0,85.64643434771108,secretion
30,enter_e,EX_enter_e,0.0,-0.19226073521922366,0.0,secretion,0.0,-0.4554037212156611,0.0,secretion
31,etha_e,EX_etha_e,0.0,-25.000000000000195,0.0,secretion,0.0,-28.57142857142858,0.0,secretion
32,feenter_e,EX_feenter_e,0.0,0.0,0.19226073521922396,secretion,0.0,0.0,0.45540372121565553,secretion
33,g3pe_e,EX_g3pe_e,0.0,-22.22222222222245,0.0,secretion,0.0,-24.999999999999446,0.0,secretion
34,glc__D_e,EX_glc__D_e,0.0,-1000.0,181.31698986104507,secretion,0.0,-1000.0,728.2541901374485,secretion
35,glcur_e,EX_glcur_e,0.0,-104.905680230123,0.0,secretion,0.0,-100.00000000000155,0.0,secretion
36,gln__L_e,EX_gln__L_e,0.0,0.0,1000.0,secretion,0.0,0.0,210.12732918800876,secretion
37,glu__L_e,EX_glu__L_e,0.0,-999.9999999999993,999.9999999999993,secretion,26.59310421451992,-197.96464214341393,46.0529850376754,uptake
38,gua_e,EX_gua_e,0.0,0.0,0.0,secretion,7.607478576286535,0.0,24.239680170701266,uptake
39,h2o_e,EX_h2o_e,-289.2004236782943,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
40,h_e,EX_h_e,-760.4986762064044,-1000.0,1000.0,secretion,-256.12655468691906,-1000.0,220.4205999646901,secretion
41,hxan_e,EX_hxan_e,0.0,0.0,0.0,secretion,6.401156249520277,0.0,30.553752127628858,uptake
42,ile__L_e,EX_ile__L_e,0.0,0.0,0.0,secretion,0.0,0.0,9.087289039937206,secretion
43,lac__D_e,EX_lac__D_e,-887.724041594065,-1000.0,1000.0000000000002,secretion,-365.5156100237128,-1000.0,1000.0,secretion
44,lac__L_e,EX_lac__L_e,-0.016494933574712434,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
45,lcts_e,EX_lcts_e,0.0,0.0,79.74848061365415,secretion,0.0,0.0,364.1270950687226,secretion
46,leu__L_e,EX_leu__L_e,0.0,0.0,0.0,secretion,0.0,0.0,14.056725107627111,secretion
47,malt_e,EX_malt_e,-21.8030232449769,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
48,malttr_e,EX_malttr_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,182.06354753436963,secretion
49,melib_e,EX_melib_e,0.0,0.0,79.74848061365236,secretion,171.62952318056088,0.0,364.1270950687237,uptake
