,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,alaala_e,EX_alaala_e,34.97286962195583,-22.222222222222477,270.7923366374933,uptake,0.0,-1000.0,0.0,secretion
1,asp__L_e,EX_asp__L_e,31.571439150000124,-951.8839612360459,126.84295954482597,uptake,32.79598989380755,25.98486460026119,157.2322935510125,uptake
2,bz_e,EX_bz_e,0.0029602239006790406,0.0,0.002960223900679182,uptake,0.0,-999.9999999999995,0.0,secretion
3,ca2_e,EX_ca2_e,0.15407965403034396,0.1386716886273095,0.15407965403034388,uptake,0.20423993792424236,0.18381594413181815,0.20423993792424222,uptake
4,cgly_e,EX_cgly_e,17.020280952778222,0.0,217.55700802887276,uptake,3.6022745477923603,0.0,1000.0,uptake
5,cl_e,EX_cl_e,0.15407965403034396,0.1386716886273095,0.15407965403034415,uptake,0.20423993792424236,0.18381594413181815,0.20423993792424242,uptake
6,cobalt2_e,EX_cobalt2_e,0.0029602239006790406,0.002664201510611135,0.0029602239006790423,uptake,0.003923918115739529,0.0035315263041655765,0.003923918115739528,uptake
7,cu2_e,EX_cu2_e,0.02098798745581439,0.01888918871023294,0.020987987455814372,uptake,0.0,-249.99999999999733,0.0,secretion
8,dextrin_e,EX_dextrin_e,257.90797913107116,0.0,357.11718121796486,uptake,0.0,0.0,134.66569920634439,secretion
9,fe3_e,EX_fe3_e,0.42991331709561714,0.20802085394851694,334.25123512012374,uptake,0.5698706279488519,0.0,1000.0,uptake
10,gln__L_e,EX_gln__L_e,44.03756364277869,0.0,1000.0,uptake,0.0,0.0,116.03972631204908,secretion
11,k_e,EX_k_e,5.778149838452447,5.2003348546072,5.7781498384524435,uptake,7.659213487655469,6.893292138889922,7.659213487655466,uptake
12,mg2_e,EX_mg2_e,0.2567994233839067,0.2311194810455159,0.2567994233839068,uptake,0.34039989654040403,0.30635990688636366,0.34039989654040403,uptake
13,mn2_e,EX_mn2_e,0.020455147153692187,0.01840963243832296,0.020455147153692198,uptake,0.02711427417976017,0.024402846761784152,0.027114274179760162,uptake
14,nh4_e,EX_nh4_e,27.575136884080393,-1000.0,1000.0,uptake,-1000.0,-1000.0,-499.99999999999767,secretion
15,o2_e,EX_o2_e,535.743005172236,8.259957153429104,1000.0,uptake,577.9124146239699,0.31265485252268077,1000.0,uptake
16,trp__L_e,EX_trp__L_e,1.6826800718629868,-23.485587935322858,1.682680071862986,uptake,0.0,-997.9925745029204,1000.0,secretion
17,zn2_e,EX_zn2_e,0.01009436350131552,0.009084927151183964,0.010094363501315526,uptake,0.013380560774671783,0.012042504697204606,0.013380560774671781,uptake
18,4abut_e,EX_4abut_e,0.0,-200.0000000000016,0.0,secretion,0.003923918115739529,-999.9964684736955,0.003923918115739523,uptake
19,LalaDgluMdapDala_e,EX_LalaDgluMdapDala_e,0.0,-18.181818181818315,0.0,secretion,0.0,-19.230769230768654,0.0,secretion
20,acald_e,EX_acald_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
21,ala__D_e,EX_ala__D_e,0.0,-18.1818181818182,541.5846732749862,secretion,0.0,-1000.0,1000.0,secretion
22,alltn_e,EX_alltn_e,0.0,0.0,61.230473012549346,secretion,0.0,0.0,166.6666666666611,secretion
