,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,4.088631649378888,0.0,4.0886316493788915,uptake,0.0,0.0,0.0,secretion
1,alaala_e,EX_alaala_e,34.97286962195583,-22.222222222222477,270.7923366374933,uptake,0.0,-1000.0,0.0,secretion
2,bz_e,EX_bz_e,0.0029602239006790406,0.0,0.002960223900679182,uptake,0.0023935252411675574,-878.3967524676519,0.0023909976822638884,uptake
3,ca2_e,EX_ca2_e,0.15407965403034396,0.1386716886273095,0.15407965403034388,uptake,0.12458298880277129,0.11212468992249437,0.12458298880277123,uptake
4,cgly_e,EX_cgly_e,17.020280952778222,0.0,217.55700802887276,uptake,0.0,0.0,89.01636356697381,secretion
5,cl_e,EX_cl_e,0.15407965403034396,0.1386716886273095,0.15407965403034415,uptake,0.12458298880277129,0.11212468992249437,0.1245829888027714,uptake
6,cobalt2_e,EX_cobalt2_e,0.0029602239006790406,0.002664201510611135,0.0029602239006790423,uptake,0.0023935252411675574,0.002154172717050806,0.0023935252411320107,uptake
7,cu2_e,EX_cu2_e,0.02098798745581439,0.01888918871023294,0.020987987455814372,uptake,0.016970093959877974,0.015273084563890206,0.01697009395987798,uptake
8,fe3_e,EX_fe3_e,0.42991331709561714,0.20802085394851694,334.25123512012374,uptake,0.18688645083036293,0.16819780574732696,0.18688645083036298,uptake
9,gln__L_e,EX_gln__L_e,44.03756364277869,0.0,1000.0,uptake,16.86090133837591,0.0,308.59586383611463,uptake
10,k_e,EX_k_e,5.778149838452447,5.2003348546072,5.7781498384524435,uptake,4.6719937239921965,4.204794351592985,4.671993723992195,uptake
11,mg2_e,EX_mg2_e,0.2567994233839067,0.2311194810455159,0.2567994233839068,uptake,0.20763831467128555,0.18687448320415737,0.20763831467128543,uptake
12,mn2_e,EX_mn2_e,0.020455147153692187,0.01840963243832296,0.020455147153692198,uptake,0.016539259416467833,0.01488533347482108,0.016539259416467826,uptake
13,nh4_e,EX_nh4_e,27.575136884080393,-1000.0,1000.0,uptake,-1000.0,-1000.0,-344.1176470588364,secretion
14,o2_e,EX_o2_e,535.743005172236,8.259957153429104,1000.0,uptake,642.6786402612981,185.17489228702254,1000.0,uptake
15,zn2_e,EX_zn2_e,0.01009436350131552,0.009084927151183964,0.010094363501315526,uptake,0.008161921072381364,0.0073457289651432415,0.00816192107238136,uptake
16,12ppd__S_e,EX_12ppd__S_e,0.0,-1000.0,0.0,secretion,0.0,0.0,35.95614317961889,secretion
17,14glucan_e,EX_14glucan_e,0.0,0.0,102.03348034798967,secretion,87.15393822402653,9.3149987352673,117.20707733118066,uptake
18,2pglyc_e,EX_2pglyc_e,0.0,0.0,107.17426839583634,secretion,0.0,0.0,87.63603796140117,secretion
19,4hbz_e,EX_4hbz_e,0.0,0.0,6.060606060606109,secretion,0.0,-1000.0,0.0,secretion
20,LalaDgluMdapDala_e,EX_LalaDgluMdapDala_e,0.0,-18.181818181818315,0.0,secretion,0.0,-6.232532140860616,0.0,secretion
21,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-18.181818181818205,0.0,secretion,0.0,-6.232532140860753,0.0,secretion
22,acald_e,EX_acald_e,0.0,-1000.0,1000.0,secretion,60.9354187407498,-1000.0,955.1934783043073,uptake
23,ala__D_e,EX_ala__D_e,0.0,-18.1818181818182,541.5846732749862,secretion,0.0,-1000.0,0.0,secretion
