,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,28.01832167217496,0.0,250.21648950496296,uptake,0.0,0.0,199.99999999999721,secretion
1,adn_e,EX_adn_e,14.027925094584155,-1000.0,162.62513258512428,uptake,12.09818894616144,0.0,655.550242980893,uptake
2,anhgm_e,EX_anhgm_e,4.691064622730181,4.22195816045712,89.83593986605574,uptake,0.0,-47.32318546630131,0.0,secretion
3,bz_e,EX_bz_e,0.004691064622730182,0.004221958160457895,0.004691064622730187,uptake,0.006648890923272183,-999.9940159981728,0.006648890923272179,uptake
4,ca2_e,EX_ca2_e,0.2441699136131058,0.21975292225179527,0.24416991361310608,uptake,0.3460747725563169,0.31146729530068573,0.34607477255631675,uptake
5,cgly_e,EX_cgly_e,4.323097513723222,0.0,11.533815518417924,uptake,6.1038813342915645,0.0,405.49349320086,uptake
6,cl_e,EX_cl_e,0.2441699136131058,0.21975292225179527,0.244169913613106,uptake,0.3460747725563169,0.31146729530068573,0.34607477255631713,uptake
7,cobalt2_e,EX_cobalt2_e,0.004691064622730182,0.0042219581604571645,0.004691064622730184,uptake,0.006648890923272183,0.005984001830944974,0.006648890923272192,uptake
8,cu2_e,EX_cu2_e,0.03325964817515697,0.02993368335764128,0.03325964817515703,uptake,0.04714063664599975,0.042426572981399846,0.04714063664599988,uptake
9,fe2_e,EX_fe2_e,0.31500498941633176,0.0,0.31500498941633176,uptake,0.4464730254977271,-999.1309434140854,25.401825722948107,uptake
10,fe3_e,EX_fe3_e,0.3662783257427727,0.3296504931684955,0.36627832574277286,uptake,0.5191454032890922,0.46723086296015026,1000.0,uptake
11,glyald_e,EX_glyald_e,128.20453660975144,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
12,h2s_e,EX_h2s_e,7.219970650197781,-297.8340088049405,11.531989516097546,uptake,0.0,-399.99999999999744,405.49349320085776,secretion
13,id3acald_e,EX_id3acald_e,2.6665418634985167,-44.968533375481044,2.6665418634985185,uptake,231.1874443460865,-996.5985138392384,1000.0,uptake
14,ile__L_e,EX_ile__L_e,13.628903137771779,-987.7339871760054,13.62890313777213,uptake,19.316956310473454,17.3852606794311,1000.0,uptake
15,k_e,EX_k_e,9.156629769045736,8.240966792141164,9.156629769045743,uptake,12.978169659862692,11.680352693876438,12.97816965986272,uptake
16,leu__L_e,EX_leu__L_e,21.13470035543252,-462.82071479690967,21.134700355432138,uptake,29.955314765527408,26.959783288974712,29.955314765527433,uptake
17,mg2_e,EX_mg2_e,0.40694985602184314,0.36625487041965893,0.40694985602184336,uptake,0.5767912875938617,0.5191121588344764,0.5767912875938626,uptake
18,mn2_e,EX_mn2_e,0.03241525654306558,0.02917373088875903,0.032415256543065596,uptake,0.045943836279810815,0.04134945265182981,0.045943836279810885,uptake
19,no2_e,EX_no2_e,468.3586987537067,-1000.0,534.768629826794,uptake,1000.0,-1000.0,1000.0,uptake
20,o2_e,EX_o2_e,219.9175786200396,0.07213215517175105,1000.0,uptake,514.1794700785391,0.0,1000.0,uptake
21,pyr_e,EX_pyr_e,41.89144163421743,-1000.0,1000.0,uptake,628.1938076372126,-1000.0000000000013,1000.0,uptake
22,so4_e,EX_so4_e,0.20349838333403536,0.0,100.18314854500255,uptake,0.2884288882515474,0.2595859994263931,100.2595859994262,uptake
23,thymd_e,EX_thymd_e,1.2274639691835816,-176.43266677266612,1.2274639691835827,uptake,1.7463976899066758,0.0,51.571757920916774,uptake
24,uri_e,EX_uri_e,14.290343249576475,-1000.0,213.6485102242071,uptake,30.333078152223653,-1000.0,655.5502429808914,uptake
25,val__L_e,EX_val__L_e,19.8778234110644,-603.337922341242,242.89004106995864,uptake,0.0,-974.6779781721373,65.32202182786314,secretion
