,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,arab__D_e,EX_arab__D_e,0.06908657965680476,0.0,315.2453745333545,uptake,0.0,-280.448705881756,0.0,secretion
1,arg__L_e,EX_arg__L_e,20.600058034119726,18.540052230707733,259.7443297408759,uptake,132.30111701480988,9.144608175060348,762.8363824242487,uptake
2,asn__L_e,EX_asn__L_e,33.575938425750046,15.10917229158747,1000.0,uptake,16.56770812264872,14.910937310384847,139.8075913745641,uptake
3,bz_e,EX_bz_e,0.006964372949275078,0.006267935654347564,200.00626793565516,uptake,0.0034350745625528678,0.0030915671062977878,0.0034350745625528725,uptake
4,ca2_e,EX_ca2_e,0.3624956120097676,0.3262460508087905,0.36249561200976715,uptake,0.17879563098087667,0.16091606788279977,0.17879563098087692,uptake
5,cgly_e,EX_cgly_e,6.418087535133946,0.0,549.7815067417727,uptake,3.1535015006604095,2.8381513505942624,191.26109491288392,uptake
6,cl_e,EX_cl_e,0.3624956120097676,0.3262460508087905,0.36249561200976743,uptake,0.17879563098087667,0.16091606788279975,0.17879563098087656,uptake
7,cobalt2_e,EX_cobalt2_e,0.006964372949275078,0.006267935654347564,0.00696437294927507,uptake,0.0034350745625528678,0.0030915671062956562,0.003435074562545992,uptake
8,cu2_e,EX_cu2_e,0.04937740421036028,0.04443966378932421,0.04937740421036027,uptake,0.02435467864849982,0.021919210783651305,0.024354678648499797,uptake
9,cyst__L_e,EX_cyst__L_e,0.015530551676883414,0.0,10.652288433167879,uptake,0.0,0.0,5.27824270352365,secretion
10,dcyt_e,EX_dcyt_e,1.8222978259073204,0.0,403.33347621904954,uptake,181.31670777397747,0.0,1000.0,uptake
11,fe2_e,EX_fe2_e,1.0114358834232198,0.0,1.0114358834232193,uptake,0.2306652568754251,0.0,8.20759873118368,uptake
12,his__L_e,EX_his__L_e,43.25975972425807,5.938116880215796,440.6634597702491,uptake,6.084684975631605,2.928888845164399,59.82930526577615,uptake
13,ile__L_e,EX_ile__L_e,20.23352308579941,18.210170777219446,151.54350411055378,uptake,9.979887775839229,8.981898998255907,9.979887775839318,uptake
14,k_e,EX_k_e,13.59396849087852,12.234571641790657,13.593968490878442,uptake,6.7050250908838285,6.034522581795849,6.7050250908838,uptake
15,leu__L_e,EX_leu__L_e,31.37665909209852,-171.76100681711193,31.376659092098862,uptake,15.476075777415067,13.928468199674493,15.476075777415064,uptake
16,lys__L_e,EX_lys__L_e,23.899011856461836,21.50911067081563,23.899011856461698,uptake,11.78783621960204,10.609052597642517,1000.0,uptake
17,mg2_e,EX_mg2_e,0.6041593533496129,0.543743418014651,0.6041593533496121,uptake,0.2979927183014612,0.26819344647133303,0.29799271830146523,uptake
18,mn2_e,EX_mn2_e,0.04812381707949083,0.0433114353715417,0.048123817079490774,uptake,0.023736365227240337,0.021362728704517733,0.023736365227240656,uptake
19,nmn_e,EX_nmn_e,0.15864841578447594,0.0,0.15864841578495925,uptake,0.07825099853495612,0.0704258986815347,0.07825099853495311,uptake
20,o2_e,EX_o2_e,818.1216483737985,191.21565489010754,1000.0,uptake,-0.003830108137246445,-0.0038301081372464434,19.227322133433933,secretion
21,phe__L_e,EX_phe__L_e,12.90254554447448,-188.38770900997406,12.902545544474405,uptake,6.363990888313574,5.7275917994826,6.363990888313548,uptake
22,pnto__R_e,EX_pnto__R_e,0.040114788187828765,0.0,0.04011478818786471,uptake,0.0,0.0,0.8686917698519823,secretion
23,progly_e,EX_progly_e,15.395094623020041,13.855585160718022,15.395094623020073,uptake,7.59340407425125,6.834063666826583,7.593404074251248,uptake
24,so4_e,EX_so4_e,0.30211449853955297,0.2719030486855974,133.60523638201903,uptake,0.14901353452354346,0.1341121810711981,66.80077884769727,uptake
25,thr__L_e,EX_thr__L_e,73.32941494496609,15.900937923444719,1000.0,uptake,8.714337605503502,7.8429038449536765,8.714337605503497,uptake
26,thym_e,EX_thym_e,0.022494924626158493,0.006267935654335588,22.237289720480014,uptake,-818.67985715146,-1000.0,15.782018579427657,secretion
27,tyr__L_e,EX_tyr__L_e,9.603591722132371,-96.15339869288721,9.603591722132363,uptake,4.744490635052401,-55.73468883524562,4.744490635052399,uptake
28,uaagmda_e,EX_uaagmda_e,6.964372949275078,-1.7505812005519281,62.397553638643835,uptake,3.435074562552868,3.020275568826561,4.296781314669034,uptake
29,val__L_e,EX_val__L_e,29.704582790732843,-373.47647812634824,648.1226214605235,uptake,14.53593022038996,13.082337198351839,14.53593022038995,uptake
30,zn2_e,EX_zn2_e,0.023748511757027996,0.021373660581325175,0.023748511757027968,uptake,0.01171360425830527,0.010542243832475448,0.011713604258305426,uptake
31,26dap__M_e,EX_26dap__M_e,0.0,0.0,32.07406741959802,secretion,0.0,0.0,17.345961334963775,secretion
32,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-56.12961798429498,0.0,secretion,0.0,-17.79252360440218,0.07903456434951134,secretion
33,acald_e,EX_acald_e,0.0,-1000.0,999.999999999996,secretion,-1000.0,-1000.0,-599.9684639547123,secretion
34,anhgm_e,EX_anhgm_e,0.0,-56.12961798429662,0.0,secretion,0.0,-21.194186942846322,0.0,secretion
35,but_e,EX_but_e,0.0,0.0,400.0000000000035,secretion,0.0,0.0,14.327749702065889,secretion
36,co2_e,EX_co2_e,-1000.0,-1000.0,-117.90469164237356,secretion,-127.66775104185054,-1000.0,46.481320212683634,secretion
37,dha_e,EX_dha_e,0.0,-513.0755022644887,0.0,secretion,0.0,-400.0315360452877,0.0,secretion
38,enter_e,EX_enter_e,0.0,-1.0111801974391457,0.0,secretion,0.0,-7.891921856906764,0.0,secretion
39,feenter_e,EX_feenter_e,0.0,0.0,1.0111801974409915,secretion,0.0,0.0,7.891921856907196,secretion
40,for_e,EX_for_e,0.0,-923.4679032421545,0.0,secretion,0.0,0.0,104.6449713723031,secretion
41,galt_e,EX_galt_e,0.0,0.0,200.0000000000149,secretion,0.0,0.0,76.4860106950245,secretion
42,glc__D_e,EX_glc__D_e,0.0,0.0,400.0000000000029,secretion,0.0,0.0,105.92865495774697,secretion
43,gln__L_e,EX_gln__L_e,0.0,0.0,579.6337905200428,secretion,15.272101049891454,8.156450580874386,80.2922185777687,uptake
44,glyclt_e,EX_glyclt_e,0.0,-400.0000000000098,0.0,secretion,-0.13576101686400802,-214.94382230957638,-0.027576778588174936,secretion
45,gua_e,EX_gua_e,0.0,-1000.0,95.19534387096347,secretion,8.339742724457123,0.0,8.339742724457121,uptake
46,h2o_e,EX_h2o_e,-192.46922156314116,-1000.0,1000.0,secretion,0.0,-459.4958925254757,1000.0,secretion
47,h2s_e,EX_h2s_e,0.0,-1000.0,872.1804127523636,secretion,0.0,-188.42294356229752,53.729061382746906,secretion
48,h_e,EX_h_e,-750.965253385371,-1000.0,1000.0,secretion,-664.1664831420723,-1000.0,1000.0,secretion
49,lac__D_e,EX_lac__D_e,0.0,-513.075502264496,0.0,secretion,0.0,-400.03153604528774,0.0,secretion
50,malt_e,EX_malt_e,0.0,0.0,199.99999999999807,secretion,0.0,0.0,52.96432747887343,secretion
