,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,arab__D_e,EX_arab__D_e,0.06908657965680476,0.0,315.2453745333545,uptake,0.0,0.0,0.0,secretion
1,arg__L_e,EX_arg__L_e,20.600058034119726,18.540052230707733,259.7443297408759,uptake,7.605633801932197,0.0,528.3433108846032,uptake
2,ca2_e,EX_ca2_e,0.3624956120097676,0.3262460508087905,0.36249561200976715,uptake,0.13383500547363378,0.1204515049267824,0.13383500547326935,uptake
3,cgly_e,EX_cgly_e,6.418087535133946,0.0,549.7815067417727,uptake,2.369586698257059,0.0,173.5611994462523,uptake
4,cl_e,EX_cl_e,0.3624956120097676,0.3262460508087905,0.36249561200976743,uptake,0.13383500547363378,0.1204515049267824,0.13383500547326954,uptake
5,cobalt2_e,EX_cobalt2_e,0.006964372949275078,0.006267935654347564,0.00696437294927507,uptake,0.0025712777228363856,0.0023141499505625837,0.0025712777228293878,uptake
6,cu2_e,EX_cu2_e,0.04937740421036028,0.04443966378932421,0.04937740421036027,uptake,0.018230359054909964,0.016407323149488708,0.018230359054860413,uptake
7,cytd_e,EX_cytd_e,21.193004747019014,-440.6687483409655,1000.0,uptake,13.817275099207688,0.0,69.57840472861194,uptake
8,fe2_e,EX_fe2_e,1.0114358834232198,0.0,1.0114358834232193,uptake,0.1726612990884633,-85.5588905397291,9.951313535912877,uptake
9,fol_e,EX_fol_e,0.04659165503065312,-49.95806751047316,0.046591655030649326,uptake,0.017201847965775396,-28.66803303481645,0.01720184796572878,uptake
10,glyc3p_e,EX_glyc3p_e,890.9422375255588,0.0,1000.0,uptake,0.0,0.0,98.03067027953489,secretion
11,his__L_e,EX_his__L_e,43.25975972425807,5.938116880215796,440.6634597702491,uptake,2.4359770890607355,0.0,2.4359770890541177,uptake
12,ile__L_e,EX_ile__L_e,20.23352308579941,18.210170777219446,151.54350411055378,uptake,7.470307455379328,-630.4060848504733,678.1567425548343,uptake
13,k_e,EX_k_e,13.59396849087852,12.234571641790657,13.593968490878442,uptake,5.018954125536032,4.51705871300163,5.01895412552237,uptake
14,leu__L_e,EX_leu__L_e,31.37665909209852,-171.76100681711193,31.376659092098862,uptake,11.584403237472001,-626.7033986465676,11.58440323744047,uptake
15,lys__L_e,EX_lys__L_e,23.899011856461836,21.50911067081563,23.899011856461698,uptake,8.823622346462564,0.0,645.070621672184,uptake
16,mg2_e,EX_mg2_e,0.6041593533496129,0.543743418014651,0.6041593533496121,uptake,0.22305834245605638,0.20075250821130405,0.22305834245544934,uptake
17,mn2_e,EX_mn2_e,0.04812381707949083,0.0433114353715417,0.048123817079490774,uptake,0.017767529064799437,0.015990776158387465,0.017767529064751084,uptake
18,o2_e,EX_o2_e,818.1216483737985,191.21565489010754,1000.0,uptake,1000.0,657.1428571643718,1000.0,uptake
19,pyr_e,EX_pyr_e,15.582993405165661,-1000.0,432.03723683071166,uptake,0.0,-199.9999999874501,0.0,secretion
20,so4_e,EX_so4_e,0.30211449853955297,0.2719030486855974,133.60523638201903,uptake,0.11154202761664245,0.1003878248554049,57.24324496412834,uptake
21,thm_e,EX_thm_e,0.015530551676883414,0.013977496509195058,0.015530551676883404,uptake,0.005733949321925136,0.0,0.005733949321909528,uptake
22,thr__L_e,EX_thr__L_e,73.32941494496609,15.900937923444719,1000.0,uptake,6.5229973167319475,-79.84358812382175,1000.0,uptake
23,uaagmda_e,EX_uaagmda_e,6.964372949275078,-1.7505812005519281,62.397553638643835,uptake,0.0,0.0,1000.0,secretion
24,val__L_e,EX_val__L_e,29.704582790732843,-373.47647812634824,648.1226214605235,uptake,10.895480797192397,-627.3234288428151,646.9352942778486,uptake
25,zn2_e,EX_zn2_e,0.023748511757027996,0.021373660581325175,0.023748511757027968,uptake,0.008768057034872068,0.007891251331418403,0.008768057034848205,uptake
26,4abz_e,EX_4abz_e,0.0,-104.79663124280444,50.00000000000027,secretion,0.0,0.0,28.683514697985174,secretion
27,LalaLglu_e,EX_LalaLglu_e,0.0,0.0,490.31064550718423,secretion,9.33785217825266,0.0,1000.0,uptake
28,ac_e,EX_ac_e,-1000.0,-1000.0,-599.9999999999869,secretion,0.0,0.0,0.0,secretion
