,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4abut_e,EX_4abut_e,11.272589116505248,0.0,1000.0000000000007,uptake,43.74291454535594,-1000.0,1000.0,uptake
1,4hphac_e,EX_4hphac_e,2.1174843784571067,0.0,2.1174843784571107,uptake,0.0,0.0,499.99173880721605,secretion
2,ade_e,EX_ade_e,3.123220086040403,-31.45837564653326,150.80213179421466,uptake,-26.20555726280115,-1000.0,1000.0,secretion
3,arg__L_e,EX_arg__L_e,7.9237139608049505,0.0,1000.0,uptake,24.35071984708052,-78.0843521376263,1000.0,uptake
4,asp__L_e,EX_asp__L_e,14.223551551704738,-987.2018805089959,1000.0,uptake,14.812849654367245,-1000.0,1000.0,uptake
5,ca2_e,EX_ca2_e,0.07979717627458366,0.07181745864712534,0.0797971762745839,uptake,0.42849535080074547,0.3856458157206708,0.4284953508007452,uptake
6,cit_e,EX_cit_e,0.01582145742850536,0.014239311685741995,1000.0,uptake,0.0,0.0,1000.0,secretion
7,cl_e,EX_cl_e,0.07979717627458366,0.07181745864712534,0.07979717627458327,uptake,0.42849535080074547,0.3856458157206708,0.4284953508007454,uptake
8,cobalt2_e,EX_cobalt2_e,0.0015330869601264882,0.00137977826411384,0.0015330869601264821,uptake,0.008232379458227584,0.007409141512404824,0.008232379458227575,uptake
9,csn_e,EX_csn_e,255.28399692387882,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
10,cu2_e,EX_cu2_e,0.010869586547296795,0.009782627892567121,0.010869586547296792,uptake,0.05836757035883354,-999.9474691866774,0.05836757035883351,uptake
11,fe2_e,EX_fe2_e,0.22265021921916991,-999.7996148026913,5.75594075285296,uptake,1.1955884687183922,-1000.0,1000.0,uptake
12,fru_e,EX_fru_e,508.4614672083743,-50.000000000000774,557.6175488294296,uptake,0.0,-1000.0,499.9999999999787,secretion
13,glu__L_e,EX_glu__L_e,9.586208791235538,-991.358172776203,108.62758791211188,uptake,0.0,-1000.0,1000.0,secretion
14,gly_e,EX_gly_e,8.99112575679301,-1000.0,1000.0,uptake,31.929815540448836,-1000.0,1000.0,uptake
15,gua_e,EX_gua_e,3.7118028317710543,0.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
16,h2s_e,EX_h2s_e,1.4108386059260019,-98.73024525466585,1000.0,uptake,13.917701873980134,-987.474068313427,1000.0,uptake
17,his__L_e,EX_his__L_e,1.4524159242846326,0.0,1.4524159242846357,uptake,7.79919165113565,-76.31406084730997,1000.0,uptake
18,ile__L_e,EX_ile__L_e,4.454062214385888,-966.8618231175894,4.454062214385903,uptake,23.917449716194035,-978.4742952554341,23.917449716194028,uptake
19,k_e,EX_k_e,2.9924784300797,2.6932305870717315,2.9924784300797,uptake,16.069028435898186,14.462125592308366,16.06902843589817,uptake
20,leu__L_e,EX_leu__L_e,6.907032012327471,-993.7836711889045,6.907032012327455,uptake,37.08942149694733,-966.6195206527512,37.08942149694729,uptake
21,mal__L_e,EX_mal__L_e,63.86923062583596,0.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
22,met__L_e,EX_met__L_e,2.35614002553999,0.0,2.359534609244141,uptake,0.0,0.0,52.6013462920528,secretion
23,mg2_e,EX_mg2_e,0.1329952937909728,0.1196957644118756,0.13299529379097227,uptake,0.7141589180012426,0.6427430262011182,0.714158918001242,uptake
24,mn2_e,EX_mn2_e,0.010593630894474041,0.009534267805026643,0.010593630894474002,uptake,0.05688574205635265,0.051197167850717366,0.05688574205635259,uptake
25,nh4_e,EX_nh4_e,25.513456885424112,-1000.0,1000.0,uptake,-638.6210392303872,-1000.0,1000.0,secretion
26,no2_e,EX_no2_e,0.011130211330518716,0.0,11.42358642841119,uptake,642.1094688639104,-1000.0,1000.0,uptake
27,o2_e,EX_o2_e,0.029925857461669057,0.0269332717198977,1000.0,uptake,517.7978017785236,0.016522385572670828,1000.0,uptake
28,pac_e,EX_pac_e,2.8402735566783397,0.0,2.840273556678344,uptake,0.0,0.0,249.99999999999977,secretion
29,pi_e,EX_pi_e,15.091171455051933,-999.9999999999906,56.439197166689276,uptake,-1000.0,-1000.0,169.99610106277774,secretion
30,ser__L_e,EX_ser__L_e,5.120265152908845,0.0,1000.0,uptake,31.719234566862312,-1000.0,1000.0,uptake
31,so4_e,EX_so4_e,0.06650531233028707,0.059854781097258405,33.39318811443096,uptake,0.3571206208979127,0.32140855880812136,166.98807522546667,uptake
32,thr__L_e,EX_thr__L_e,3.8892423165360874,0.0,1000.0,uptake,39.352629388657576,-1000.0,1000.0,uptake
33,thym_e,EX_thym_e,0.004951870881208555,-99.99554331619788,2.3555419098456034,uptake,0.0,-1000.0,0.0,secretion
34,trp__L_e,EX_trp__L_e,0.8714526207446995,0.78430735867023,0.871452620744698,uptake,4.679531455440305,-1000.0,4.679531455440303,uptake
35,xyl__D_e,EX_xyl__D_e,11.939788561553438,0.0,720.441453616638,uptake,0.0,0.0,499.9999999999961,secretion
36,zn2_e,EX_zn2_e,0.00522782653403132,0.004705043880628191,0.0052278265340313,uptake,0.028072413952556035,0.025265172557300427,0.028072413952556007,uptake
37,15dap_e,EX_15dap_e,0.0,-1000.0,0.0,secretion,0.0,-999.9999999999986,0.0,secretion
38,2pglyc_e,EX_2pglyc_e,0.0,0.0,46.479338843154814,secretion,0.0,0.0,1000.0,secretion
39,3hoxpac_e,EX_3hoxpac_e,0.0,0.0,147.99123371677416,secretion,0.0,0.0,499.99173880721344,secretion
40,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-8.333333333334139,0.0,secretion,0.0,-62.49999999999918,507.40914151240605,secretion
41,ac_e,EX_ac_e,0.0,-999.9857606883143,0.0,secretion,-1000.0,-1000.0,-499.99999999999966,secretion
42,acald_e,EX_acald_e,-186.79042219867054,-999.9999999999997,999.9999999999995,secretion,0.0,-1000.0,1000.0,secretion
