,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,6.464475456345075,0.0,6.464475456345077,uptake,0.0,0.0,499.9974680852031,secretion
1,acald_e,EX_acald_e,1000.0,-1000.0,1000.0,uptake,96.90471806267317,-1000.0,1000.0,uptake
2,ca2_e,EX_ca2_e,0.24361307821716097,0.21925177039544527,0.24361307821716066,uptake,0.26265304468093814,0.23638774021285316,0.26265304468093825,uptake
3,cl_e,EX_cl_e,0.24361307821716097,0.21925177039544527,0.24361307821716097,uptake,0.26265304468093814,0.23638774021285316,0.26265304468093836,uptake
4,cobalt2_e,EX_cobalt2_e,0.004680366536352759,0.004212329882717491,0.0046803665363527565,uptake,0.00504616800539747,0.004541551204857892,0.005046168005397468,uptake
5,cu2_e,EX_cu2_e,0.03318379874274104,0.029865418868466997,0.03318379874274108,uptake,0.0,-999.9678004019548,0.03577733115826809,secretion
6,cytd_e,EX_cytd_e,682.9595998249195,174.89615377653195,1000.0,uptake,0.0,-1000.0,0.0,secretion
7,etoh_e,EX_etoh_e,167.1807269245752,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
8,fe3_e,EX_fe3_e,1000.0,0.3288987172427369,1000.0,uptake,0.0,-1000.0,1000.0,secretion
9,fol_e,EX_fol_e,0.031311652128199086,-33.7856714323117,0.031311652128202194,uptake,0.03375886395610897,0.0,0.033758863956110954,uptake
10,gln__L_e,EX_gln__L_e,26.13254573373344,0.0,856.6207953303074,uptake,0.0,0.0,1000.0,secretion
11,gly_e,EX_gly_e,70.35466132680489,-315.00266428304377,858.0933002554654,uptake,0.0,-1000.0,1000.0,secretion
12,gua_e,EX_gua_e,11.331775832159776,-57.371052647094935,54.26017779175038,uptake,0.0,0.0,0.0,secretion
13,h2_e,EX_h2_e,1000.0,-1000.0,1000.0,uptake,0.0,0.0,0.0,secretion
14,h2o_e,EX_h2o_e,970.097699843228,-908.9023722968275,1000.0,uptake,-659.4345798588162,-1000.0,1000.0,secretion
15,h2s_e,EX_h2s_e,11.500222223803078,-244.2210512777177,356.5887912068211,uptake,0.011252954652036348,-328.56130091212106,661.3484243893187,uptake
16,hxan_e,EX_hxan_e,9.534889511526139,-27.93631392995482,134.81413528473678,uptake,0.0,0.0,0.0,secretion
17,ile__L_e,EX_ile__L_e,13.597822094400318,12.238039884960308,705.1129791597992,uptake,14.66058144440122,-986.8054767000376,341.76595187128027,uptake
18,k_e,EX_k_e,9.135747853303087,8.222173067972761,9.135747853303043,uptake,9.849766714775493,8.864790043298278,9.849766714775518,uptake
19,leu__L_e,EX_leu__L_e,21.086502159895456,-156.14409927560934,21.08650215989547,uptake,22.73455117639728,-979.5389039412344,22.734551176397307,uptake
20,lys__L_e,EX_lys__L_e,16.06119260981348,-342.10794079320215,800.4106768895775,uptake,17.316480589001994,-148.7008817555493,1000.0,uptake
21,mg2_e,EX_mg2_e,0.40602179702860175,0.36541961732574224,0.40602179702860147,uptake,0.43775507446823037,0.39397956702142206,0.43775507446823025,uptake
22,mn2_e,EX_mn2_e,0.03234133276619759,0.029107199489577885,0.03234133276619757,uptake,0.034869020917296545,0.031382118825568066,0.03486902091729653,uptake
23,nmn_e,EX_nmn_e,0.10661874969813567,0.0,0.10661874969818541,uptake,0.0,0.0,1000.0,secretion
24,no3_e,EX_no3_e,398.5128977796596,0.0,909.1637635913128,uptake,912.7375249928909,0.0,1000.0,uptake
25,o2_e,EX_o2_e,1000.0,22.115887466769518,1000.0,uptake,0.11869848690696205,0.005063829594823425,1000.0,uptake
26,pac_e,EX_pac_e,8.671081063573943,0.0,8.67108106357393,uptake,0.0,0.0,164.28571428566244,secretion
27,pi_e,EX_pi_e,45.965271305877934,-1000.0,143.4540522321602,uptake,10.518333513814573,-1000.0,77.13775369927134,uptake
28,pro__L_e,EX_pro__L_e,10.346184246934602,-252.67363535800638,10.346184246934591,uptake,11.154806684331389,-318.53210255542444,699.9439597247953,uptake
29,pydxn_e,EX_pydxn_e,0.010437217376066645,-233.00484128314275,0.010434619381722148,uptake,0.01125295465203635,0.0,0.011252954652036356,uptake
30,so4_e,EX_so4_e,0.20303430034698275,0.18273087031228483,71.9827308703122,uptake,0.2189027680741423,0.19701249126673545,109.72082201504396,uptake
31,thr__L_e,EX_thr__L_e,11.873481455077235,0.0,316.62105044929376,uptake,12.80147222785269,0.0,1000.0,uptake
32,trp__L_e,EX_trp__L_e,2.6604607502589985,-164.58232951081132,2.660460750259003,uptake,2.8683932793080826,-64.40873731073599,2.8683932793080804,uptake
33,val__L_e,EX_val__L_e,19.80553264256105,17.824979378304988,664.1859497767908,uptake,21.35346545500003,-980.7557217555594,1000.0,uptake
34,zn2_e,EX_zn2_e,0.015960049888962893,0.014364044900066632,0.015960049888962886,uptake,0.017207432898405355,0.0154866896085654,0.017207432898405352,uptake
35,15dap_e,EX_15dap_e,0.0,-785.9556035407453,0.0,secretion,0.0,-1000.0,0.0,secretion
36,2pglyc_e,EX_2pglyc_e,0.0,0.0,464.09511759139633,secretion,0.0,0.0,1000.0,secretion
37,3mb_e,EX_3mb_e,0.0,0.0,175.12195121950893,secretion,0.0,0.0,164.28571428565976,secretion
