,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,adn_e,EX_adn_e,9.13793072608684,0.0,1000.0,uptake,37.91244868487748,0.0,1000.0,uptake
1,ca2_e,EX_ca2_e,0.2738309470320975,0.2464478523296447,0.2738309470320975,uptake,0.22515154344597732,0.20263638910137965,0.22515154344597713,uptake
2,cgly_e,EX_cgly_e,4.848254515790584,-1000.0,1000.0,uptake,0.0,0.0,35.843580553937954,secretion
3,cit_e,EX_cit_e,0.023200662371019205,0.0,999.9999999999986,uptake,23.926752868569444,0.0,633.4357112534739,uptake
4,cl_e,EX_cl_e,0.2738309470320975,0.2464478523296447,0.2738309470320976,uptake,0.22515154344597732,0.20263638910137965,0.225151543445978,uptake
5,cobalt2_e,EX_cobalt2_e,0.005260921172566717,0.004734829055324589,0.005260921172566728,uptake,0.004325678068126368,0.0038931102613137328,0.004325678068126375,uptake
6,cu2_e,EX_cu2_e,0.037299931113498004,-999.9664300619979,0.03729993111349801,uptake,0.030669057503015934,0.0276021517527143,0.030669057503015934,uptake
7,fe3_e,EX_fe3_e,0.7640435818916742,-999.3123607762923,1000.0,uptake,49.038584230430274,0.0,1000.0,uptake
8,glu__L_e,EX_glu__L_e,27.967688263906332,-1000.0,1000.0,uptake,-757.8831157113561,-988.4883844061162,107.60165350669806,secretion
9,glyc3p_e,EX_glyc3p_e,1000.0,0.0,1000.0,uptake,1000.0,862.4999999999973,1000.0,uptake
10,h_e,EX_h_e,41.41776810190352,-1000.0,1000.0,uptake,-130.4134170075763,-1000.0,1000.0,secretion
11,ile__L_e,EX_ile__L_e,15.28450167344637,-290.60737754979203,313.75605149785486,uptake,12.567349234546866,0.0,12.567349234546901,uptake
12,k_e,EX_k_e,10.268949864368164,9.242054877959736,10.26894986436817,uptake,8.443420791517912,7.599078712366124,8.443420791518033,uptake
13,leu__L_e,EX_leu__L_e,23.702080767976565,-635.8379368982175,23.702080767976597,uptake,19.488520657110417,0.0,19.488520657110424,uptake
14,met__L_e,EX_met__L_e,8.097031167485696,0.0,48.615308711356775,uptake,6.6576078578726,5.991847072085341,6.657607857872618,uptake
15,mg2_e,EX_mg2_e,0.45638491172016254,0.41074642054940796,0.4563849117201635,uptake,0.37525257240996235,0.3377273151689662,0.37525257240996285,uptake
16,mn2_e,EX_mn2_e,0.03635296530243605,0.03271766877229293,0.03635296530243611,uptake,0.029890435450753226,0.026901391905677915,0.02989043545075327,uptake
17,no2_e,EX_no2_e,657.3142832571851,-1000.0,1000.0,uptake,66.47145943298737,-999.9999999999992,333.3661796487975,uptake
18,o2_e,EX_o2_e,0.11984378431119372,0.10258007148395988,1000.0,uptake,209.58548638056962,0.19105438607431358,1000.0,uptake
19,pnto__R_e,EX_pnto__R_e,0.030302905953984306,-299.97272737634825,0.03030290595398445,uptake,0.024915905672406324,-99.97757568489283,0.024915905672407514,uptake
20,pro__L_e,EX_pro__L_e,11.629529298017372,-989.5334236317523,11.62952929801737,uptake,9.562127653496754,-211.39408511185061,9.562127653496889,uptake
21,so4_e,EX_so4_e,0.22821876046594425,0.0,300.20539687614195,uptake,0.1876479145953219,0.1688831231357812,91.83554978980118,uptake
22,val__L_e,EX_val__L_e,22.262219252255953,-979.9640026728946,819.9184788616474,uptake,0.0,0.0,110.6979086927968,secretion
23,xtsn_e,EX_xtsn_e,0.34569513024973453,-1000.0,1000.0,uptake,0.0,-1000.0,0.15921207719881378,secretion
24,zn2_e,EX_zn2_e,0.01793974119845249,0.016145767078656833,0.01793974119846098,uptake,0.014750562212310903,0.013275505991079817,0.014750562212310924,uptake
25,3mb_e,EX_3mb_e,0.0,0.0,153.64366402123346,secretion,0.0,0.0,19.419709491731393,secretion
26,4abut_e,EX_4abut_e,0.0,-1000.0,299.99999999170774,secretion,757.8831157113561,0.0,988.4883844061164,uptake
27,4hphac_e,EX_4hphac_e,0.0,0.0,299.9999999917084,secretion,5.974583290915464,0.0,427.6675991308035,uptake
28,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-226.62644587046222,0.0,secretion,0.0,-18.965517241379022,0.0,secretion
29,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
30,acald_e,EX_acald_e,-0.19389124981502498,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
31,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-992.2137794773726,866.1360111275612,secretion
32,ala__L_e,EX_ala__L_e,-219.3302587808467,-1000.0,1000.0,secretion,-707.3110078219719,-1000.0,858.349790604944,secretion
33,anhgm_e,EX_anhgm_e,0.0,-226.6264458704599,0.0,secretion,0.0,-18.965517241379935,0.0,secretion
34,but_e,EX_but_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
35,bz_e,EX_bz_e,0.0,0.0,0.0,secretion,0.004325678068126219,-1000.0,0.004325678067764232,uptake
36,co2_e,EX_co2_e,-1000.0,-1000.0,299.764963077404,secretion,-1000.0,-1000.0,-450.0000000000015,secretion
37,csn_e,EX_csn_e,0.0,0.0,17.402833674480107,secretion,14.30912676545864,12.734908700193824,14.309126765458636,uptake
38,etha_e,EX_etha_e,0.0,-99.99999999723023,0.0,secretion,0.0,-36.666666666666856,0.0,secretion
39,etoh_e,EX_etoh_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
40,fe2_e,EX_fe2_e,0.0,-999.3123607762967,1000.0,secretion,-48.41036600459733,-999.4346035967492,10.942754893815922,secretion
41,for_e,EX_for_e,0.0,-1000.0,1000.0,secretion,0.0,-549.9999999999899,0.0,secretion
42,fum_e,EX_fum_e,0.0,-1000.0,1000.0,secretion,757.8787900332879,464.5512424385633,1000.0,uptake
43,glcur_e,EX_glcur_e,0.0,-993.1769219381141,1000.0000000000057,secretion,0.0,0.0,0.0,secretion
44,gln__L_e,EX_gln__L_e,0.0,0.0,323.9159529881918,secretion,36.94717362397182,0.0,223.9491404809522,uptake
45,glyc_e,EX_glyc_e,0.0,-1000.0,299.99999999171894,secretion,0.0,-34.37548663878337,0.0,secretion
46,glyclt_e,EX_glyclt_e,-0.02993464147190451,-1000.0,1000.0,secretion,-1000.0,-1000.0,64.61004157715989,secretion
47,gua_e,EX_gua_e,0.0,0.0,1000.0,secretion,6.423199363360864,0.0,78.21913422638835,uptake
48,h2_e,EX_h2_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
49,h2o_e,EX_h2o_e,0.0,-1000.0,1000.0,secretion,-951.1687356883373,-1000.0,1000.0,secretion
50,h2s_e,EX_h2s_e,0.0,-299.9999999917087,304.3634290559394,secretion,3.9960181425649552,-1000.0,36.9297496616324,uptake
51,hxa_e,EX_hxa_e,0.0,-299.99999999171024,0.0,secretion,0.0,0.0,29.20353982300918,secretion
52,hxan_e,EX_hxan_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
53,lac__L_e,EX_lac__L_e,-753.5624240038094,-1000.0,999.9999999999994,secretion,0.0,-1000.0,1000.0,secretion
54,malt_e,EX_malt_e,0.0,0.0,149.99999999585398,secretion,4.3256780681263685,0.0,95.55977692798233,uptake
55,meoh_e,EX_meoh_e,0.0,-1000.0,0.0,secretion,0.0,0.0,0.0,secretion
56,mobd_e,EX_mobd_e,0.0,0.0,15.789473683773984,secretion,0.0,0.0,8.333333333333556,secretion
57,nh4_e,EX_nh4_e,-345.6692728218063,-1000.0,1000.0,secretion,188.81044254238168,-1000.0,1000.0,uptake
58,no3_e,EX_no3_e,0.0,0.0,1000.0,secretion,622.6500268895027,0.0,1000.0,uptake
59,no_e,EX_no_e,0.0,0.0,999.8974199285144,secretion,0.0,0.0,1000.0,secretion
60,oxa_e,EX_oxa_e,0.0,-1000.0,1000.0,secretion,0.0,0.0,549.999999999997,secretion
61,pdima_e,EX_pdima_e,0.0,-11.999999999668177,0.0,secretion,0.0,-7.189542483659939,0.0,secretion
62,pi_e,EX_pi_e,-958.6442669269253,-1000.0,100.31255437103373,secretion,-961.6704694357885,-965.5034224922066,-828.0034224922132,secretion
63,ppa_e,EX_ppa_e,0.0,0.0,149.99999999585452,secretion,0.0,0.0,83.20603914769224,secretion
