,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,arg__L_e,EX_arg__L_e,15.561383954758591,-60.99475443860092,1000.0,uptake,928.1530103735937,635.3377093347171,1000.0,uptake
1,ca2_e,EX_ca2_e,0.2738309470320975,0.2464478523296447,0.2738309470320975,uptake,0.22328970063362336,0.2009607305701452,0.22328970063350292,uptake
2,cgly_e,EX_cgly_e,4.848254515790584,-1000.0,1000.0,uptake,3.953407425858269,0.0,303.55806668336334,uptake
3,cl_e,EX_cl_e,0.2738309470320975,0.2464478523296447,0.2738309470320976,uptake,0.22328970063362336,0.2009607305701452,0.2232897006335027,uptake
4,cobalt2_e,EX_cobalt2_e,0.005260921172566717,0.004734829055324589,0.005260921172566728,uptake,0.004289907793153189,0.003860917013835645,0.004289907793150875,uptake
5,cu2_e,EX_cu2_e,0.037299931113498004,-999.9664300619979,0.03729993111349801,uptake,0.030415446253456095,0.02737390162809471,0.0304154462534397,uptake
6,fe3_e,EX_fe3_e,0.7640435818916742,-999.3123607762923,1000.0,uptake,0.3349560004894011,0.3014604004402872,0.3349560004892201,uptake
7,glu__L_e,EX_glu__L_e,27.967688263906332,-1000.0,1000.0,uptake,0.0,0.0,324.21138589299204,secretion
8,gly_e,EX_gly_e,27.353423107796754,-1000.0,1000.0,uptake,17.09339499628642,-284.6159445034515,618.9421221801047,uptake
9,glyc3p_e,EX_glyc3p_e,1000.0,0.0,1000.0,uptake,443.0038358115839,0.0,1000.0,uptake
10,h_e,EX_h_e,41.41776810190352,-1000.0,1000.0,uptake,271.46262080608074,-1000.0,1000.0,uptake
11,ile__L_e,EX_ile__L_e,15.28450167344637,-290.60737754979203,313.75605149785486,uptake,0.0,0.0,0.0,secretion
12,k_e,EX_k_e,10.268949864368164,9.242054877959736,10.26894986436817,uptake,8.373599718689515,7.5362397468162206,8.373599718684991,uptake
13,leu__L_e,EX_leu__L_e,23.702080767976565,-635.8379368982175,23.702080767976597,uptake,0.0,0.0,0.0,secretion
14,lys__L_e,EX_lys__L_e,18.05342970499166,-283.75191325716855,1000.0,uptake,14.721290482062408,-86.75083856618365,313.24916143394574,uptake
15,met__L_e,EX_met__L_e,8.097031167485696,0.0,48.615308711356775,uptake,6.60255418536413,0.0,6.60255418536053,uptake
16,mg2_e,EX_mg2_e,0.45638491172016254,0.41074642054940796,0.4563849117201635,uptake,0.37214950105603906,0.3349345509502421,0.3721495010558383,uptake
17,mn2_e,EX_mn2_e,0.03635296530243605,0.03271766877229293,0.03635296530243611,uptake,0.02964326285068856,0.026678936565604328,0.02964326285067257,uptake
18,no2_e,EX_no2_e,657.3142832571851,-1000.0,1000.0,uptake,0.0,-1000.0,553.5231764342363,secretion
19,o2_e,EX_o2_e,0.11984378431119372,0.10258007148395988,1000.0,uptake,481.1228696849008,0.065963767181219,1000.0,uptake
20,pro__L_e,EX_pro__L_e,11.629529298017372,-989.5334236317523,11.62952929801737,uptake,9.483055672154793,0.0,9.48305567214967,uptake
21,ribflv_e,EX_ribflv_e,0.023463708429647543,0.0,0.02346370842964752,uptake,0.01913298875746321,0.017219689881706964,0.019132988757452882,uptake
22,ser__L_e,EX_ser__L_e,11.376110725134795,-1000.0,999.9999999999995,uptake,16.93059299553631,-284.7624663041313,786.2327607018564,uptake
23,so4_e,EX_so4_e,0.22821876046594425,0.0,300.20539687614195,uptake,0.1860962000669854,0.0,0.18609620006688427,uptake
24,thm_e,EX_thm_e,0.011731854214823772,0.0,0.01173185421482379,uptake,0.009566494378731605,0.008609844940853482,0.009566494378726458,uptake
25,uaagmda_e,EX_uaagmda_e,5.260921172566717,4.734829055324553,1000.0,uptake,0.0,0.0,1000.0,secretion
26,uri_e,EX_uri_e,7.58119784651555,0.0,17.36221490345086,uptake,0.0,-300.00000000010164,0.0,secretion
27,val__L_e,EX_val__L_e,22.262219252255953,-979.9640026728946,819.9184788616474,uptake,0.0,0.0,0.0,secretion
28,zn2_e,EX_zn2_e,0.01793974119845249,0.016145767078656833,0.01793974119846098,uptake,0.014628585574652363,0.013165727017179538,0.014628585574644472,uptake
29,15dap_e,EX_15dap_e,0.0,-1000.0,0.0,secretion,0.0,-300.0000000000982,0.0,secretion
30,2hxmp_e,EX_2hxmp_e,0.0,-299.99999999170694,0.0,secretion,0.0,-318.2348794014236,0.0,secretion
31,3mb_e,EX_3mb_e,0.0,0.0,153.64366402123346,secretion,0.0,0.0,19.327364479560575,secretion
32,4abut_e,EX_4abut_e,0.0,-1000.0,299.99999999170774,secretion,0.0,-300.0000000000958,0.0,secretion
33,4hphac_e,EX_4hphac_e,0.0,0.0,299.9999999917084,secretion,0.0,0.0,190.90909090916318,secretion
34,LalaDgluMdapDala_e,EX_LalaDgluMdapDala_e,0.0,-226.62644587046017,0.0,secretion,0.0,-21.42857142857849,0.0,secretion
35,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-226.62644587046222,0.0,secretion,0.0,-21.428571428578454,0.0,secretion
36,abt__L_e,EX_abt__L_e,0.0,-1000.0,1000.0,secretion,430.2554882297714,0.0,1000.0,uptake
37,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
38,acald_e,EX_acald_e,-0.19389124981502498,-1000.0,1000.0,secretion,-527.1776014056105,-1000.0,1000.0,secretion
39,ala_B_e,EX_ala_B_e,0.0,0.0,299.9999999917078,secretion,0.02470986888857804,0.0,300.02223888209795,uptake
40,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,-618.749116371404,-1000.0,919.4317722555312,secretion
41,ala__L_e,EX_ala__L_e,-219.3302587808467,-1000.0,1000.0,secretion,0.0,-1000.0,943.1257952686615,secretion
42,alaala_e,EX_alaala_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,959.7158861278112,secretion
43,anhgm_e,EX_anhgm_e,0.0,-226.6264458704599,0.0,secretion,0.0,-21.42857142857815,0.0,secretion
44,arab__D_e,EX_arab__D_e,0.0,0.0,299.9999999917083,secretion,0.0,0.0,0.0,secretion
45,arab__L_e,EX_arab__L_e,0.0,-1000.0,1000.0,secretion,-430.2554882297714,-1000.0,0.0,secretion
46,arbt_e,EX_arbt_e,0.0,0.0,299.99999999170245,secretion,0.0,0.0,318.23487940141894,secretion
47,but_e,EX_but_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
48,buts_e,EX_buts_e,0.0,0.0,149.99999999585378,secretion,0.0,0.0,47.61904761906326,secretion
49,cellb_e,EX_cellb_e,0.0,0.0,649.9999999958545,secretion,0.0,0.0,659.1174397007103,secretion
50,chol_e,EX_chol_e,0.0,0.0,299.99999999171234,secretion,0.0,-0.18608465685104106,0.0,secretion
51,chols_e,EX_chols_e,0.0,0.0,150.10269843806955,secretion,0.0,0.0,0.18608465685104145,secretion
52,co2_e,EX_co2_e,-1000.0,-1000.0,299.764963077404,secretion,-1000.0,-1000.0,-699.9999999998977,secretion
53,crn_e,EX_crn_e,0.0,-299.99999999173735,0.0,secretion,0.0,0.0,0.0,secretion
54,csn_e,EX_csn_e,0.0,0.0,17.402833674480107,secretion,5.723080188689816,0.0,162.7828398769669,uptake
55,dextrin_e,EX_dextrin_e,0.0,-1000.0,149.99999999585427,secretion,0.0,0.0,159.1174397007098,secretion
56,etha_e,EX_etha_e,0.0,-99.99999999723023,0.0,secretion,0.0,0.0,767.4371603226158,secretion
57,etoh_e,EX_etoh_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
58,fe2_e,EX_fe2_e,0.0,-999.3123607762967,1000.0,secretion,0.2880673083102367,0.2592605774790636,11.797722115944467,uptake
59,for_e,EX_for_e,0.0,-1000.0,1000.0,secretion,-723.6849357951004,-1000.0,259.6847163727925,secretion
60,fru_e,EX_fru_e,0.0,0.0,299.99999999171246,secretion,0.0,-1000.0,318.23487940142974,secretion
61,gal_e,EX_gal_e,0.0,0.0,299.99999999170933,secretion,0.0,-300.0000000001292,0.0,secretion
62,galt_e,EX_galt_e,0.0,0.0,149.99999999585475,secretion,0.0,0.0,159.1174397007116,secretion
63,galur_e,EX_galur_e,0.0,0.0,1000.0,secretion,0.0,0.0,0.0,secretion
64,glc__D_e,EX_glc__D_e,0.0,-1000.0,299.99999999170814,secretion,0.0,-1000.0,0.0,secretion
65,glcn__D_e,EX_glcn__D_e,0.0,0.0,299.99999999170836,secretion,0.0,0.0,318.23487940142263,secretion
66,glcur_e,EX_glcur_e,0.0,-993.1769219381141,1000.0000000000057,secretion,0.0,-63.6469758802851,0.0,secretion
67,glyb_e,EX_glyb_e,0.0,-299.99999999170734,0.0,secretion,0.0,0.0,0.0,secretion
68,glyc_e,EX_glyc_e,0.0,-1000.0,299.99999999171894,secretion,0.0,-1000.0,1000.0,secretion
69,glyclt_e,EX_glyclt_e,-0.02993464147190451,-1000.0,1000.0,secretion,-0.02869948313619444,-0.02869948313618157,-0.025829534822560108,secretion
70,gthox_e,EX_gthox_e,0.0,-1000.0,1000.0000000000007,secretion,0.0,-500.00000000000006,500.0,secretion
71,gthrd_e,EX_gthrd_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
72,gua_e,EX_gua_e,0.0,0.0,1000.0,secretion,10.415123938373199,0.0,45.73724790818176,uptake
73,h2_e,EX_h2_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
74,h2o2_e,EX_h2o2_e,0.0,-1000.0000000000091,999.9999999999985,secretion,0.0,-499.99999999999386,499.99999999999994,secretion
75,h2o_e,EX_h2o_e,0.0,-1000.0,1000.0,secretion,529.5025443382426,-1000.0,1000.0,uptake
76,h2s_e,EX_h2s_e,0.0,-299.9999999917087,304.3634290559394,secretion,0.0,-300.00000000009425,303.55806668338386,secretion
