,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,adn_e,EX_adn_e,9.13793072608684,0.0,1000.0,uptake,20.071762842689925,-1000.0,1000.0,uptake
1,akg_e,EX_akg_e,1000.0,-1000.0,1000.0,uptake,1000.0,-1000.0,1000.0,uptake
2,arg__L_e,EX_arg__L_e,15.561383954758591,-60.99475443860092,1000.0,uptake,1000.0000000000089,399.9999999999984,1000.0,uptake
3,ca2_e,EX_ca2_e,0.2738309470320975,0.2464478523296447,0.2738309470320975,uptake,0.511130425574589,0.46001738301712936,0.5111304255745877,uptake
4,cgly_e,EX_cgly_e,4.848254515790584,-1000.0,1000.0,uptake,0.0,-1000.0,608.1447381266682,secretion
5,cit_e,EX_cit_e,0.023200662371019205,0.0,999.9999999999986,uptake,0.0,0.0,1000.0,secretion
6,cl_e,EX_cl_e,0.2738309470320975,0.2464478523296447,0.2738309470320976,uptake,0.511130425574589,0.46001738301712936,0.5111304255745884,uptake
7,cobalt2_e,EX_cobalt2_e,0.005260921172566717,0.004734829055324589,0.005260921172566728,uptake,0.009819988963969054,0.008837990067572136,0.009819988963969038,uptake
8,cu2_e,EX_cu2_e,0.037299931113498004,-999.9664300619979,0.03729993111349801,uptake,0.0,-999.9373386504211,0.06962372175454053,secretion
9,cytd_e,EX_cytd_e,7.018489717898198,0.0,17.402833674480142,uptake,15.763537284411342,-1000.0,1000.0,uptake
10,dad_2_e,EX_dad_2_e,1.6099734018351874,0.0,1000.0,uptake,120.52357235158752,-1000.0,1000.0,uptake
11,dcyt_e,EX_dcyt_e,1.4213430731923489,0.0,17.362214903451104,uptake,0.0,-1000.0,999.9999999999961,secretion
12,fe3_e,EX_fe3_e,0.7640435818916742,-999.3123607762923,1000.0,uptake,0.0,-1000.0,600.0000000000009,secretion
13,glu__L_e,EX_glu__L_e,27.967688263906332,-1000.0,1000.0,uptake,51.76008163029485,-1000.0,1000.0,uptake
14,gly_e,EX_gly_e,27.353423107796754,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
15,glyc3p_e,EX_glyc3p_e,1000.0,0.0,1000.0,uptake,987.6405618899528,-1000.0,1000.0,uptake
16,gsn_e,EX_gsn_e,12.772569641180851,0.0,1000.0,uptake,23.8849627572827,-1000.0,446.68376599523594,uptake
17,h_e,EX_h_e,41.41776810190352,-1000.0,1000.0,uptake,-567.7809435422043,-1000.0,1000.0,secretion
18,his__L_e,EX_his__L_e,4.984091500466257,-70.51431764749377,1000.0,uptake,9.303261144685004,-91.62706496978296,1000.0,uptake
19,ile__L_e,EX_ile__L_e,15.28450167344637,-290.60737754979203,313.75605149785486,uptake,28.529915737129677,-974.3230758365834,28.529915737129652,uptake
