,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,31.399556734847486,0.0,128.2596010613615,uptake,0.0,0.0,722.8719445496794,secretion
1,LalaLglu_e,EX_LalaLglu_e,31.907761260670544,0.0,399.95470579399375,uptake,0.0,0.0,1000.0,secretion
2,arg__L_e,EX_arg__L_e,9.418723878693328,0.0,178.0882697270827,uptake,11.600960196421209,0.0,260.44086417668404,uptake
3,asp__L_e,EX_asp__L_e,37.63171723551119,0.0,778.550793338779,uptake,0.0,-1000.0000000000017,0.0,secretion
4,ca2_e,EX_ca2_e,0.16573963389340746,0.1491656705040669,0.16573963389340746,uptake,0.20414006403950205,0.1837260576355597,0.20414006403950216,uptake
5,cgly_e,EX_cgly_e,7.842398261736697,0.0,1000.0,uptake,3.6143576833091964,0.0,3.622976994694242,uptake
6,cl_e,EX_cl_e,0.16573963389340746,0.14916567050406676,0.16573963389340762,uptake,0.20414006403950205,0.1837260576355597,0.20414006403950222,uptake
7,cobalt2_e,EX_cobalt2_e,0.003184238883638954,0.002865814995275062,0.0031842388836389505,uptake,0.003921999309116276,0.003529799378204799,0.003921999309116279,uptake
8,cu2_e,EX_cu2_e,0.022576253685000172,0.020318628316500182,0.02257625368500015,uptake,0.027806975101634383,0.025026277591472013,0.0278069751016344,uptake
9,fe2_e,EX_fe2_e,0.37309726999598186,-199.99999999999923,0.46244701307088565,uptake,0.263362253607158,-124.88148698582755,0.263362253607158,uptake
10,fe3_e,EX_fe3_e,0.08934974307490351,0.0,0.24862537203452958,uptake,0.3062297060557989,0.2756067354502308,0.3062297060557986,uptake
11,glycogen1500_e,EX_glycogen1500_e,0.6124559620204651,0.0,2.666666666666661,uptake,0.0,0.0,1.6666666666665384,secretion
12,ile__L_e,EX_ile__L_e,9.251137386247423,-406.6479639865135,9.251137386247427,uptake,0.0,0.0,0.0,secretion
13,k_e,EX_k_e,6.215411404141392,5.5938702637272595,6.215411404141391,uptake,7.6554681114433425,6.889921300299303,7.6554681114433345,uptake
14,mg2_e,EX_mg2_e,0.27623272315567915,0.24860945084011157,0.27623272315567887,uptake,0.34023344006583683,0.30621009605926625,0.34023344006583717,uptake
15,mn2_e,EX_mn2_e,0.02200309068594519,0.019802781612611398,0.022003090685945168,uptake,0.02710101522599349,0.024390913703395183,0.027101015225993515,uptake
16,no2_e,EX_no2_e,443.344318214493,-1000.0,533.5610223347078,uptake,219.9597492009103,-1000.0,662.164361258366,uptake
17,no3_e,EX_no3_e,4.900830223419867,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
18,o2_e,EX_o2_e,94.29744529469696,0.003195383719731692,1000.0,uptake,124.58643072902545,0.0,1000.0,uptake
19,ser__D_e,EX_ser__D_e,119.3658116995873,-318.39353938307806,1000.0,uptake,0.0,0.0,0.0,secretion
20,so4_e,EX_so4_e,0.13813228277225786,0.0,100.12431905449439,uptake,0.17013633002946413,0.0,125.15312269697617,uptake
21,zn2_e,EX_zn2_e,0.010858254593208824,0.009772429133887954,0.010858254593208811,uptake,0.013374017644086491,0.012036615879678355,0.013374017644086501,uptake
22,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-18.181818181818215,0.0,secretion,0.0,-27.777777777767284,0.0,secretion
23,ac_e,EX_ac_e,-1000.0,-1000.0,-800.0000000000013,secretion,-1000.0,-1000.0,-750.0000000000939,secretion
24,acald_e,EX_acald_e,0.0,-1000.0,999.9999999999989,secretion,0.0,-1000.0,0.0,secretion
25,ade_e,EX_ade_e,0.0,-1000.0,73.79834280957687,secretion,11.728150634018284,-121.41446508956528,17.470531826140327,uptake
26,ala__D_e,EX_ala__D_e,0.0,-994.2683700094505,1000.0,secretion,0.0,-992.9404012435895,1000.0,secretion
27,ala__L_e,EX_ala__L_e,0.0,-1000.0,1000.0,secretion,31.91287695835513,-1000.0,1000.0,uptake
28,amylose300_e,EX_amylose300_e,0.0,0.0,10.0,secretion,0.0,0.0,10.00000000000001,secretion
29,anhgm_e,EX_anhgm_e,0.0,-18.181818181817825,0.0,secretion,0.0,-27.777777777767362,62.49999999997515,secretion
30,but_e,EX_but_e,0.0,0.0,27.456633398094574,secretion,0.0,0.0,54.39390132556903,secretion
