,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,31.399556734847486,0.0,128.2596010613615,uptake,14.653426033518937,0.0,63.18808343016811,uptake
1,4hphac_e,EX_4hphac_e,4.398038903693291,0.0,4.398038903693295,uptake,0.0,0.0,0.0,secretion
2,arg__L_e,EX_arg__L_e,9.418723878693328,0.0,178.0882697270827,uptake,4.39549433299503,0.0,989.2345483179172,uptake
3,asp__L_e,EX_asp__L_e,37.63171723551119,0.0,778.550793338779,uptake,9.493707236854029,-330.0527961491787,739.3450343130519,uptake
4,ca2_e,EX_ca2_e,0.16573963389340746,0.1491656705040669,0.16573963389340746,uptake,0.07734674366865611,0.06961206930179041,0.07734674366865603,uptake
5,cgly_e,EX_cgly_e,7.842398261736697,0.0,1000.0,uptake,1.3727598142875659,0.0,101.23548383285853,uptake
6,cl_e,EX_cl_e,0.16573963389340746,0.14916567050406676,0.16573963389340762,uptake,0.07734674366865611,0.06961206930179041,0.07734674366865615,uptake
7,cobalt2_e,EX_cobalt2_e,0.003184238883638954,0.002865814995275062,0.0031842388836389505,uptake,0.00148600852389349,0.0013374076715041393,0.0014860085238934879,uptake
8,cu2_e,EX_cu2_e,0.022576253685000172,0.020318628316500182,0.02257625368500015,uptake,0.01053580043440484,0.009482220390964342,0.010535800434404817,uptake
9,fe2_e,EX_fe2_e,0.37309726999598186,-199.99999999999923,0.46244701307088565,uptake,0.0,-999.8057682838679,5.972159866318092,secretion
10,fe3_e,EX_fe3_e,0.08934974307490351,0.0,0.24862537203452958,uptake,0.21581301792505161,0.10442479099299362,1000.0,uptake
11,glycogen1500_e,EX_glycogen1500_e,0.6124559620204651,0.0,2.666666666666661,uptake,0.0,0.0,1.3333333333333333,secretion
12,k_e,EX_k_e,6.215411404141392,5.5938702637272595,6.215411404141391,uptake,2.900584618043424,2.610526156239078,2.900584618043421,uptake
13,mg2_e,EX_mg2_e,0.27623272315567915,0.24860945084011157,0.27623272315567887,uptake,0.12891123944776023,0.11602011550298405,0.12891123944776003,uptake
14,mn2_e,EX_mn2_e,0.02200309068594519,0.019802781612611398,0.022003090685945168,uptake,0.010268318900104025,0.00924148701009361,0.010268318900104009,uptake
15,no2_e,EX_no2_e,443.344318214493,-1000.0,533.5610223347078,uptake,0.0,0.0,0.0,secretion
16,no3_e,EX_no3_e,4.900830223419867,0.0,1000.0,uptake,25.792432001302473,0.0,494.0039493683102,uptake
17,o2_e,EX_o2_e,94.29744529469696,0.003195383719731692,1000.0,uptake,0.03385127417427909,0.030466146756344955,1000.0,uptake
18,ser__D_e,EX_ser__D_e,119.3658116995873,-318.39353938307806,1000.0,uptake,0.0,0.0,0.0,secretion
19,so4_e,EX_so4_e,0.13813228277225786,0.0,100.12431905449439,uptake,0.06446304976649962,0.058016744789849584,50.0580167447892,uptake
20,zn2_e,EX_zn2_e,0.010858254593208824,0.009772429133887954,0.010858254593208811,uptake,0.005067289066476797,0.004560560159829111,0.0050672890664600345,uptake
21,3mb_e,EX_3mb_e,0.0,0.0,14.243812536566388,secretion,0.0,0.0,6.689333309854197,secretion
22,5mtr_e,EX_5mtr_e,0.0,-66.66666666666671,0.0,secretion,0.0,-35.090856418661154,0.0,secretion
23,Larab_e,EX_Larab_e,0.0,0.0,333.3333333333333,secretion,0.0,0.0,575.928367256307,secretion
24,ac_e,EX_ac_e,-1000.0,-1000.0,-800.0000000000013,secretion,0.0,0.0,0.0,secretion
25,acald_e,EX_acald_e,0.0,-1000.0,999.9999999999989,secretion,-111.63135031192195,-1000.0,999.9999999999995,secretion
26,ade_e,EX_ade_e,0.0,-1000.0,73.79834280957687,secretion,3.0358708340594442,-15.753917137043633,1000.0,uptake
27,ala__D_e,EX_ala__D_e,0.0,-994.2683700094505,1000.0,secretion,0.0,-1000.0,1000.0,secretion
28,ala__L_e,EX_ala__L_e,0.0,-1000.0,1000.0,secretion,-664.8870525786236,-1000.0,1000.0,secretion
29,amylose300_e,EX_amylose300_e,0.0,0.0,10.0,secretion,0.0,0.0,9.999999999999998,secretion
30,anhgm_e,EX_anhgm_e,0.0,-18.181818181817825,0.0,secretion,0.0,-7.142857142857097,0.0,secretion
31,arab__D_e,EX_arab__D_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
32,arab__L_e,EX_arab__L_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,727.7851017689238,secretion
33,but_e,EX_but_e,0.0,0.0,27.456633398094574,secretion,0.0,0.0,0.0,secretion
34,cit_e,EX_cit_e,0.0,0.0,266.6364705293294,secretion,0.005067289066476797,0.004560560159829111,546.7099303188309,uptake
35,co2_e,EX_co2_e,-1000.0,-1000.0,-257.52455868121456,secretion,-312.03019747641457,-1000.0,-11.992101263380164,secretion
36,csn_e,EX_csn_e,0.0,0.0,10.510960845030384,secretion,4.522013098719332,0.0,1000.0,uptake
37,dcyt_e,EX_dcyt_e,0.0,0.0,1.693473765485706,secretion,0.38882899036197144,0.0,0.38882899036197155,uptake
38,etoh_e,EX_etoh_e,0.0,-1000.0,1000.0,secretion,-138.67546215298546,-1000.0,1000.0,secretion
39,for_e,EX_for_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
40,fum_e,EX_fum_e,0.0,-1000.0,780.8200172974205,secretion,0.0,0.0,338.5971326623459,secretion
41,gal_e,EX_gal_e,0.0,-1000.0,199.99999999999486,secretion,0.0,0.0,33.3333333333335,secretion
42,galt_e,EX_galt_e,0.0,0.0,565.2888475631254,secretion,0.0,0.0,566.9332662549083,secretion
43,glc__D_e,EX_glc__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,0.0,secretion
44,glcur_e,EX_glcur_e,0.0,-200.00000000000014,0.0,secretion,0.0,0.0,0.0,secretion
45,glucan4_e,EX_glucan4_e,0.0,0.0,200.00000000000134,secretion,0.0,0.0,100.00000000000392,secretion
46,glucan6_e,EX_glucan6_e,0.0,0.0,161.5110993037506,secretion,0.0,0.0,88.75428070352748,secretion
47,gly_e,EX_gly_e,-217.95592943331692,-1000.0,484.95088263758635,secretion,5.049917626832496,-1000.0,215.052550090934,uptake
48,glyc_e,EX_glyc_e,0.0,-200.00000000000125,0.0,secretion,0.0,-1000.0,1000.0,secretion
49,glyclt_e,EX_glyclt_e,-31.427960145689546,-128.28516413111782,-0.016306487323177177,secretion,-14.653426033518937,-63.18957463972146,0.0,secretion
50,gua_e,EX_gua_e,0.0,0.0,1000.0,secretion,3.597819817454254,-0.3847127056494943,3.613933730195237,uptake
51,h2_e,EX_h2_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
52,h2o_e,EX_h2o_e,-145.55822184614146,-1000.0,1000.0,secretion,-1000.0,-1000.0,1000.0,secretion
53,h2s_e,EX_h2s_e,0.0,-199.9999999999983,204.41074720107548,secretion,2.2871008590392274,-99.99701758089304,54.73154104359046,uptake
54,h_e,EX_h_e,-57.29330970075847,-1000.0,1000.0,secretion,-627.63627137775,-1000.0,1000.0,secretion
55,hxan_e,EX_hxan_e,0.0,0.0,102.1277243432417,secretion,0.0,0.0,1000.0,secretion
56,lcts_e,EX_lcts_e,0.0,0.0,1000.0,secretion,0.0,0.0,49.99999999999799,secretion
57,leu__L_e,EX_leu__L_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
58,lmn2_e,EX_lmn2_e,0.0,-1000.0,199.99999999999835,secretion,0.0,-1000.0,100.00000000000126,secretion
59,lmn30_e,EX_lmn30_e,0.0,0.0,79.99999999999994,secretion,0.0,0.0,73.33333333333343,secretion
60,mal__L_e,EX_mal__L_e,0.0,0.0,778.5507933388014,secretion,0.0,0.0,338.5971326623462,secretion
