,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,31.399556734847486,0.0,128.2596010613615,uptake,0.0,0.0,1000.0,secretion
1,4hphac_e,EX_4hphac_e,4.398038903693291,0.0,4.398038903693295,uptake,0.0,0.0,400.0000000000044,secretion
2,LalaLglu_e,EX_LalaLglu_e,31.907761260670544,0.0,399.95470579399375,uptake,0.0,0.0,1000.0,secretion
3,acgam_e,EX_acgam_e,6.368477767277907,5.731629990550127,205.73162999054898,uptake,0.0,0.0,200.000000000001,secretion
4,adn_e,EX_adn_e,9.521988745691626,0.0,1000.0,uptake,13.424067085071087,-1000.0,1000.0,uptake
5,arg__L_e,EX_arg__L_e,9.418723878693328,0.0,178.0882697270827,uptake,19.42656521977415,-49.182757968870305,1000.0,uptake
6,asp__L_e,EX_asp__L_e,37.63171723551119,0.0,778.550793338779,uptake,0.0,-1000.0,1000.0,secretion
7,ca2_e,EX_ca2_e,0.16573963389340746,0.1491656705040669,0.16573963389340746,uptake,0.3418458645565953,0.30766127810093574,0.34184586455659455,uptake
8,cgly_e,EX_cgly_e,7.842398261736697,0.0,1000.0,uptake,0.0,-1000.0,405.4472301142543,secretion
9,cl_e,EX_cl_e,0.16573963389340746,0.14916567050406676,0.16573963389340762,uptake,0.3418458645565953,0.30766127810093574,0.34184586455659544,uptake
10,cobalt2_e,EX_cobalt2_e,0.003184238883638954,0.002865814995275062,0.0031842388836389505,uptake,0.006567643891577244,0.005910879502419518,0.006567643891577237,uptake
11,cu2_e,EX_cu2_e,0.022576253685000172,0.020318628316500182,0.02257625368500015,uptake,0.0,-999.9580918643277,0.046564595191282664,secretion
12,cytd_e,EX_cytd_e,9.700115068840521,0.0,10.533303015133415,uptake,20.00038026658128,-1000.0,1000.0,uptake
13,fe2_e,EX_fe2_e,0.37309726999598186,-199.99999999999923,0.46244701307088565,uptake,0.9538189223737634,-399.14156296985664,1000.0,uptake
14,fe3_e,EX_fe3_e,0.08934974307490351,0.0,0.24862537203452958,uptake,0.0,-1000.0,400.0000000000008,secretion
15,galur_e,EX_galur_e,133.1906306063496,0.0,1000.0,uptake,0.0,0.0,0.0,secretion
16,gsn_e,EX_gsn_e,4.728276318315499,0.0,1000.0,uptake,15.974348884605533,-999.999999999998,414.37691399614806,uptake
17,ile__L_e,EX_ile__L_e,9.251137386247423,-406.6479639865135,9.251137386247427,uptake,19.080910121760464,-982.8271808904163,19.080910121760475,uptake
18,k_e,EX_k_e,6.215411404141392,5.5938702637272595,6.215411404141391,uptake,12.819581141286386,11.537623027157744,12.81958114128639,uptake
19,mg2_e,EX_mg2_e,0.27623272315567915,0.24860945084011157,0.27623272315567887,uptake,0.5697431075943258,0.5127687968348931,0.5697431075943251,uptake
20,mn2_e,EX_mn2_e,0.02200309068594519,0.019802781612611398,0.022003090685945168,uptake,0.04538241929079879,0.04084417736171891,0.045382419290798746,uptake
21,no2_e,EX_no2_e,443.344318214493,-1000.0,533.5610223347078,uptake,465.06011976170055,-1000.0,1000.0,uptake
22,no3_e,EX_no3_e,4.900830223419867,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
23,o2_e,EX_o2_e,94.29744529469696,0.003195383719731692,1000.0,uptake,810.1046443414658,0.0,1000.0,uptake
