,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,12.107158448371642,10.896442603536611,27.563109270203093,uptake,13.529775360929037,0.0,13.529775360928994,uptake
1,4hphac_e,EX_4hphac_e,3.7734110576757547,0.0,41.85760841344737,uptake,0.0,0.0,426.04542771499695,secretion
2,adn_e,EX_adn_e,998.9391370862782,0.0,1000.0,uptake,109.50575398835815,0.0,1000.0,uptake
3,arg__L_e,EX_arg__L_e,8.081037392190973,0.0,173.93960031963996,uptake,0.0,0.0,100.00000000000453,secretion
4,asn__L_e,EX_asn__L_e,20.114978240995793,0.0,623.9725270209132,uptake,55.40811524572923,0.0,990.6713132956593,uptake
5,ca2_e,EX_ca2_e,0.14220059915871291,0.12798053924286684,0.14220059915874078,uptake,0.15890947252496412,0.14301852527246692,0.15890947252496362,uptake
6,cgly_e,EX_cgly_e,18.51167673048119,0.0,1000.0,uptake,2.7959518720146446,0.0,55.54749692463987,uptake
7,cl_e,EX_cl_e,0.14220059915871291,0.12798053924286684,0.14220059915874114,uptake,0.15890947252496412,0.14301852527246692,0.15890947252496396,uptake
8,cobalt2_e,EX_cobalt2_e,0.0027319999838369452,0.0024587999854537353,0.0027319999838374786,uptake,0.0030530158025929726,0.00274771422233366,0.0030530158025929626,uptake
9,cu2_e,EX_cu2_e,0.019369879885403934,0.017432891896866975,0.019369879885407747,uptake,0.0,-200.0000000000132,0.0,secretion
10,cytd_e,EX_cytd_e,8.319732230778826,0.0,174.7977952785612,uptake,9.290510268238583,0.0,10.099099137123794,uptake
11,glu__L_e,EX_glu__L_e,29.276849466792314,-1000.0,440.4776434556891,uptake,0.0,0.0,1000.0,secretion
12,gsn_e,EX_gsn_e,6.644988920686842,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
13,h2s_e,EX_h2s_e,4.204793855123596,-166.6666666666635,170.45098113627748,uptake,4.69886609161281,-100.00000000000439,85.1052136411954,uptake
14,k_e,EX_k_e,5.332672728450859,4.799405455606716,5.332672728451901,uptake,5.95927313555531,5.363345821999748,5.9592731355553,uptake
15,mg2_e,EX_mg2_e,0.23700099859785495,0.21330089873811148,0.23700099859790122,uptake,0.2648491208749403,0.23836420878744494,0.26484912087493945,uptake
16,mn2_e,EX_mn2_e,0.01887811988831345,0.016990307899485326,0.018878119888317002,uptake,0.021096339195917458,0.018986705276325604,0.02109633919591739,uptake
17,nh4_e,EX_nh4_e,53.60140256288851,-1000.0,1000.0,uptake,44.12545110598805,-1000.0,1000.0,uptake
18,o2_e,EX_o2_e,289.0549868024617,0.09324998944900706,1000.0,uptake,80.12221886876021,0.14343755169190955,1000.0,uptake
19,pi_e,EX_pi_e,26.877825641640666,-1000.0,502.2912778444468,uptake,23.946787400017456,-1000.0,96.55210866001471,uptake
