,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,5.9803942074265874,0.0,5.980394207426582,uptake,0.0,0.0,190.90909090916318,secretion
1,arg__L_e,EX_arg__L_e,12.80745417649362,0.0,86.52670875884426,uptake,928.1530103735937,635.3377093347171,1000.0,uptake
2,ca2_e,EX_ca2_e,0.22537052722402665,0.20283347450162378,0.2253705272240267,uptake,0.22328970063362336,0.2009607305701452,0.22328970063350292,uptake
3,cgly_e,EX_cgly_e,10.66398778269953,0.0,10.663987782699603,uptake,3.953407425858269,0.0,303.55806668336334,uptake
4,cl_e,EX_cl_e,0.22537052722402665,0.20283347450162378,0.2253705272240266,uptake,0.22328970063362336,0.2009607305701452,0.2232897006335027,uptake
5,cobalt2_e,EX_cobalt2_e,0.004329885249260841,0.0038968967243347536,0.004329885249260842,uptake,0.004289907793153189,0.003860917013835645,0.004289907793150875,uptake
6,cu2_e,EX_cu2_e,0.030698886417259347,0.02762899777553339,0.030698886417259336,uptake,0.030415446253456095,0.02737390162809471,0.0304154462534397,uptake
7,fe2_e,EX_fe2_e,0.6288292347501521,-149.71702684436497,0.6288292347501514,uptake,0.2880673083102367,0.2592605774790636,11.797722115944467,uptake
8,glc__D_e,EX_glc__D_e,38.44959029122332,-1000.0,284.297115715497,uptake,0.0,-1000.0,0.0,secretion
9,glu__L_e,EX_glu__L_e,882.9272853143377,-1000.0,1000.0,uptake,0.0,0.0,324.21138589299204,secretion
10,k_e,EX_k_e,8.451632914589725,7.606469623130745,8.451632914589718,uptake,8.373599718689515,7.5362397468162206,8.373599718684991,uptake
11,mg2_e,EX_mg2_e,0.3756175453733778,0.33805579083603976,0.375617545373378,uptake,0.37214950105603906,0.3349345509502421,0.3721495010558383,uptake
12,mn2_e,EX_mn2_e,0.029919507072392434,0.026927556365153166,0.029919507072392444,uptake,0.02964326285068856,0.026678936565604328,0.02964326285067257,uptake
13,o2_e,EX_o2_e,604.6326620972823,0.002172519925182419,1000.0,uptake,481.1228696849008,0.065963767181219,1000.0,uptake
14,pi_e,EX_pi_e,5.928608779848045,-150.00000000000057,53.48255674036083,uptake,-1000.0,-1000.0,-699.9999999998752,secretion
