,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,3mb_e,EX_3mb_e,19.285734236682565,0.0,19.285734236682565,uptake,0.0,0.0,300.00000000000273,secretion
1,4hphac_e,EX_4hphac_e,5.912415187936815,0.0,427.9447993856758,uptake,6.241321469629706,0.0,6.241321469629708,uptake
2,but_e,EX_but_e,4.454912103449552,0.0,37.40126970992088,uptake,0.0,-157.56453232212706,299.9999999999992,secretion
3,ca2_e,EX_ca2_e,0.22280874501850628,0.20052787051665524,0.2228087450185063,uptake,0.2352035436791648,0.2116831893112486,0.2352035436791638,uptake
4,cgly_e,EX_cgly_e,3.9544378589941664,0.0,780.2328533313835,uptake,0.0,0.0,303.73355462600284,secretion
5,cit_e,EX_cit_e,0.6684690417308352,0.6016221375577504,0.6684690417308343,uptake,0.031224908488434795,0.028102417639591353,0.031224908488434698,uptake
6,cl_e,EX_cl_e,0.22280874501850628,0.20052787051665524,0.22280874501850617,uptake,0.2352035436791648,0.2116831893112486,0.23520354367916438,uptake
7,cobalt2_e,EX_cobalt2_e,0.004280667531575531,0.0038526007784179706,0.004280667531575526,uptake,0.004518800070685206,0.00406692006361669,0.004518800070685191,uptake
8,cu2_e,EX_cu2_e,0.030349932798870504,0.027314939518983398,0.03034993279887051,uptake,0.03203829250115809,0.02883446325104232,0.0320382925011581,uptake
9,fe2_e,EX_fe2_e,0.287446824745297,-1000.0,0.2874468247452968,uptake,0.3034374247465116,-1000.0,17.979153910092997,uptake
10,fe3_e,EX_fe3_e,0.3342345208654176,0.3008110687823091,1000.0,uptake,0.3528279095191009,0.0,1000.0,uptake
11,glu__L_e,EX_glu__L_e,1000.0,-469.36187125957247,1000.0,uptake,74.16385721210577,-1000.0,1000.0,uptake
12,glyc3p_e,EX_glyc3p_e,951.5236946898071,516.0470132873453,1000.0,uptake,0.0,0.0,348.334973123394,secretion
13,h2s_e,EX_h2s_e,6.5883325911725725,-770.7443599262326,10.532358061301125,uptake,11.103234029682056,-293.7406439992801,309.9929106267118,uptake
14,id3acald_e,EX_id3acald_e,2.433259844973479,0.0,2.433259844973493,uptake,2.568621524179591,-43.34041454128094,2.5686215241795916,uptake
15,k_e,EX_k_e,8.355563374908238,7.5200070374173995,8.355563374908234,uptake,8.820381421972584,7.938343279775337,8.820381421972604,uptake
16,mg2_e,EX_mg2_e,0.37134790836417725,0.33421311752775884,0.37134790836417675,uptake,0.3920059061319415,0.3528053155187478,0.39200590613194025,uptake
17,mn2_e,EX_mn2_e,0.029579412643186944,0.026621471378868198,0.02957941264318691,uptake,0.031224908488434795,0.028102417639591353,0.031224908488434698,uptake
18,o2_e,EX_o2_e,875.6092855431513,0.04602894780166673,1000.0,uptake,983.1899281730489,684.8709353557467,1000.0,uptake
19,pac_e,EX_pac_e,7.9305787023734124,0.0,7.930578702373415,uptake,8.37175495095495,0.0,8.371754950954946,uptake
20,pro__L_e,EX_pro__L_e,9.462629611924301,-219.56251149760826,9.462629611924296,uptake,9.989033496253192,-1000.0,9.989033496253214,uptake
21,so4_e,EX_so4_e,0.1856953575197466,0.0,100.16712582177149,uptake,0.19602554706632427,0.17642299235969208,75.17642299235928,uptake
22,zn2_e,EX_zn2_e,0.01459707628267255,0.01313736865440527,0.014597076282672532,uptake,0.015409108241036537,0.013868197416932902,0.015409108241036489,uptake
