,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,6.566842265873593,0.0,175.8873380569316,uptake,3.387787188335221,0.0,3.3877871883352215,uptake
1,LalaLglu_e,EX_LalaLglu_e,73.38532903611474,0.0,203.53413639908567,uptake,0.0,0.0,1000.0,secretion
2,but_e,EX_but_e,9.661038564559862,0.0,63.62642738304417,uptake,0.0,0.0,18.286302689531066,secretion
3,ca2_e,EX_ca2_e,0.24787096067958483,0.22308386461160598,0.24787096067958495,uptake,0.1276684041680348,0.11490156375122347,0.12766840416803435,uptake
4,cgly_e,EX_cgly_e,4.361195500295177,0.0,362.9814181072348,uptake,0.0,0.0,164.38734126575096,secretion
5,cl_e,EX_cl_e,0.24787096067958483,0.22308386461160593,0.24787096067958497,uptake,0.1276684041680348,0.11490156375122347,0.12766840416803435,uptake
6,cobalt2_e,EX_cobalt2_e,0.00476217023399779,0.0042859532105976195,0.004762170233997792,uptake,0.002452803154044858,0.0022075228386029266,0.0024528031540285156,uptake
7,cu2_e,EX_cu2_e,0.03376378695904432,0.030387408263137104,0.03376378695904435,uptake,0.017390374362178034,0.015651336925959165,0.017390374362178038,uptake
8,fe2_e,EX_fe2_e,0.6916099830834993,0.6224489847750917,0.6916099830834995,uptake,0.35622060206193484,0.0,7.351532036710645,uptake
9,glc__D_e,EX_glc__D_e,2.802180019940148,-1000.0,221.85095384104753,uptake,0.0,-1000.0,133.33333333341258,secretion
10,h2o_e,EX_h2o_e,36.85154440671502,-1000.0,1000.0,uptake,642.0936445843704,-918.8095549232573,1000.0,uptake
11,h2s_e,EX_h2s_e,7.329408585443646,-352.45987443007135,307.57773671471386,uptake,6.040959832033995,-318.9504774170156,165.4368638489285,uptake
12,k_e,EX_k_e,9.295422944847319,8.365880650361811,9.295422944847303,uptake,4.787700060474786,4.308930054427016,4.7877000604747755,uptake
13,mg2_e,EX_mg2_e,0.4131182677993082,0.3718064410193434,0.4131182677993084,uptake,0.21278067361339137,0.1915026062520392,0.21278067361339084,uptake
14,mn2_e,EX_mn2_e,0.03290659631692476,0.029615936685229577,0.032906596316924774,uptake,0.016948869794449983,0.015253982815003944,0.01694886979444994,uptake
15,o2_e,EX_o2_e,35.3088373751814,0.16254477551647312,1000.0,uptake,0.09575743513391129,0.08618169162051428,100.08618169167977,uptake
16,pac_e,EX_pac_e,8.82263468401601,0.0,8.82263468401601,uptake,4.544185763341209,0.0,4.5441857633412,uptake
17,pi_e,EX_pi_e,37.24431431797311,-1000.0,112.54655539037685,uptake,-615.7806928586996,-1000.0,-454.20262357272964,secretion
18,ser__D_e,EX_ser__D_e,5.028423171791092,-1000.0,472.6152869032112,uptake,0.0,-1000.0,1000.0,secretion
19,ser__L_e,EX_ser__L_e,31.273505278579833,0.0,1000.0,uptake,14.269084236529785,0.0,1000.0,uptake
20,so4_e,EX_so4_e,0.20658294475082423,0.18592465027575145,75.18592465033825,uptake,0.10640260082246598,0.09576234074021285,0.10640260082246576,uptake
21,thr__L_e,EX_thr__L_e,25.916492360653436,-129.7881411263421,382.3811852815557,uptake,13.348547212816662,0.0,970.8141840616227,uptake
22,uaagmda_e,EX_uaagmda_e,4.76217023399779,4.285953210597617,38.57166749634025,uptake,0.0,0.0,1000.0,secretion
23,zn2_e,EX_zn2_e,0.016239000497932452,0.014615100448137871,0.01623900049793246,uptake,0.008364058755292959,0.00752765287976315,0.008364058755292938,uptake
24,Larab_e,EX_Larab_e,0.0,0.0,412.775643474557,secretion,0.0,0.0,333.3333333333333,secretion
25,ade_e,EX_ade_e,0.0,-1000.0,71.03285789524033,secretion,7.334739911698672,-10.883934748117895,10.951976732229618,uptake
26,ala__D_e,EX_ala__D_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,1000.0,secretion
27,alaala_e,EX_alaala_e,0.0,-34.285714285743204,500.0,secretion,0.0,-1000.0,0.0,secretion
28,amylose300_e,EX_amylose300_e,0.0,0.0,10.0,secretion,0.0,0.0,9.642259069966016,secretion
