,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,3mb_e,EX_3mb_e,21.455053176932594,0.0,21.455053176932463,uptake,0.0,0.0,1000.0,secretion
1,4hphac_e,EX_4hphac_e,6.566842265873593,0.0,175.8873380569316,uptake,0.0,0.0,0.0,secretion
2,LalaLglu_e,EX_LalaLglu_e,73.38532903611474,0.0,203.53413639908567,uptake,13.760356216177879,0.0,165.15575483991552,uptake
3,but_e,EX_but_e,9.661038564559862,0.0,63.62642738304417,uptake,0.0,0.0,260.0000000000001,secretion
4,ca2_e,EX_ca2_e,0.24787096067958483,0.22308386461160598,0.24787096067958495,uptake,0.1968910242385428,0.17720192181468858,0.19689102423854288,uptake
5,cgly_e,EX_cgly_e,4.361195500295177,0.0,362.9814181072348,uptake,3.494446864194497,0.0,263.14500217777197,uptake
6,cl_e,EX_cl_e,0.24787096067958483,0.22308386461160593,0.24787096067958497,uptake,0.1968910242385428,0.17720192181468858,0.19689102423854296,uptake
7,cobalt2_e,EX_cobalt2_e,0.00476217023399779,0.0042859532105976195,0.004762170233997792,uptake,0.0037827286116915064,0.003404455750522357,0.0037827286116680625,uptake
8,cu2_e,EX_cu2_e,0.03376378695904432,0.030387408263137104,0.03376378695904435,uptake,0.02681954585689277,0.0241375912712035,0.02681954585689283,uptake
9,cytd_e,EX_cytd_e,6.3578782360057815,0.0,313.89735329397456,uptake,0.0,-573.8640420877277,0.0,secretion
10,fe2_e,EX_fe2_e,0.6916099830834993,0.6224489847750917,0.6916099830834995,uptake,0.2540102262750847,-999.5055708913516,15.522726850706475,uptake
11,glc__D_e,EX_glc__D_e,2.802180019940148,-1000.0,221.85095384104753,uptake,0.0,-1000.0,118.1818181818186,secretion
12,h2o_e,EX_h2o_e,36.85154440671502,-1000.0,1000.0,uptake,1000.0,-1000.0,1000.0,uptake
13,h2s_e,EX_h2s_e,7.329408585443646,-352.45987443007135,307.57773671471386,uptake,5.82195977896827,-254.76023619893274,136.81226488995878,uptake
14,k_e,EX_k_e,9.295422944847319,8.365880650361811,9.295422944847303,uptake,7.383621459019012,6.645259313117114,7.383621459019023,uptake
15,mg2_e,EX_mg2_e,0.4131182677993082,0.3718064410193434,0.4131182677993084,uptake,0.3281517070642381,0.2953365363578144,0.3281517070642382,uptake
16,mn2_e,EX_mn2_e,0.03290659631692476,0.029615936685229577,0.032906596316924774,uptake,0.02613865470678833,0.023524789236109508,0.02613865470678834,uptake
17,nmn_e,EX_nmn_e,0.1084822379304029,0.0,0.10848223792920689,uptake,0.0861705577742331,0.0,0.0861705577743366,uptake
18,no3_e,EX_no3_e,441.55667654044146,0.0,764.9225728968823,uptake,0.0,0.0,0.08615799360417944,secretion
19,o2_e,EX_o2_e,35.3088373751814,0.16254477551647312,1000.0,uptake,862.6595266131638,0.0075919363236648515,1000.0,uptake
20,pi_e,EX_pi_e,37.24431431797311,-1000.0,112.54655539037685,uptake,-658.4915684113997,-1000.0,-392.642411570258,secretion
21,ser__D_e,EX_ser__D_e,5.028423171791092,-1000.0,472.6152869032112,uptake,0.0,0.0,0.0,secretion
22,so4_e,EX_so4_e,0.20658294475082423,0.18592465027575145,75.18592465033825,uptake,0.1640947671751776,0.1476852904576599,86.81435195712518,uptake
23,thr__L_e,EX_thr__L_e,25.916492360653436,-129.7881411263421,382.3811852815557,uptake,9.59629073314184,-130.70124979549394,1000.0,uptake
24,uaagmda_e,EX_uaagmda_e,4.76217023399779,4.285953210597617,38.57166749634025,uptake,0.0,0.0,1000.0,secretion
25,zn2_e,EX_zn2_e,0.016239000497932452,0.014615100448137871,0.01623900049793246,uptake,0.012899104565868026,0.011609194109281228,0.012899104565868031,uptake
26,12ppd__S_e,EX_12ppd__S_e,0.0,-410.55241285855453,0.0,secretion,0.0,-433.333333333336,0.0,secretion
27,23camp_e,EX_23camp_e,0.0,0.0,1000.0,secretion,648.2608384355071,0.0,1000.0000000000006,uptake
28,23ccmp_e,EX_23ccmp_e,0.0,0.0,313.897353293973,secretion,0.0,0.0,573.8640420877293,secretion
29,23cgmp_e,EX_23cgmp_e,0.0,0.0,999.9999999999966,secretion,9.158477723624678,0.0,43.07900579917319,uptake
30,Larab_e,EX_Larab_e,0.0,0.0,412.775643474557,secretion,0.0,0.0,710.0,secretion
31,ac_e,EX_ac_e,-1000.0,-1000.0,-652.6859695731684,secretion,-1000.0,-1000.0,-740.0000000000032,secretion
32,acald_e,EX_acald_e,-1000.0,-1000.0,410.5524128585567,secretion,-40.67227630576825,-1000.0,1000.0,secretion
33,ade_e,EX_ade_e,0.0,-1000.0,71.03285789524033,secretion,0.0,-999.9999999999982,1000.0,secretion
34,ala__D_e,EX_ala__D_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,712.4390741945265,secretion
35,alaala_e,EX_alaala_e,0.0,-34.285714285743204,500.0,secretion,0.0,-1000.0,0.0,secretion
36,amylose300_e,EX_amylose300_e,0.0,0.0,10.0,secretion,0.0,0.0,10.565217391304301,secretion
37,arab__L_e,EX_arab__L_e,0.0,-1000.0,238.32693042367302,secretion,0.0,-1000.0,1000.0,secretion
38,asp__L_e,EX_asp__L_e,0.0,0.0,323.9762193173527,secretion,0.0,0.0,260.0000000000018,secretion
39,bz_e,EX_bz_e,0.0,-999.8374552244888,0.0,secretion,0.0037827286116915064,-999.9890036079254,0.0037827286116915077,uptake
40,co2_e,EX_co2_e,-1000.0,-1000.0,-545.2792046911625,secretion,-1000.0,-1000.0,-254.66025033061982,secretion
41,csn_e,EX_csn_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
42,etoh_e,EX_etoh_e,0.0,-1000.0,410.5524128585537,secretion,0.0,-1000.0,999.9999999999999,secretion
43,for_e,EX_for_e,0.0,0.0,0.0,secretion,0.0,-745.3397496693744,0.0,secretion
44,fum_e,EX_fum_e,0.0,-1000.0,329.3022662233405,secretion,40.8442391484557,-0.003684884824054317,989.929892246415,uptake
45,gal_e,EX_gal_e,0.0,-1000.0,150.00000000012008,secretion,0.0,0.0,118.181818181818,secretion
46,galur_e,EX_galur_e,0.0,0.0,237.59790514050675,secretion,0.0,0.0,433.33333333334855,secretion
47,glcur_e,EX_glcur_e,0.0,-151.30254404035702,237.5979051405066,secretion,0.0,0.0,0.0,secretion
48,gln__L_e,EX_gln__L_e,0.0,0.0,271.3788485321136,secretion,21.12063823966282,0.0,116.44002803184128,uptake
49,glucan4_e,EX_glucan4_e,0.0,0.0,49.144198635675565,secretion,0.0,0.0,44.82758620689635,secretion
50,glucan6_e,EX_glucan6_e,0.0,0.0,34.056067475599676,secretion,0.0,0.0,31.707317073170525,secretion
51,glyc_e,EX_glyc_e,0.0,0.0,0.0,secretion,0.0,-1000.0,1000.0,secretion
52,glyclt_e,EX_glyclt_e,-0.031858918865447165,-0.042476265483880365,-0.028673026978896843,secretion,0.0,-163.43827500289694,0.0,secretion
53,glycogen1500_e,EX_glycogen1500_e,0.0,0.0,1.629134605121402,secretion,0.0,0.0,1.4909090909090916,secretion
54,gua_e,EX_gua_e,0.0,0.0,1000.0,secretion,0.0,0.0,43.0790057991734,secretion
55,h2_e,EX_h2_e,0.0,-1000.0,1000.0,secretion,0.0,0.0,0.0,secretion
56,h_e,EX_h_e,-37.07079274006466,-1000.0,1000.0,secretion,-1000.0,-1000.0,633.4861394684033,secretion
57,hxan_e,EX_hxan_e,0.0,0.0,102.12140397422169,secretion,-640.5328373636776,-1000.0,101.60504637645585,secretion
58,lcts_e,EX_lcts_e,0.0,0.0,1000.0,secretion,0.0,0.0,108.33333333333324,secretion
59,leu__L_e,EX_leu__L_e,0.0,0.0,0.0,secretion,17.042365041539867,-984.661871462615,17.042365041539846,uptake
60,lmn2_e,EX_lmn2_e,0.0,-1000.0,88.2361748231448,secretion,0.0,0.0,76.47058823529403,secretion
61,lyx__L_e,EX_lyx__L_e,0.0,0.0,238.32693042367148,secretion,0.0,0.0,259.9999999999997,secretion
62,malt_e,EX_malt_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,108.33333333333411,secretion
63,melib_e,EX_melib_e,0.0,0.0,102.57737939304144,secretion,0.0,0.0,108.33333333333348,secretion
64,meoh_e,EX_meoh_e,0.0,0.0,0.0,secretion,0.0,-1000.0,0.0,secretion
