,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ala__D_e,EX_ala__D_e,5.809308999331942,-994.5045715553326,1000.0,uptake,0.0,-1000.0,0.0,secretion
1,ca2_e,EX_ca2_e,0.15890947252496412,0.14301852527246692,0.15890947252496362,uptake,0.20318423096033816,0.18286580786422832,0.20318423096026694,uptake
2,cgly_e,EX_cgly_e,2.7959518720146446,0.0,55.54749692463987,uptake,10.545007850530057,0.0,154.18332678525937,uptake
3,cl_e,EX_cl_e,0.15890947252496412,0.14301852527246692,0.15890947252496396,uptake,0.20318423096033816,0.18286580786422837,0.20318423096026694,uptake
4,coa_e,EX_coa_e,0.017585371022837748,-24.984173166080552,0.01758537102293857,uptake,0.022484940832537603,-27.382911693013185,0.02248494083249154,uptake
5,cobalt2_e,EX_cobalt2_e,0.0030530158025929726,0.00274771422233366,0.0030530158025929626,uptake,0.0039036355611976616,0.003513272005076437,0.0039036355611962894,uptake
6,cytd_e,EX_cytd_e,9.290510268238583,0.0,10.099099137123794,uptake,669.2732062073441,395.31934157627614,1000.0,uptake
7,fe2_e,EX_fe2_e,0.4433894850105775,0.3990505365095175,15.009065755968319,uptake,0.262129127934423,-1000.0,0.26212912793448206,uptake
8,h2o_e,EX_h2o_e,421.2548057462958,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
9,h2s_e,EX_h2s_e,4.69886609161281,-100.00000000000439,85.1052136411954,uptake,0.0,-196.60022311610234,260.00000000014967,secretion
10,ile__L_e,EX_ile__L_e,8.869896281115345,-484.2423770120039,8.869896281115357,uptake,11.341193359591962,-442.2721811136958,11.34119335958799,uptake
11,k_e,EX_k_e,5.95927313555531,5.363345821999748,5.9592731355553,uptake,7.6196233609685615,6.857661024868854,7.619623360965891,uptake
12,mg2_e,EX_mg2_e,0.2648491208749403,0.23836420878744494,0.26484912087493945,uptake,0.33864038493389703,0.3047763464403809,0.338640384933778,uptake
13,mn2_e,EX_mn2_e,0.021096339195917458,0.018986705276325604,0.02109633919591739,uptake,0.02697412172787586,0.024276709555078203,0.026974121727866382,uptake
14,nh4_e,EX_nh4_e,44.12545110598805,-1000.0,1000.0,uptake,-426.3871951073189,-1000.0,508.7819898378157,secretion
15,o2_e,EX_o2_e,80.12221886876021,0.14343755169190955,1000.0,uptake,727.8813737766384,0.00783459657123554,1000.0,uptake
16,pi_e,EX_pi_e,23.946787400017456,-1000.0,96.55210866001471,uptake,38.42602219199027,-1000.0,116.79286439206481,uptake
17,pro__L_e,EX_pro__L_e,6.748844082421903,0.0,6.748844082421895,uptake,0.0,-266.2652179668029,8.629181589804372,secretion
18,so4_e,EX_so4_e,0.1324398255164832,0.11919584296483421,80.11919584296795,uptake,0.16933971064475462,0.15240573958021578,86.81907240629681,uptake
19,zn2_e,EX_zn2_e,0.010410783886842028,0.009369705498157773,0.010410783886841994,uptake,0.013311397263684015,0.011980257537310642,0.013311397263679336,uptake
20,4abut_e,EX_4abut_e,0.0,-1000.0,0.0,secretion,0.0,-260.00000000016195,0.0,secretion
21,4hphac_e,EX_4hphac_e,0.0,0.0,426.04542771499695,secretion,5.391662400770604,0.0,151.33136940021436,uptake
22,Larab_e,EX_Larab_e,0.0,0.0,377.77777777777897,secretion,0.0,0.0,333.3333333333333,secretion
23,acald_e,EX_acald_e,-896.9309497584165,-1000.0,-286.1850332738743,secretion,415.46938045159436,-1000.0,1000.0,uptake
24,ade_e,EX_ade_e,-989.8989140361809,-1000.0,-390.9090226325271,secretion,11.65075165959727,-66.25841371637783,41.51320386563282,uptake
25,ala__L_e,EX_ala__L_e,0.0,-1000.0,1000.0,secretion,0.0,0.0,1000.0,secretion
26,alaala_e,EX_alaala_e,0.0,-10.000000000000371,0.0,secretion,0.0,-1000.0,0.0,secretion
27,arab__L_e,EX_arab__L_e,0.0,-1000.0,133.33333333333871,secretion,0.0,-1000.0,0.0,secretion
28,arg__L_e,EX_arg__L_e,0.0,0.0,100.00000000000453,secretion,11.54664169917778,0.0,270.39197752941266,uptake
29,aso3_e,EX_aso3_e,0.0,-997.7963331936901,0.0,secretion,0.0,-1000.0,0.0,secretion
30,aso4_e,EX_aso4_e,0.0,0.0,997.7963331936827,secretion,0.0,0.0,999.9999999999995,secretion
31,cellb_e,EX_cellb_e,0.0,0.0,66.66666666666859,secretion,0.0,0.0,108.33333333339682,secretion
32,chol_e,EX_chol_e,0.0,0.0,0.0,secretion,0.0,0.0,260.0000000001484,secretion
33,co2_e,EX_co2_e,-224.898663007822,-1000.0,252.30194888043133,secretion,-754.2416548195137,-1000.0,-311.9648043052273,secretion
34,cu2_e,EX_cu2_e,0.0,-200.0000000000132,0.0,secretion,0.027676776128891405,0.02490909851599191,0.027676776128881704,uptake
35,dha_e,EX_dha_e,0.0,-609.0909773674675,0.0,secretion,0.0,0.0,433.33333333358246,secretion
36,for_e,EX_for_e,0.0,0.0,200.00000000000438,secretion,0.0,0.0,0.0,secretion
37,galt_e,EX_galt_e,0.0,0.0,100.00000000000348,secretion,0.0,0.0,216.66666666679401,secretion
38,galur_e,EX_galur_e,0.0,0.0,200.00000000000668,secretion,0.0,0.0,433.33333333359053,secretion
39,glc__D_e,EX_glc__D_e,0.0,-1000.0,133.33333333333826,secretion,0.0,-81.25000000004857,0.0,secretion
40,gln__L_e,EX_gln__L_e,0.0,0.0,886.6611778022116,secretion,34.903849897825914,0.0,291.413464908181,uptake
41,glu__L_e,EX_glu__L_e,0.0,0.0,1000.0,secretion,0.0,0.0,260.0000000001579,secretion
42,glucan4_e,EX_glucan4_e,0.0,0.0,28.571428571429294,secretion,0.0,0.0,44.827586206922795,secretion
43,glucan6_e,EX_glucan6_e,0.0,0.0,20.000000000003997,secretion,0.0,0.0,31.707317073189277,secretion
44,glyb_e,EX_glyb_e,0.0,0.0,0.0,secretion,0.0,-260.0000000001403,0.0,secretion
45,glyc_e,EX_glyc_e,0.0,-609.0909773674689,0.0,secretion,0.0,-30.952380952398762,447.1864459113573,secretion
46,glyclt_e,EX_glyclt_e,-0.020424675719347814,-0.020424675719348202,-0.018382208147411497,secretion,-0.008705107301470779,-1000.0,-0.007834596571342445,secretion
47,gua_e,EX_gua_e,0.0,0.0,609.0909773674622,secretion,5.752982908315075,0.0,30.95306469046454,uptake
48,h_e,EX_h_e,-822.3328206944017,-1000.0,1000.0,secretion,-550.7325038496275,-1000.0,294.79909974131783,secretion
49,hxan_e,EX_hxan_e,0.0,0.0,152.27274434186467,secretion,0.0,0.0,74.83336795278466,secretion
50,indole_e,EX_indole_e,0.0,-38.068186085466756,1000.0,secretion,2.2189435620515865,0.0,2.2189435620508093,uptake
51,lcts_e,EX_lcts_e,0.0,0.0,1000.0,secretion,0.0,0.0,81.25000000004817,secretion
52,leu__L_e,EX_leu__L_e,0.0,-865.4435850306882,13.754782625580136,secretion,17.587088330219444,-560.0677259451322,17.58708833021326,uptake
53,lmn2_e,EX_lmn2_e,0.0,-1000.0,50.000000000001336,secretion,0.0,-1000.0,76.47058823533929,secretion
54,lmn30_e,EX_lmn30_e,0.0,0.0,70.0000000000001,secretion,0.0,0.0,71.76470588235583,secretion
55,malt_e,EX_malt_e,0.0,-1000.0,0.0,secretion,0.0,0.0,108.33333333339709,secretion
56,malttr_e,EX_malttr_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,72.2222222222634,secretion
57,melib_e,EX_melib_e,0.0,-1000.0,50.000000000001656,secretion,0.0,0.0,108.33333333339709,secretion
58,no3_e,EX_no3_e,0.0,0.0,425.53113520791715,secretion,0.0,0.0,47.17120310081212,secretion
59,progly_e,EX_progly_e,0.0,0.0,6.74884408242192,secretion,8.629181589805498,0.0,154.18332678525942,uptake
60,pullulan1200_e,EX_pullulan1200_e,0.0,0.0,2.5,secretion,0.0,0.0,2.6805555555556624,secretion
61,raffin_e,EX_raffin_e,0.0,0.0,1000.0,secretion,0.0,0.0,72.22222222226313,secretion
62,s_e,EX_s_e,0.0,-79.30351123073476,0.0,secretion,0.0,-137.01574069881295,0.0,secretion
63,spmd_e,EX_spmd_e,0.0,-100.00000000000455,0.0,secretion,0.0,-39.12187322541873,0.0,secretion
64,udcpdp_e,EX_udcpdp_e,0.0,0.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
65,udcpp_e,EX_udcpp_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
66,ura_e,EX_ura_e,0.0,0.0,10.099099137124144,secretion,-656.3601749526803,-1000.0,-383.6976134471263,secretion
67,val__L_e,EX_val__L_e,0.0,-988.3727175424914,889.4501718512128,secretion,-113.58772511518887,-985.1331679178794,317.8560756204053,secretion
68,xyl3_e,EX_xyl3_e,0.0,0.0,36.36363636363714,secretion,0.0,0.0,65.00000000003071,secretion
