,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ala__D_e,EX_ala__D_e,5.809308999331942,-994.5045715553326,1000.0,uptake,0.0,-18.1818181818182,541.5846732749862,secretion
1,ca2_e,EX_ca2_e,0.15890947252496412,0.14301852527246692,0.15890947252496362,uptake,0.15407965403034396,0.1386716886273095,0.15407965403034388,uptake
2,cgly_e,EX_cgly_e,2.7959518720146446,0.0,55.54749692463987,uptake,17.020280952778222,0.0,217.55700802887276,uptake
3,cl_e,EX_cl_e,0.15890947252496412,0.14301852527246692,0.15890947252496396,uptake,0.15407965403034396,0.1386716886273095,0.15407965403034415,uptake
4,cobalt2_e,EX_cobalt2_e,0.0030530158025929726,0.00274771422233366,0.0030530158025929626,uptake,0.0029602239006790406,0.002664201510611135,0.0029602239006790423,uptake
5,fe2_e,EX_fe2_e,0.4433894850105775,0.3990505365095175,15.009065755968319,uptake,0.0,-333.8643131347397,0.19877903493059765,secretion
6,gam6p_e,EX_gam6p_e,6.106031605180479,5.4954284446673185,405.495428444682,uptake,15.942818657412221,0.0,214.3485367916715,uptake
7,h2o_e,EX_h2o_e,421.2548057462958,-1000.0,1000.0,uptake,-736.4455898932158,-1000.0,1000.0,secretion
8,h2s_e,EX_h2s_e,4.69886609161281,-100.00000000000439,85.1052136411954,uptake,0.0,-200.00000000000057,100.69330959944301,secretion
9,ile__L_e,EX_ile__L_e,8.869896281115345,-484.2423770120039,8.869896281115357,uptake,0.0,0.0,0.0,secretion
10,k_e,EX_k_e,5.95927313555531,5.363345821999748,5.9592731355553,uptake,5.778149838452447,5.2003348546072,5.7781498384524435,uptake
11,mg2_e,EX_mg2_e,0.2648491208749403,0.23836420878744494,0.26484912087493945,uptake,0.2567994233839067,0.2311194810455159,0.2567994233839068,uptake
12,mn2_e,EX_mn2_e,0.021096339195917458,0.018986705276325604,0.02109633919591739,uptake,0.020455147153692187,0.01840963243832296,0.020455147153692198,uptake
13,nh4_e,EX_nh4_e,44.12545110598805,-1000.0,1000.0,uptake,27.575136884080393,-1000.0,1000.0,uptake
14,o2_e,EX_o2_e,80.12221886876021,0.14343755169190955,1000.0,uptake,535.743005172236,8.259957153429104,1000.0,uptake
15,pi_e,EX_pi_e,23.946787400017456,-1000.0,96.55210866001471,uptake,0.0,-200.00000000000153,37.554969692712035,secretion
16,so4_e,EX_so4_e,0.1324398255164832,0.11919584296483421,80.11919584296795,uptake,0.12841451281145683,0.11557306153028783,66.78223972819714,uptake
17,thym_e,EX_thym_e,0.009861241042375296,0.0,9.925124634131121,uptake,0.016162822497708618,0.0,4.534975901153025,uptake
18,trp__L_e,EX_trp__L_e,1.7354257726679232,-1000.0,1.735425772667953,uptake,1.6826800718629868,-23.485587935322858,1.682680071862986,uptake
19,zn2_e,EX_zn2_e,0.010410783886842028,0.009369705498157773,0.010410783886841994,uptake,0.01009436350131552,0.009084927151183964,0.010094363501315526,uptake
20,3hoxpac_e,EX_3hoxpac_e,0.0,0.0,426.04542771499763,secretion,0.0,0.0,81.74049975713666,secretion
21,4abut_e,EX_4abut_e,0.0,-1000.0,0.0,secretion,0.0,-200.0000000000016,0.0,secretion
22,4hphac_e,EX_4hphac_e,0.0,0.0,426.04542771499695,secretion,4.088631649378888,0.0,4.0886316493788915,uptake
23,acald_e,EX_acald_e,-896.9309497584165,-1000.0,-286.1850332738743,secretion,0.0,-1000.0,1000.0,secretion
24,alaala_e,EX_alaala_e,0.0,-10.000000000000371,0.0,secretion,34.97286962195583,-22.222222222222477,270.7923366374933,uptake
25,alltn_e,EX_alltn_e,0.0,0.0,447.2506960287249,secretion,0.0,0.0,61.230473012549346,secretion
26,arab__D_e,EX_arab__D_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
27,co2_e,EX_co2_e,-224.898663007822,-1000.0,252.30194888043133,secretion,-1000.0,-1000.0,-799.999999999998,secretion
28,cu2_e,EX_cu2_e,0.0,-200.0000000000132,0.0,secretion,0.02098798745581439,0.01888918871023294,0.020987987455814372,uptake
29,enlipa_e,EX_enlipa_e,0.0,-3.8834951456310787,0.0,secretion,0.0,-3.8461538461539804,0.0,secretion
30,etha_e,EX_etha_e,0.0,-36.36363636363563,0.0,secretion,0.0,-25.000000000000753,0.0,secretion
31,for_e,EX_for_e,0.0,0.0,200.00000000000438,secretion,-2.1213556517046204,-204.14797525792,174.8675510720402,secretion
32,fru_e,EX_fru_e,0.0,-999.9999999999997,0.0,secretion,0.0,-200.00000000000045,0.0,secretion
33,gal_e,EX_gal_e,0.0,-1000.0,80.00000000000306,secretion,0.0,0.0,200.0000000000019,secretion
34,galt_e,EX_galt_e,0.0,0.0,100.00000000000348,secretion,0.0,0.0,543.5755422571469,secretion
35,galur_e,EX_galur_e,0.0,0.0,200.00000000000668,secretion,0.0,0.0,0.0,secretion
36,glc__D_e,EX_glc__D_e,0.0,-1000.0,133.33333333333826,secretion,0.0,0.0,714.2343624359279,secretion
37,gln__L_e,EX_gln__L_e,0.0,0.0,886.6611778022116,secretion,44.03756364277869,0.0,1000.0,uptake
38,glu__L_e,EX_glu__L_e,0.0,0.0,1000.0,secretion,0.0,-1000.0,242.29800878911334,secretion
39,glyc_e,EX_glyc_e,0.0,-609.0909773674689,0.0,secretion,0.0,-199.99999999999875,1000.0,secretion
40,glyclt_e,EX_glyclt_e,-0.020424675719347814,-0.020424675719348202,-0.018382208147411497,secretion,-0.019803897895542932,-107.19506248862545,-0.01782350810598743,secretion
41,h_e,EX_h_e,-822.3328206944017,-1000.0,1000.0,secretion,-915.6800351414071,-1000.0,-665.9567857338283,secretion
42,hxan_e,EX_hxan_e,0.0,0.0,152.27274434186467,secretion,0.0,0.0,0.0,secretion
43,inost_e,EX_inost_e,0.0,0.0,0.0,secretion,0.0,-200.00000000000077,0.0,secretion
44,kdo2lipid4_e,EX_kdo2lipid4_e,0.0,-5.555555555555761,0.0,secretion,0.0,-5.405405405405424,0.0,secretion
45,lcts_e,EX_lcts_e,0.0,0.0,1000.0,secretion,0.0,0.0,200.00000000000455,secretion
46,leu__L_e,EX_leu__L_e,0.0,-865.4435850306882,13.754782625580136,secretion,0.0,0.0,0.0,secretion
47,malthp_e,EX_malthp_e,0.0,0.0,17.39130434782665,secretion,0.0,0.0,89.27929530449263,secretion
48,malttr_e,EX_malttr_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
49,no3_e,EX_no3_e,0.0,0.0,425.53113520791715,secretion,0.0,0.0,997.1602542518549,secretion
50,progly_e,EX_progly_e,0.0,0.0,6.74884408242192,secretion,0.0,0.0,6.543722943646057,secretion
51,pullulan1200_e,EX_pullulan1200_e,0.0,0.0,2.5,secretion,0.0,0.0,2.5,secretion
52,raffin_e,EX_raffin_e,0.0,0.0,1000.0,secretion,0.0,0.0,200.0000000000004,secretion
53,s_e,EX_s_e,0.0,-79.30351123073476,0.0,secretion,0.0,-21.564199266972985,0.0,secretion
54,tartr__D_e,EX_tartr__D_e,0.0,0.0,752.9101981047,secretion,0.0,0.0,1000.0,secretion
55,val__L_e,EX_val__L_e,0.0,-988.3727175424914,889.4501718512128,secretion,0.0,0.0,0.0,secretion
56,5drib_c,sink_5drib_c,0.0,-79.30351123073456,0.0,secretion,-0.006601299298514256,-32.35224006982819,-0.005941169368611554,secretion
57,lipopb_c,sink_lipopb_c,0.0,-16.267386919125972,0.0,secretion,0.0,-10.78209963348651,0.0,secretion
