,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ala__D_e,EX_ala__D_e,5.809308999331942,-994.5045715553326,1000.0,uptake,0.0,-1000.0,1000.0,secretion
1,asn__L_e,EX_asn__L_e,55.40811524572923,0.0,990.6713132956593,uptake,9.06222285500158,8.156000569797321,1000.0,uptake
2,ca2_e,EX_ca2_e,0.15890947252496412,0.14301852527246692,0.15890947252496362,uptake,0.19567679558724457,0.1761091160349093,0.1956767955872058,uptake
3,cgly_e,EX_cgly_e,2.7959518720146446,0.0,55.54749692463987,uptake,3.464513117029419,0.0,174.90563104443623,uptake
4,cl_e,EX_cl_e,0.15890947252496412,0.14301852527246692,0.15890947252496396,uptake,0.19567679558724457,0.1761091160349093,0.1956767955872065,uptake
5,cobalt2_e,EX_cobalt2_e,0.0030530158025929726,0.00274771422233366,0.0030530158025929626,uptake,0.0037594004915897155,0.003383460442553495,0.0037594004915889705,uptake
6,cytd_e,EX_cytd_e,9.290510268238583,0.0,10.099099137123794,uptake,4.99943874448069,0.0,12.42985075531427,uptake
7,fe2_e,EX_fe2_e,0.4433894850105775,0.3990505365095175,15.009065755968319,uptake,0.25244374301024947,-1000.0,10.113348069328532,uptake
8,h2o_e,EX_h2o_e,421.2548057462958,-1000.0,1000.0,uptake,-450.1540187190465,-1000.0,1000.0,secretion
9,h2s_e,EX_h2s_e,4.69886609161281,-100.00000000000439,85.1052136411954,uptake,0.015902264079436464,-921.7735266697786,227.05842235708485,uptake
10,ile__L_e,EX_ile__L_e,8.869896281115345,-484.2423770120039,8.869896281115357,uptake,10.922148654210693,-275.51881149884304,10.922148654208527,uptake
11,k_e,EX_k_e,5.95927313555531,5.363345821999748,5.9592731355553,uptake,7.338086601548723,6.604277941633453,7.33808660154727,uptake
12,mg2_e,EX_mg2_e,0.2648491208749403,0.23836420878744494,0.26484912087493945,uptake,0.32612799264540776,0.2935151933915156,0.3261279926453431,uptake
13,mn2_e,EX_mn2_e,0.021096339195917458,0.018986705276325604,0.02109633919591739,uptake,0.025977457396884958,0.023379711658044672,0.025977457396879806,uptake
14,nh4_e,EX_nh4_e,44.12545110598805,-1000.0,1000.0,uptake,-355.29799056188926,-1000.0,1000.0,secretion
15,o2_e,EX_o2_e,80.12221886876021,0.14343755169190955,1000.0,uptake,244.0052635774674,0.022635350360360462,1000.0,uptake
16,pi_e,EX_pi_e,23.946787400017456,-1000.0,96.55210866001471,uptake,29.55238410606416,-1000.0,34.12332517825638,uptake
17,pro__L_e,EX_pro__L_e,6.748844082421903,0.0,6.748844082421895,uptake,8.310342756683655,-125.37783433223933,8.31034275668201,uptake
18,so4_e,EX_so4_e,0.1324398255164832,0.11919584296483421,80.11919584296795,uptake,0.1630827933251624,0.14677451399797067,73.95629829928119,uptake
19,thm_e,EX_thm_e,0.006808225239782324,0.006127402715804057,0.006808225239782311,uptake,0.00838346309624506,0.0,0.008383463096243424,uptake
20,thymd_e,EX_thymd_e,0.7988521149064789,0.0,0.7988521149064773,uptake,0.019661664571014207,0.0,12.241964814482124,uptake
21,trp__L_e,EX_trp__L_e,1.7354257726679232,-1000.0,1.735425772667953,uptake,2.1369560214343526,-32.39448189062885,2.1369560214339205,uptake
22,zn2_e,EX_zn2_e,0.010410783886842028,0.009369705498157773,0.010410783886841994,uptake,0.01281955567632092,0.01153760010910741,0.012819555676318378,uptake
23,3hoxpac_e,EX_3hoxpac_e,0.0,0.0,426.04542771499763,secretion,0.0,0.0,225.51659232278638,secretion
24,4hphac_e,EX_4hphac_e,0.0,0.0,426.04542771499695,secretion,0.0,0.0,0.0,secretion
25,acald_e,EX_acald_e,-896.9309497584165,-1000.0,-286.1850332738743,secretion,-26.036555171872777,-1000.0,0.0,secretion
26,ala__L_e,EX_ala__L_e,0.0,-1000.0,1000.0,secretion,-947.963374636546,-1000.0,1000.0,secretion
27,alltn_e,EX_alltn_e,0.0,0.0,447.2506960287249,secretion,0.0,0.0,75.17219744092728,secretion
28,arab__D_e,EX_arab__D_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
29,arab__L_e,EX_arab__L_e,0.0,-1000.0,133.33333333333871,secretion,0.0,-999.9999999999947,1000.0,secretion
30,arg__L_e,EX_arg__L_e,0.0,0.0,100.00000000000453,secretion,11.120005902083046,-24.954400691322043,85.18020275316513,uptake
31,cellb_e,EX_cellb_e,0.0,0.0,66.66666666666859,secretion,0.0,0.0,257.77863855088816,secretion
32,co2_e,EX_co2_e,-224.898663007822,-1000.0,252.30194888043133,secretion,-1000.0,-1000.0,-774.4834076772138,secretion
