,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,acald_e,EX_acald_e,233.04477434687843,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
1,adn_e,EX_adn_e,6.982045234442465,0.0,1000.0,uptake,8.267027429556101,0.0,45.60081865102697,uptake
2,ala_B_e,EX_ala_B_e,0.019685350519282253,0.0,0.01968535051928296,uptake,0.0,0.0,94.82300109648789,secretion
3,alaala_e,EX_alaala_e,59.63260847553442,-11.111111111111313,1000.0,uptake,0.0,-1000.0,0.0,secretion
4,arg__L_e,EX_arg__L_e,10.108974306943628,9.028009331744222,10.108974306943566,uptake,12.003281828788165,-42.64532221616054,12.003281828788205,uptake
5,bz_e,EX_bz_e,0.0034175955762642783,0.0030758360186378484,0.003417595576264276,uptake,0.0,-889.9286869363044,0.0,secretion
6,ca2_e,EX_ca2_e,0.17788584974455557,0.16009726477009992,0.17788584974455546,uptake,0.21121964731582463,0.19009768258424234,0.21121964731582474,uptake
7,cgly_e,EX_cgly_e,3.157140617397178,0.0,55.20765182561207,uptake,0.0,0.0,53.344696593858174,secretion
8,cl_e,EX_cl_e,0.17788584974455557,0.16009726477009992,0.1778858497445554,uptake,0.21121964731582463,0.19009768258424234,0.21121964731582457,uptake
9,cobalt2_e,EX_cobalt2_e,0.0034175955762642783,0.0030758360186378484,0.003417595576264276,uptake,0.004058014357652733,0.003652212921887463,0.004058014357652738,uptake
10,cu2_e,EX_cu2_e,0.02423075263571372,0.021807677372142335,0.024230752635713716,uptake,0.02877132179575786,0.0258941896161821,0.02877132179575781,uptake
11,fe2_e,EX_fe2_e,0.22949154294614632,0.0,0.4962711915837615,uptake,0.27249566411638104,-649.8375642566207,0.2724956641163794,uptake
12,fe3_e,EX_fe3_e,0.26684586259471493,0.0,0.26684586259471477,uptake,0.3168497610455255,0.2851647849409743,650.3679751392724,uptake
13,fol_e,EX_fol_e,0.02286371440520795,0.0,0.02286371440520794,uptake,0.0271481160526967,-41.30890002888536,0.02714811605269681,uptake
14,gln__L_e,EX_gln__L_e,17.987489036994138,8.114947409611984,216.18874013328912,uptake,0.0,0.0,284.0609089960167,secretion
15,glyc_e,EX_glyc_e,95.61752320871007,-21.261549279543033,1000.0,uptake,0.0,-516.6666666666647,516.666666666663,secretion
16,gua_e,EX_gua_e,8.27444317756075,0.0,8.296484908632658,uptake,9.824980301743786,-2.1345077164966098,55.03682773348136,uptake
17,his__L_e,EX_his__L_e,3.2377616970412526,-5.010592285160353,3.237761697041248,uptake,3.8444816421530468,-38.67084442129398,3.8444816421530486,uptake
18,k_e,EX_k_e,6.67090733317754,6.003816599859784,6.670907333177538,uptake,7.920959965133109,7.128863968619805,7.920959965133123,uptake
19,lys__L_e,EX_lys__L_e,11.727855155464253,0.0,11.727855155464246,uptake,13.925522649864687,0.0,13.925522649864694,uptake
20,met__L_e,EX_met__L_e,5.256569579896313,0.0,5.25997818723345,uptake,0.0,0.0,6.238103578041715,secretion
21,mg2_e,EX_mg2_e,0.2964764162409261,0.2668287746168333,0.29647641624092586,uptake,0.3520327455263745,0.3168294709737373,0.3520327455263749,uptake
22,mmet_e,EX_mmet_e,0.003417595576264849,0.0,2.631702385524423,uptake,3.1248536660386925,0.0,3.1248536660386885,uptake
23,mn2_e,EX_mn2_e,0.02361558543198618,0.02125402688878755,0.023615585431986167,uptake,0.028040879211380407,0.025236791290242387,0.02804087921138044,uptake
24,nh4_e,EX_nh4_e,906.9100963035353,-1000.0,1000.0,uptake,-292.20123915211695,-1000.0,1000.0,secretion
25,no2_e,EX_no2_e,0.024811743883677295,0.0,3.724159597473577,uptake,650.6054717123976,-1000.0000000000015,1000.0,uptake
26,o2_e,EX_o2_e,464.3219981656245,-0.003810619071861912,1000.0,uptake,800.5864081427125,0.0,1000.0,uptake
