,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,acald_e,EX_acald_e,233.04477434687843,-1000.0,1000.0,uptake,133.93832256011143,-1000.0,1000.0,uptake
1,ala_B_e,EX_ala_B_e,0.019685350519282253,0.0,0.01968535051928296,uptake,0.0,0.0,100.00000000000222,secretion
2,arg__L_e,EX_arg__L_e,10.108974306943628,9.028009331744222,10.108974306943566,uptake,9.010441550383737,0.0,208.10939739534192,uptake
3,asn__L_e,EX_asn__L_e,16.55442285995568,-32.70339721816464,1000.0,uptake,7.343038310460563,6.6087344794145215,1000.0,uptake
4,bz_e,EX_bz_e,0.0034175955762642783,0.0030758360186378484,0.003417595576264276,uptake,0.0030462086704115534,0.002741587803370398,0.00304620867041144,uptake
5,ca2_e,EX_ca2_e,0.17788584974455557,0.16009726477009992,0.17788584974455546,uptake,0.15855516129492125,0.14269964516542913,0.15855516129492084,uptake
6,cit_e,EX_cit_e,1000.0,800.0000000000043,1000.0,uptake,5.699974277814047,0.0,1000.000000000001,uptake
7,cl_e,EX_cl_e,0.17788584974455557,0.16009726477009992,0.1778858497445554,uptake,0.15855516129492125,0.14269964516542913,0.1585551612949209,uptake
8,cobalt2_e,EX_cobalt2_e,0.0034175955762642783,0.0030758360186378484,0.003417595576264276,uptake,0.0030462086704115534,0.002741587803370398,0.0030462086704115456,uptake
9,cu2_e,EX_cu2_e,0.02423075263571372,0.021807677372142335,0.024230752635713716,uptake,0.0215976194732179,0.019437857525896114,0.021597619473217877,uptake
10,fe2_e,EX_fe2_e,0.22949154294614632,0.0,0.4962711915837615,uptake,0.20455291221813585,-999.7859368243135,11.295208732107165,uptake
11,fe3_e,EX_fe3_e,0.26684586259471493,0.0,0.26684586259471477,uptake,0.23784797298573415,0.21406317568721533,1000.0,uptake
12,gln__L_e,EX_gln__L_e,17.987489036994138,8.114947409611984,216.18874013328912,uptake,0.0,0.0,117.17495095299195,secretion
13,glyc_e,EX_glyc_e,95.61752320871007,-21.261549279543033,1000.0,uptake,0.0,-1000.0,1000.0,secretion
14,gua_e,EX_gua_e,8.27444317756075,0.0,8.296484908632658,uptake,0.0,0.0,18.21075197123221,secretion
15,k_e,EX_k_e,6.67090733317754,6.003816599859784,6.670907333177538,uptake,5.945986090036431,5.351387481032789,5.945986090036415,uptake
16,lys__L_e,EX_lys__L_e,11.727855155464253,0.0,11.727855155464246,uptake,10.453400135470996,0.0,10.453400135470934,uptake
17,met__L_e,EX_met__L_e,5.256569579896313,0.0,5.25997818723345,uptake,4.688389302543698,0.0,4.6883893025436985,uptake
18,mg2_e,EX_mg2_e,0.2964764162409261,0.2668287746168333,0.29647641624092586,uptake,0.2642586021582022,0.23783274194238196,0.2642586021582015,uptake
19,mn2_e,EX_mn2_e,0.02361558543198618,0.02125402688878755,0.023615585431986167,uptake,0.02104930191254385,0.018944371721289467,0.021049301912543797,uptake
20,nh4_e,EX_nh4_e,906.9100963035353,-1000.0,1000.0,uptake,-181.5416539182922,-1000.0,1000.0,secretion
21,no2_e,EX_no2_e,0.024811743883677295,0.0,3.724159597473577,uptake,200.34117841730531,0.0,1000.0,uptake
22,o2_e,EX_o2_e,464.3219981656245,-0.003810619071861912,1000.0,uptake,0.0,0.0,1000.0,secretion
23,phe__L_e,EX_phe__L_e,6.331608444366018,-94.3015524000698,6.331608444366014,uptake,5.643558493237967,-94.92079735608469,5.643558493238095,uptake
