,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,43.952650823451414,0.0,156.22405239905132,uptake,699.5090151722502,0.0,1000.0,uptake
1,4hphac_e,EX_4hphac_e,72.84377623633182,0.0,457.7744151603006,uptake,495.6642607388857,346.0978346650712,499.9063071815121,uptake
2,ade_e,EX_ade_e,9.10603229642763,-94.53771779006186,110.46227487725959,uptake,4.766376915052972,-22.693747308589685,23.487354542923196,uptake
3,arg__L_e,EX_arg__L_e,13.184195093532807,-88.13422440807149,724.8009157867732,uptake,6.920524444985686,6.22847200048747,6.920524444985711,uptake
4,bz_e,EX_bz_e,0.004457252087119602,0.004011526878431672,0.0044572520871082755,uptake,0.0023396590999708207,0.002105693189973858,0.0023396590999708324,uptake
5,ca2_e,EX_ca2_e,0.23199997113457516,0.20879997402236838,0.2319999711339856,uptake,0.12177925615348115,0.10960133053813922,0.12177925615348174,uptake
6,cl_e,EX_cl_e,0.23199997113457516,0.20879997402236838,0.23199997113398585,uptake,0.12177925615348115,0.10960133053813922,0.121779256153481,uptake
7,cobalt2_e,EX_cobalt2_e,0.004457252087119602,0.004011526878431672,0.0044572520871082755,uptake,0.0023396590999708207,0.002105693189973858,0.0023396590999708324,uptake
8,cu2_e,EX_cu2_e,0.031601917297677966,0.02844172556808054,0.03160191729759766,uptake,0.016588183018793112,0.014929364716914644,0.016588183018793192,uptake
9,fe3_e,EX_fe3_e,126.490209760998,0.0,1000.0,uptake,0.18268058252572175,0.16441252427315886,0.18268058252572264,uptake
10,fol_e,EX_fol_e,0.029819016462831804,0.0,0.0298190164628096,uptake,0.015652319378804826,-12.697417510275603,0.015652319378804867,uptake
11,gln__L_e,EX_gln__L_e,15.972295419067862,0.0,470.0472518384124,uptake,10.836365087424848,0.0,47.119262471848586,uptake
12,glu__L_e,EX_glu__L_e,11.944365852979558,-1000.0,325.12499512195564,uptake,3.8173877875124242,-33.93088488440435,163.18837758737158,uptake
13,glyc3p_e,EX_glyc3p_e,1000.0,534.6692826720924,1000.0,uptake,1000.0,671.0803956910834,1000.0,uptake
14,gua_e,EX_gua_e,10.791586745687907,0.0,75.33742806613658,uptake,5.675053716298237,0.0,17.81905294238571,uptake
15,h2s_e,EX_h2s_e,6.860112114764895,-293.82589907364354,141.12990930827073,uptake,0.101494411756734,-103.13838830108588,34.70672958594914,uptake
16,ile__L_e,EX_ile__L_e,12.949609916187729,-988.3453510753612,12.949609916154813,uptake,6.797388186554231,6.117649367899154,6.797388186554249,uptake
17,k_e,EX_k_e,8.700244066411383,7.830219659817143,8.700244066389244,uptake,4.56685078700605,4.1101657083056775,4.566850787006072,uptake
18,leu__L_e,EX_leu__L_e,20.081302400620824,-1000.0,20.081302400569832,uptake,10.540889539689543,9.486800585721126,10.540889539689587,uptake
19,lys__L_e,EX_lys__L_e,15.29555083468049,-136.2340042371884,313.76599572825415,uptake,8.028797564050864,7.225917807646185,8.028797564050903,uptake
20,mg2_e,EX_mg2_e,0.3866666185576254,0.3479999567039474,0.3866666185566428,uptake,0.20296542692246866,0.18266888423023211,0.20296542692246966,uptake
21,mn2_e,EX_mn2_e,0.030799611921996477,0.027719650729962873,0.03079961192191821,uptake,0.016167044380798384,0.014550339942719369,0.016167044380798464,uptake
22,no2_e,EX_no2_e,14.65088360781698,0.0,52.076506406244015,uptake,0.0,0.0,1.50996953042546,secretion
23,no3_e,EX_no3_e,16.908528959153024,0.0,452.2337343510776,uptake,651.0564611516612,358.3306608361993,750.5617226441815,uptake
24,o2_e,EX_o2_e,794.362168964881,0.008945704938845778,1000.0,uptake,991.5367277410777,692.3830549671161,1000.0,uptake
25,orn_e,EX_orn_e,9.852978601182247,-299.99999997697176,999.9999999999999,uptake,0.0,0.0,299.9999999998583,secretion
26,pnto__R_e,EX_pnto__R_e,0.02567377202180986,-149.9768935936786,0.025673772021456546,uptake,0.0,0.0,16.981132075463673,secretion
27,ser__L_e,EX_ser__L_e,307.85301487737974,0.0,1000.0,uptake,5.64012260593565,0.0,305.0761103451995,uptake
28,thr__L_e,EX_thr__L_e,11.307469102251115,0.0,1000.0,uptake,19.677726256895586,5.341869882849002,322.7860639764065,uptake
29,ura_e,EX_ura_e,14.744367041587326,0.0,14.744367041549893,uptake,0.0,0.0,4.580630415228709,secretion
30,xan_e,EX_xan_e,117.92912720395377,0.0,512.0654241639098,uptake,0.0,0.0,15.273473950616182,secretion
31,zn2_e,EX_zn2_e,0.015199229617077831,0.013679306655451988,0.015199229617039208,uptake,0.007978237530900493,0.007180413777810849,0.007978237530900531,uptake
32,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-23.076923075151004,0.0,secretion,0.0,-13.63636363635725,0.0,secretion
33,abt__L_e,EX_abt__L_e,0.0,0.0,346.59688758434925,secretion,223.1281311489878,-807.9004035973117,850.6799259044544,uptake
34,acac_e,EX_acac_e,0.0,0.0,299.9999999769643,secretion,0.0,-149.9999999999297,0.0,secretion
35,acald_e,EX_acald_e,-1000.0,-1000.0,362.58236755519795,secretion,-13.742315275952603,-317.4441940935591,0.0,secretion
36,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,700.5325094006483,secretion
37,ala__L_e,EX_ala__L_e,-688.9844755932903,-1000.0,1000.0,secretion,-446.19242643251056,-1000.0,700.5325094006497,secretion
38,anhgm_e,EX_anhgm_e,0.0,-23.07692307515167,0.0,secretion,0.0,-13.636363636357167,0.0,secretion
39,co2_e,EX_co2_e,-526.7842948594382,-1000.0,362.5823675552016,secretion,-1000.0,-1000.0,-700.0000000001428,secretion
40,cys__L_e,EX_cys__L_e,0.0,0.0,303.70580839200085,secretion,0.0,0.0,102.33483472285928,secretion
41,drib_e,EX_drib_e,0.0,0.0,173.29844379217792,secretion,0.0,0.0,89.45980215449259,secretion
42,enter_e,EX_enter_e,0.0,-16.324919622751757,0.0,secretion,0.0,-0.15705875815418732,0.0,secretion
43,fe2_e,EX_fe2_e,-125.84288304038557,-1000.0,17.231859601793676,secretion,0.15710810856304064,0.0,0.15710810856304125,uptake
44,feenter_e,EX_feenter_e,0.0,0.0,16.32491962275191,secretion,0.0,0.0,0.15705875815418752,secretion
45,galt_e,EX_galt_e,0.0,0.0,173.29844379218173,secretion,0.0,0.0,119.27973620598947,secretion
46,h2o_e,EX_h2o_e,0.0,-1000.0,1000.0,secretion,438.0564937118801,-1000.0,1000.0,uptake
47,h_e,EX_h_e,-1000.0,-1000.0,362.58236755520454,secretion,-130.73484511271266,-451.70052022961033,495.06986046577555,secretion
48,hxan_e,EX_hxan_e,0.0,0.0,519.5830600567488,secretion,0.0,0.0,30.478124873226143,secretion
49,lac__L_e,EX_lac__L_e,0.0,-1000.0,0.0,secretion,0.0,-299.9999999998586,0.0,secretion
50,mal__L_e,EX_mal__L_e,0.0,0.0,1000.0,secretion,0.0,0.0,299.9999999998573,secretion
51,murein4p3p_e,EX_murein4p3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
52,murein4p4p_e,EX_murein4p4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
53,murein4px4p_e,EX_murein4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
54,murein4px4px4p_e,EX_murein4px4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
55,murein5p3p_e,EX_murein5p3p_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
56,murein5p4p_e,EX_murein5p4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
57,murein5p5p_e,EX_murein5p5p_e,0.0,0.0,999.9999999999995,secretion,0.0,0.0,1000.0,secretion
58,murein5px4p_e,EX_murein5px4p_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
59,murein5px4px4p_e,EX_murein5px4px4p_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
60,nh4_e,EX_nh4_e,-959.8856223567121,-1000.0,1000.0,secretion,-651.5510884819861,-1000.0,-351.8761753099958,secretion
61,pi_e,EX_pi_e,-1000.0,-1000.0,-495.13010926278247,secretion,-740.4576585501632,-1000.0,71.94380081785243,secretion
62,ppa_e,EX_ppa_e,0.0,0.0,226.11686717554178,secretion,0.0,0.0,119.99999999994324,secretion
63,pro__L_e,EX_pro__L_e,0.0,-1000.0,9.852978601157206,secretion,5.171933423440503,-145.345259918832,5.171933423440529,uptake
64,ptrc_e,EX_ptrc_e,0.0,0.0,299.9999999769632,secretion,0.0,-299.9999999998493,22.322642220380548,secretion
65,rib__D_e,EX_rib__D_e,0.0,-190.90909089443167,173.29844379218125,secretion,0.0,-112.49999999994733,89.45980215448189,secretion
66,s_e,EX_s_e,0.0,-131.24999998992175,0.0,secretion,0.0,-34.615384615368356,0.0,secretion
67,spmd_e,EX_spmd_e,0.0,0.0,0.0,secretion,0.0,-22.322642220380594,0.0,secretion
68,succ_e,EX_succ_e,-999.9955427479129,-1000.0,-699.995988496151,secretion,-495.6619210797857,-499.9042014883221,-346.09572897187917,secretion
69,val__L_e,EX_val__L_e,0.0,-1000.0,1000.0,secretion,9.90054824061852,8.910493416557172,9.900548240618573,uptake
70,4hba_c,sink_4hba_c,-0.009939672154276706,-0.009939672154251452,-0.008945704938902621,secretion,0.0,-0.005217225052980548,0.0,secretion
71,5drib_c,sink_5drib_c,0.0,-65.62499999496146,0.0,secretion,0.0,-34.615384615368356,0.0,secretion
