,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,arg__L_e,EX_arg__L_e,5.585220577947912,0.0,62.1695556630118,uptake,15.885306082983785,0.0,316.00623835596474,uptake
1,ca2_e,EX_ca2_e,0.09828214795605995,0.08845393316045387,0.09828214795606008,uptake,0.27953094796996064,0.2515778531679474,0.27953094796438627,uptake
2,cl_e,EX_cl_e,0.09828214795605995,0.08845393316045387,0.09828214795606002,uptake,0.27953094796996064,0.2515778531679474,0.2795309479643865,uptake
3,cobalt2_e,EX_cobalt2_e,0.001888225705207685,0.001699403134686915,0.0018882257052076853,uptake,0.005370431277040554,0.0048333881492401065,0.005370431276933452,uptake
4,cu2_e,EX_cu2_e,0.01338752024992248,0.012048768224930182,0.013387520249922348,uptake,0.038076357754217506,0.034268721978112336,0.038076357753458204,uptake
5,fe3_e,EX_fe3_e,64.0700997331142,0.13268939675640468,1000.0,uptake,487.3631608096359,0.377390946700757,1000.0,uptake
6,glu__L_e,EX_glu__L_e,9.93999775735427,-1000.0,1000.0,uptake,-771.1552985864325,-1000.0,1000.0,secretion
7,gly_e,EX_gly_e,9.827874914979057,-1000.0,20.804589434882896,uptake,-1000.0,-1000.0,910.8265982498783,secretion
8,gua_e,EX_gua_e,25.984049114748057,0.0,1000.0,uptake,13.062392586520227,-65.29753866894471,13.062392586259591,uptake
9,ile__L_e,EX_ile__L_e,5.485843259082845,-995.0627410668252,5.485843259084845,uptake,0.0,-985.9576057438952,15.602660284562237,secretion
10,k_e,EX_k_e,3.6856844007660405,3.3171159606894345,3.6856844007660463,uptake,10.482705922593782,9.434435330146254,10.482705922384737,uptake
11,leu__L_e,EX_leu__L_e,8.50704215192924,-992.3436620632639,8.50704215192922,uptake,24.195457736763586,-703.3958500490907,24.19545773628106,uptake
12,mg2_e,EX_mg2_e,0.16380357992676664,0.14742322193408983,0.16380357992676667,uptake,0.4658849132832679,0.4192964219465791,0.4658849132739768,uptake
13,mn2_e,EX_mn2_e,0.013047639622985115,0.011742875660686592,0.013047639622985116,uptake,0.03710968012435026,0.03339871211124916,0.037109680123610184,uptake
14,no2_e,EX_no2_e,168.1243693931509,-0.043013781564034445,553.8854893640448,uptake,0.0,-785.5409377218348,1000.0,secretion
15,o2_e,EX_o2_e,0.004210743322613134,0.0037896689903517797,1000.0,uptake,35.37014386899543,-0.005958002759939518,1000.0,uptake
16,pi_e,EX_pi_e,14.843210092839,-986.6411109164421,24.995830739493734,uptake,-530.4724357148009,-1000.0,-177.42519214277286,secretion
17,pro__L_e,EX_pro__L_e,4.174017332646853,-110.52909868632078,4.174017332646858,uptake,11.871606859462009,-339.3155538266918,76.30944617330451,uptake
18,so4_e,EX_so4_e,0.08191123109190941,0.0737201079827184,38.168958203220676,uptake,0.2329693087980193,0.0,175.2096723779138,uptake
19,thr__L_e,EX_thr__L_e,4.790183144770309,0.0,1000.0,uptake,29.22674627865844,12.261677394162803,1000.0,uptake
20,thym_e,EX_thym_e,0.001888225705207685,-23.998300596864468,5.984571350090563,uptake,0.005370431277040554,0.0,9.566251528250588,uptake
21,zn2_e,EX_zn2_e,0.006438849654758201,0.005794964689282376,0.006438849654758202,uptake,0.018313170654708274,0.01648185358890875,0.018313170654343056,uptake
22,4hphac_e,EX_4hphac_e,0.0,0.0,87.07482993197166,secretion,17.617914691378324,0.0,500.00299399665937,uptake
23,abt__L_e,EX_abt__L_e,0.0,-1000.0,999.9999999999962,secretion,34.94413575967281,-1000.0,1000.0,uptake
