,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ade_e,EX_ade_e,3.8575884689687823,-35.78068501385577,41.56706771731095,uptake,2.7159149890419307,-0.006933858139318384,3.9653693244892927,uptake
1,arg__L_e,EX_arg__L_e,5.585220577947912,0.0,62.1695556630118,uptake,3.932245341040149,0.0,23.539020806938574,uptake
2,asp__L_e,EX_asp__L_e,9.146338728941393,-991.7682951439525,1000.0,uptake,0.0,0.0,1000.0,secretion
3,bz_e,EX_bz_e,0.001888225705207685,0.001699403134686915,0.0018882257052076875,uptake,0.0,-28.554108115714797,0.0,secretion
4,ca2_e,EX_ca2_e,0.09828214795605995,0.08845393316045387,0.09828214795606008,uptake,0.06919503232039398,0.062275529088414584,0.06919503232046043,uptake
5,cgly_e,EX_cgly_e,1.7443240242138074,0.0,1000.0,uptake,6.522173524836252,0.0,1000.0,uptake
6,cl_e,EX_cl_e,0.09828214795605995,0.08845393316045387,0.09828214795606002,uptake,0.06919503232039398,0.062275529088414584,0.0691950323204607,uptake
7,cobalt2_e,EX_cobalt2_e,0.001888225705207685,0.001699403134686915,0.0018882257052076853,uptake,0.0013293954336290876,0.0011964558902673318,0.0013293954336303642,uptake
8,cu2_e,EX_cu2_e,0.01338752024992248,0.012048768224930182,0.013387520249922348,uptake,0.009425413624430227,0.008482872261995377,0.009425413624439313,uptake
9,fe3_e,EX_fe3_e,64.0700997331142,0.13268939675640468,1000.0,uptake,46.11268623240312,0.09341927591208332,1000.0,uptake
10,glu__L_e,EX_glu__L_e,9.93999775735427,-1000.0,1000.0,uptake,0.0,-1000.0000000000005,53.71968564636487,secretion
11,gly_e,EX_gly_e,9.827874914979057,-1000.0,20.804589434882896,uptake,0.0,-1000.0,129.09099941728655,secretion
12,gua_e,EX_gua_e,25.984049114748057,0.0,1000.0,uptake,3.233461925307365,0.0,11.543209257961946,uptake
13,ile__L_e,EX_ile__L_e,5.485843259082845,-995.0627410668252,5.485843259084845,uptake,3.8622792593682553,-96.52394866656633,3.862279259371991,uptake
14,k_e,EX_k_e,3.6856844007660405,3.3171159606894345,3.6856844007660463,uptake,2.5948868287636286,2.335398145889516,2.594886828766121,uptake
15,leu__L_e,EX_leu__L_e,8.50704215192924,-992.3436620632639,8.50704215192922,uptake,5.989338541083468,-44.6095953130216,5.989338541089243,uptake
16,met__L_e,EX_met__L_e,2.9061493006280905,0.0,22.450245114368517,uptake,0.0,0.0,2.0460592179461674,secretion
17,mg2_e,EX_mg2_e,0.16380357992676664,0.14742322193408983,0.16380357992676667,uptake,0.11532505386732332,0.103792548480691,0.1153250538674341,uptake
18,mn2_e,EX_mn2_e,0.013047639622985115,0.011742875660686592,0.013047639622985116,uptake,0.009186122446377003,0.008267510201747269,0.009186122446385826,uptake
19,no2_e,EX_no2_e,168.1243693931509,-0.043013781564034445,553.8854893640448,uptake,0.0,-998.727377727758,0.0,secretion
20,o2_e,EX_o2_e,0.004210743322613134,0.0037896689903517797,1000.0,uptake,408.64064474452704,0.002668096635296148,1000.0,uptake
21,pi_e,EX_pi_e,14.843210092839,-986.6411109164421,24.995830739493734,uptake,13.109075313337794,-988.2018322179841,20.431261307195534,uptake
22,pro__L_e,EX_pro__L_e,4.174017332646853,-110.52909868632078,4.174017332646858,uptake,2.938695075808783,0.0,2.938695075811605,uptake
23,ser__L_e,EX_ser__L_e,5.147964151392965,0.0,1000.0,uptake,989.4547568371355,0.0,1000.0,uptake
24,so4_e,EX_so4_e,0.08191123109190941,0.0737201079827184,38.168958203220676,uptake,0.057669173910829846,0.0519022565197968,25.051902256517003,uptake
