,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ade_e,EX_ade_e,3.8575884689687823,-35.78068501385577,41.56706771731095,uptake,13.81498984248889,-1000.0,1000.0,uptake
1,ala_B_e,EX_ala_B_e,0.010876180061996272,0.009788562055796644,0.010876180061996504,uptake,0.0,0.0,147.560817916512,secretion
2,arg__L_e,EX_arg__L_e,5.585220577947912,0.0,62.1695556630118,uptake,20.00207284242364,-153.42670587039106,1000.0,uptake
3,bz_e,EX_bz_e,0.001888225705207685,0.001699403134686915,0.0018882257052076875,uptake,0.006762208863804178,0.0,200.00608598798073,uptake
4,ca2_e,EX_ca2_e,0.09828214795605995,0.08845393316045387,0.09828214795606008,uptake,0.35197297136100725,0.31677567422490643,0.35197297136100764,uptake
5,cgly_e,EX_cgly_e,1.7443240242138074,0.0,1000.0,uptake,-31.595107920547782,-1000.0000000000007,1000.0,secretion
6,cl_e,EX_cl_e,0.09828214795605995,0.08845393316045387,0.09828214795606002,uptake,0.35197297136100725,0.31677567422490593,0.3519729713610076,uptake
7,cobalt2_e,EX_cobalt2_e,0.001888225705207685,0.001699403134686915,0.0018882257052076853,uptake,0.006762208863804178,0.0060859879774237576,0.006762208863804178,uptake
8,cu2_e,EX_cu2_e,0.01338752024992248,0.012048768224930182,0.013387520249922348,uptake,0.0479440608443716,0.04314965475993443,0.04794406084437157,uptake
9,fe3_e,EX_fe3_e,64.0700997331142,0.13268939675640468,1000.0,uptake,0.5279932680858304,0.4751939412772117,1000.0,uptake
10,glu__L_e,EX_glu__L_e,9.93999775735427,-1000.0,1000.0,uptake,1000.0,-1000.0,1000.0,uptake
11,gua_e,EX_gua_e,25.984049114748057,0.0,1000.0,uptake,16.44758537525366,0.0,868.6302514806991,uptake
12,his__L_e,EX_his__L_e,1.7888672685996572,0.0,1.7888672685996567,uptake,6.406381433390804,5.765743290051722,405.7657432900553,uptake
13,ile__L_e,EX_ile__L_e,5.485843259082845,-995.0627410668252,5.485843259084845,uptake,19.646177789921655,-982.3184399890705,19.646177789921655,uptake
14,k_e,EX_k_e,3.6856844007660405,3.3171159606894345,3.6856844007660463,uptake,13.199358347525306,11.879422512772774,13.199358347525314,uptake
15,leu__L_e,EX_leu__L_e,8.50704215192924,-992.3436620632639,8.50704215192922,uptake,30.46584721618561,27.419262494567047,30.46584721618561,uptake
16,lys__L_e,EX_lys__L_e,6.47965421224774,0.0,1000.0,uptake,23.205263559119043,-159.4944358838834,1000.0,uptake
17,met__L_e,EX_met__L_e,2.9061493006280905,0.0,22.450245114368517,uptake,10.407648040192353,0.0,293.97602478382464,uptake
18,mg2_e,EX_mg2_e,0.16380357992676664,0.14742322193408983,0.16380357992676667,uptake,0.5866216189350123,0.5279594570415108,0.5866216189350123,uptake
19,mn2_e,EX_mn2_e,0.013047639622985115,0.011742875660686592,0.013047639622985116,uptake,0.046726863248886905,0.0420541769239982,0.046726863248886905,uptake
20,no2_e,EX_no2_e,168.1243693931509,-0.043013781564034445,553.8854893640448,uptake,970.608690312964,-1000.0,1000.0,uptake
21,o2_e,EX_o2_e,0.004210743322613134,0.0037896689903517797,1000.0,uptake,38.032634960946865,0.04071525956712206,1000.0,uptake
22,pi_e,EX_pi_e,14.843210092839,-986.6411109164421,24.995830739493734,uptake,75.1484271034622,-1000.0,1000.0,uptake
23,pro__L_e,EX_pro__L_e,4.174017332646853,-110.52909868632078,4.174017332646858,uptake,14.948200803882342,-386.54661927650795,14.948200803882335,uptake
24,ser__L_e,EX_ser__L_e,5.147964151392965,0.0,1000.0,uptake,16.820019663590436,0.0,1000.0,uptake
25,so4_e,EX_so4_e,0.08191123109190941,0.0737201079827184,38.168958203220676,uptake,0.2933446205118253,0.0,100.26401015846413,uptake
26,thr__L_e,EX_thr__L_e,4.790183144770309,0.0,1000.0,uptake,54.45955615294286,15.439360320287024,1000.0,uptake
