,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ade_e,EX_ade_e,4.387774842761503,-24.70595074599246,1000.0,uptake,0.0,-205.36336731431797,1000.0,secretion
1,arg__L_e,EX_arg__L_e,141.29008591045982,0.0,812.3287722211176,uptake,9.687585532181698,-101.99545873531883,1000.0,uptake
2,asp__L_e,EX_asp__L_e,5.248912462596377,0.0,1000.0,uptake,30.984507205999805,0.0,1000.0,uptake
3,bz_e,EX_bz_e,0.0021477431595963,0.00193296884363847,0.0021477431595956237,uptake,0.0032751343958530668,0.00294762095626776,0.0032751343958530646,uptake
4,ca2_e,EX_ca2_e,0.11179003145698733,0.10061102831138231,0.11179003145695215,uptake,0.17047074530415202,0.1534236707737368,0.1704707453041519,uptake
5,cgly_e,EX_cgly_e,5.284844205660627,0.0,1000.0,uptake,16.43580344677319,0.0,236.220794530664,uptake
6,cl_e,EX_cl_e,0.11179003145698733,0.10061102831138231,0.11179003145695186,uptake,0.17047074530415202,0.1534236707737368,0.17047074530415188,uptake
7,cobalt2_e,EX_cobalt2_e,0.0021477431595963,0.00193296884363847,0.002147743159595603,uptake,0.0032751343958530668,0.00294762095626776,0.0032751343958530668,uptake
8,cu2_e,EX_cu2_e,0.015227499001537758,0.013704749101396746,0.015227499001532915,uptake,0.023220702866598233,0.020898632579938386,0.02322070286659819,uptake
9,fe2_e,EX_fe2_e,0.14422095316689165,-999.7192749348393,8.208848212285458,uptake,0.0,-999.7698497557346,0.21992527468164394,secretion
10,fe3_e,EX_fe3_e,0.16769578590127912,0.0,1000.0,uptake,0.475647768309741,0.23015024426536002,1000.0,uptake
11,fol_e,EX_fol_e,0.014368401737700048,-15.254244010780054,0.014368401737694967,uptake,0.021910649108258358,0.0,0.02191064910825702,uptake
12,glu__L_e,EX_glu__L_e,13.444421153007966,-1000.0,154.95712189325565,uptake,15.85869201487983,-1000.0,41.05126923943799,uptake
13,gua_e,EX_gua_e,5.1999653959941154,0.0,1000.0,uptake,7.929526139831753,-40.00377017020509,62.49371638299024,uptake
14,id3acald_e,EX_id3acald_e,1.2208416442093246,1.0987574797894155,1.2208416442089378,uptake,0.0,0.0,110.7142857142853,secretion
15,ile__L_e,EX_ile__L_e,6.239816724143538,-994.3841649482657,1000.0,uptake,9.515215208927964,-212.8648777405327,9.51521520892796,uptake
16,k_e,EX_k_e,4.192244305510811,3.7730198749632438,4.19224430550948,uptake,6.392833081297485,5.7535497731677365,6.392833081297472,uptake
17,leu__L_e,EX_leu__L_e,9.676248734360822,-991.2913761390676,9.676248734357733,uptake,14.755495744980786,-765.5864937482546,14.755495744980783,uptake
18,lys__L_e,EX_lys__L_e,7.3702169039022545,0.0,1000.0,uptake,11.238983944153336,0.0,1000.0,uptake
19,mal__L_e,EX_mal__L_e,10.561033006391849,0.0,1000.0,uptake,14.585024999676598,0.0,1000.0,uptake
20,malthp_e,EX_malthp_e,146.3686093429963,98.39841507576735,181.73174840816105,uptake,74.97546477968373,0.8112516350490667,95.3986693230558,uptake
21,mg2_e,EX_mg2_e,0.18631671909497896,0.16768504718563723,0.1863167190949185,uptake,0.28411790884025345,0.2557061179562281,0.28411790884025345,uptake
22,mn2_e,EX_mn2_e,0.014840905232810443,0.013356814709541838,0.014840905232805629,uptake,0.02263117867534471,0.02036806080781024,0.02263117867534471,uptake
