,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,3mb_e,EX_3mb_e,12.77223325545024,11.495009929905216,12.77223325545024,uptake,7.48135500502968,0.0,7.48135500502967,uptake
1,4hphac_e,EX_4hphac_e,3.9155753655342984,3.524017828980866,503.917155838363,uptake,2.29355421034223,0.0,177.0641987892869,uptake
2,ca2_e,EX_ca2_e,0.14755804616023854,0.1328022415442146,0.1475580461602385,uptake,0.08643234938590119,0.07778911444731133,0.086432349385901,uptake
3,cl_e,EX_cl_e,0.14755804616023854,0.1328022415442146,0.1475580461602384,uptake,0.08643234938590119,0.07778911444731133,0.08643234938590176,uptake
4,cobalt2_e,EX_cobalt2_e,0.002834928840734652,0.002551435956661185,0.0028349288407346507,uptake,0.0016605638690855185,0.0014945074821769717,0.0016605638690855313,uptake
5,cu2_e,EX_cu2_e,0.020099645480808673,0.018089680932727795,0.02009964548080865,uptake,0.01177339783181632,0.010596058048634725,0.011773397831816138,uptake
6,fe2_e,EX_fe2_e,0.1903654716553319,-1000.0,0.19036547165533294,uptake,0.11150686380909258,-999.7829526783635,5.324236774441813,uptake
7,fe3_e,EX_fe3_e,0.22135124388456168,0.19921611949609996,1000.0,uptake,0.12965682689819732,0.11669114420840287,1000.0,uptake
8,gln__L_e,EX_gln__L_e,23.328090793925917,0.0,861.1577930181046,uptake,20.76991773355555,0.0,158.69292596019926,uptake
9,gua_e,EX_gua_e,6.895340720742096,0.0,6.8953407207420305,uptake,0.0,0.0,0.0,secretion
10,ibt_e,EX_ibt_e,12.012670771152191,10.811403694036922,12.012670771152136,uptake,0.0,0.0,14.234176609987243,secretion
11,ile__L_e,EX_ile__L_e,8.236290411697983,7.4126613705281805,8.236290411697976,uptake,0.0,0.0,4.817778750002443,secretion
12,k_e,EX_k_e,5.5335826520951965,4.9802243868856735,5.533582652095181,uptake,3.2413044329840943,2.9171739896857,3.2413044329841085,uptake
13,mg2_e,EX_mg2_e,0.24593007693373098,0.22133706924035776,0.2459300769337309,uptake,0.1440539156431687,0.12964852407885227,0.1440539156431698,uptake
14,mn2_e,EX_mn2_e,0.01958935828947646,0.017630422460528802,0.01958935828947645,uptake,0.011474496335380942,0.010327046701842884,0.011474496335381031,uptake
15,no3_e,EX_no3_e,24.153494500550906,0.0,764.485352471061,uptake,0.0,0.0,0.037826622871961035,secretion
16,o2_e,EX_o2_e,207.30985551104482,-0.0031609456574191192,1000.0,uptake,982.2886873111656,0.0,1000.0,uptake
17,so4_e,EX_so4_e,0.12297921311106924,0.11068129179996225,50.11068129179834,uptake,0.07203526064092983,0.06483173457683705,0.07203526064092974,uptake
18,thym_e,EX_thym_e,0.002834928840734652,-99.38729432196172,28.57398000738472,uptake,0.4345031419849177,0.0,0.4345031419849183,uptake
19,ura_e,EX_ura_e,9.374967929867466,-63.8558772450113,107.8273168948018,uptake,0.0016605638690855185,-36.965516971537994,5.47905787331568,uptake
20,zn2_e,EX_zn2_e,0.009667107346905155,0.008700396612214634,0.009667107346905152,uptake,0.005662522793581613,0.005096270514223469,0.005662522793581657,uptake
21,4abut_e,EX_4abut_e,0.0,-1000.0,0.0,secretion,373.586846210519,136.2281615894825,836.2281615894691,uptake
22,4hbz_e,EX_4hbz_e,0.0,-49.99999999999989,0.0,secretion,0.0,0.0,3.1818181818182727,secretion
23,5mtr_e,EX_5mtr_e,0.0,0.0,4.353712547054847,secretion,0.0,0.0,10.427623568209576,secretion
24,LalaLglu_e,EX_LalaLglu_e,0.0,0.0,861.1577930181021,secretion,363.21737210181993,126.89563489166943,440.08949068103254,uptake
25,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,-1000.0,-1000.0,-766.6666666666742,secretion
26,acac_e,EX_acac_e,0.0,0.0,199.9999999999973,secretion,178.79249427123173,0.0,760.9132448441021,uptake
27,acald_e,EX_acald_e,0.0,-1000.0,1000.0,secretion,-2.655407683054115,-1000.0,1000.0,secretion
28,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,0.0,secretion
29,ala__L_e,EX_ala__L_e,-865.3902078269306,-1000.0,1000.0,secretion,0.0,0.0,700.0000000000273,secretion
30,alaala_e,EX_alaala_e,0.0,-8.333333333332755,0.0,secretion,0.0,-1000.0,0.0,secretion
31,alltn_e,EX_alltn_e,0.0,0.0,199.99999999999898,secretion,0.0,0.0,65.34769426405425,secretion
32,arg__L_e,EX_arg__L_e,0.0,0.0,999.9999999999998,secretion,4.911815079645434,0.0,91.92063357167878,uptake
33,but_e,EX_but_e,0.0,0.0,199.99999999999613,secretion,0.0,0.0,592.75725767138,secretion
34,bz_e,EX_bz_e,0.0,-1000.0,0.0,secretion,0.0016605638690855185,0.0014945074821769717,0.0016605638690855148,uptake
35,chol_e,EX_chol_e,0.0,0.0,0.0,secretion,0.0,0.0,999.9999999999992,secretion
36,co2_e,EX_co2_e,-85.86474996750324,-1000.0,401.0362015735316,secretion,-1000.0,-1000.0,-825.0000000000018,secretion
37,etha_e,EX_etha_e,0.0,-22.222222222221323,0.0,secretion,0.0,-6.79611650485353,0.0,secretion
38,etoh_e,EX_etoh_e,-71.33761071176895,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
39,for_e,EX_for_e,0.0,0.0,0.0,secretion,0.0,-174.99999999998357,78.54170025898564,secretion
40,fru_e,EX_fru_e,0.0,0.0,260.31477235493185,secretion,0.0,0.0,235.56746064796485,secretion
41,fum_e,EX_fum_e,0.0,-1000.0,992.5111782661656,secretion,373.58518564664996,136.22666708202894,1000.0,uptake
42,galt_e,EX_galt_e,0.0,0.0,130.15738617746334,secretion,0.0,0.0,235.56746064796386,secretion
43,glc__D_e,EX_glc__D_e,0.0,0.0,260.3147723549354,secretion,0.0,-1000.0,0.0,secretion
44,glcur_e,EX_glcur_e,0.0,0.0,0.0,secretion,0.0,-58.33333333333042,0.0,secretion
45,glu__L_e,EX_glu__L_e,0.0,0.0,1000.0,secretion,-373.586846210519,-836.2281615894768,-136.22816158953472,secretion
46,glyald_e,EX_glyald_e,0.0,-1000.0,1000.0,secretion,0.0,0.0,1000.0,secretion
47,glyb_e,EX_glyb_e,0.0,0.0,0.0,secretion,0.0,-1000.0,0.0,secretion
48,glyc_e,EX_glyc_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,730.8864630565196,secretion
49,glyclt_e,EX_glyclt_e,-0.025287565263116853,-0.025287565259354224,-0.017069106550063218,secretion,-0.0037030574280834117,-61.40723308457348,0.0,secretion
50,h2_e,EX_h2_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
51,h2o_e,EX_h2o_e,-322.73961059532166,-1000.0,1000.0,secretion,313.6116690782951,-1000.0,1000.0,uptake
52,h2s_e,EX_h2s_e,0.0,-1000.0,2.615454134940216,secretion,4.089769541893336,-229.65254074562324,103.68079258769718,uptake
53,h_e,EX_h_e,-700.7834099056912,-1000.0,1000.0,secretion,-180.0725067184402,-1000.0,64.46775795459445,secretion
54,hxan_e,EX_hxan_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
55,kdo2lipid4_e,EX_kdo2lipid4_e,0.0,-6.060606060606036,0.0,secretion,0.0,-2.447552447552274,0.0,secretion
56,leu__L_e,EX_leu__L_e,0.0,0.0,0.0,secretion,0.0,0.0,7.449507911715204,secretion
57,lys__L_e,EX_lys__L_e,0.0,-199.99999999999733,0.0,secretion,0.0,0.0,174.9999999999991,secretion
58,mal__L_e,EX_mal__L_e,-422.3204621138088,-1000.0,1000.0,secretion,0.0,0.0,63.63636363636405,secretion
59,meoh_e,EX_meoh_e,0.0,0.0,0.0,secretion,0.0,-116.66666666667436,0.0,secretion
60,nh4_e,EX_nh4_e,0.0,-1000.0,1000.0,secretion,-626.7199097529742,-867.485569943083,-164.04791877769708,secretion
61,no2_e,EX_no2_e,0.0,0.0,0.0,secretion,0.0,0.0,0.012608874290531669,secretion
62,orn_e,EX_orn_e,0.0,0.0,66.66666666666517,secretion,0.0,0.0,174.9999999999994,secretion
63,pi_e,EX_pi_e,-972.1095448255214,-1000.0,-774.8985903429655,secretion,16.37470407358296,-46.66666666666045,23.542265112766597,uptake
64,ppa_e,EX_ppa_e,0.0,0.0,199.9999999999989,secretion,0.0,0.0,103.72169512247639,secretion
65,pro__L_e,EX_pro__L_e,0.0,0.0,6.266751948885975,secretion,3.670759460806997,-96.69631648528005,3.6707594608070067,uptake
66,ptrc_e,EX_ptrc_e,0.0,-66.66666666666563,0.0,secretion,0.0,-174.99999999999758,0.0,secretion
67,pyr_e,EX_pyr_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
68,raffin_e,EX_raffin_e,0.0,0.0,260.31477235495413,secretion,0.0,0.0,45.68040394103772,secretion
69,succ_e,EX_succ_e,-0.06457967899193848,-208.8136548543223,1000.0,secretion,-373.58518564664996,-1000.0,-136.22666708199176,secretion
70,tol_e,EX_tol_e,0.0,0.0,1000.0,secretion,0.0,0.0,0.0,secretion
71,udcpo5_e,EX_udcpo5_e,0.0,-3.124999999999916,0.0,secretion,0.0,-2.0114942528734967,0.0,secretion
72,urea_e,EX_urea_e,0.0,-200.000000000002,0.0,secretion,0.0,0.0,0.0,secretion
73,val__L_e,EX_val__L_e,0.0,0.0,0.0,secretion,0.0,0.0,14.292302081986712,secretion
74,xan_e,EX_xan_e,0.0,0.0,6.824752232772471,secretion,4.0278471152151525,0.0,12.43166590291636,uptake
75,4hba_c,sink_4hba_c,-0.00632189131483827,-0.006321891314838269,-0.005689702183354439,secretion,-0.0037030574280607037,-0.0037030574280607093,-0.003332751685254644,secretion
