,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,3.9155753655342984,3.524017828980866,503.917155838363,uptake,499.99713303000465,328.5688483049859,500.00000000000006,uptake
1,ade_e,EX_ade_e,5.7916745737573745,0.0,12.557136690560974,uptake,5.253043249424843,-26.522642469397923,1000.0,uptake
2,ca2_e,EX_ca2_e,0.14755804616023854,0.1328022415442146,0.1475580461602385,uptake,0.13383500547363378,0.1204515049267824,0.13383500547326935,uptake
3,cgly_e,EX_cgly_e,2.618878913782263,0.0,1000.0,uptake,2.369586698257059,0.0,173.5611994462523,uptake
4,cl_e,EX_cl_e,0.14755804616023854,0.1328022415442146,0.1475580461602384,uptake,0.13383500547363378,0.1204515049267824,0.13383500547326954,uptake
5,cobalt2_e,EX_cobalt2_e,0.002834928840734652,0.002551435956661185,0.0028349288407346507,uptake,0.0025712777228363856,0.0023141499505625837,0.0025712777228293878,uptake
6,cu2_e,EX_cu2_e,0.020099645480808673,0.018089680932727795,0.02009964548080865,uptake,0.018230359054909964,0.016407323149488708,0.018230359054860413,uptake
7,fe2_e,EX_fe2_e,0.1903654716553319,-1000.0,0.19036547165533294,uptake,0.1726612990884633,-85.5588905397291,9.951313535912877,uptake
8,fe3_e,EX_fe3_e,0.22135124388456168,0.19921611949609996,1000.0,uptake,0.20076536459906505,0.18068882813992657,0.20076536459851835,uptake
9,gln__L_e,EX_gln__L_e,23.328090793925917,0.0,861.1577930181046,uptake,6.766574455416228,0.0,179.50499441642134,uptake
10,glyc3p_e,EX_glyc3p_e,1000.0,0.0,1000.0,uptake,0.0,0.0,98.03067027953489,secretion
11,gua_e,EX_gua_e,6.895340720742096,0.0,6.8953407207420305,uptake,184.65943379592065,0.0,1000.0,uptake
12,ile__L_e,EX_ile__L_e,8.236290411697983,7.4126613705281805,8.236290411697976,uptake,7.470307455379328,-630.4060848504733,678.1567425548343,uptake
13,k_e,EX_k_e,5.5335826520951965,4.9802243868856735,5.533582652095181,uptake,5.018954125536032,4.51705871300163,5.01895412552237,uptake
14,mg2_e,EX_mg2_e,0.24593007693373098,0.22133706924035776,0.2459300769337309,uptake,0.22305834245605638,0.20075250821130405,0.22305834245544934,uptake
15,mn2_e,EX_mn2_e,0.01958935828947646,0.017630422460528802,0.01958935828947645,uptake,0.017767529064799437,0.015990776158387465,0.017767529064751084,uptake
16,no3_e,EX_no3_e,24.153494500550906,0.0,764.485352471061,uptake,0.0,0.0,999.9976858500497,secretion
17,o2_e,EX_o2_e,207.30985551104482,-0.0031609456574191192,1000.0,uptake,1000.0,657.1428571643718,1000.0,uptake
18,ser__D_e,EX_ser__D_e,14.181816573644054,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
19,so4_e,EX_so4_e,0.12297921311106924,0.11068129179996225,50.11068129179834,uptake,0.11154202761664245,0.1003878248554049,57.24324496412834,uptake
20,sucr_e,EX_sucr_e,1.2433147416814307,0.0,130.15738617747607,uptake,0.0,0.0,199.99999998744954,secretion
21,thr__L_e,EX_thr__L_e,7.191845928194523,0.0,1000.0,uptake,6.5229973167319475,-79.84358812382175,1000.0,uptake
22,ura_e,EX_ura_e,9.374967929867466,-63.8558772450113,107.8273168948018,uptake,-5.311616955951055,-61.92331239964711,8.374043866337505,secretion
23,zn2_e,EX_zn2_e,0.009667107346905155,0.008700396612214634,0.009667107346905152,uptake,0.008768057034872068,0.007891251331418403,0.008768057034848205,uptake
24,LalaLglu_e,EX_LalaLglu_e,0.0,0.0,861.1577930181021,secretion,9.33785217825266,0.0,1000.0,uptake
25,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
26,acald_e,EX_acald_e,0.0,-1000.0,1000.0,secretion,-952.723305009509,-1000.0,1000.0,secretion
27,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
28,ala__L_e,EX_ala__L_e,-865.3902078269306,-1000.0,1000.0,secretion,-477.5495185214306,-1000.0,1000.0,secretion
29,alaala_e,EX_alaala_e,0.0,-8.333333333332755,0.0,secretion,0.0,-1000.0,0.0,secretion
30,arg__L_e,EX_arg__L_e,0.0,0.0,999.9999999999998,secretion,7.605633801932197,0.0,528.3433108846032,uptake
31,asp__L_e,EX_asp__L_e,0.0,-999.9999999999994,1000.0,secretion,-485.01208644019545,-986.5157722190647,323.82194869158883,secretion
32,but_e,EX_but_e,0.0,0.0,199.99999999999613,secretion,0.0,0.0,0.0,secretion
33,co2_e,EX_co2_e,-85.86474996750324,-1000.0,401.0362015735316,secretion,-1000.0,-1000.0,-362.87063843965825,secretion
34,enlipa_e,EX_enlipa_e,0.0,-4.761904761904782,0.0,secretion,0.0,-4.917173948226155,0.0,secretion
35,etha_e,EX_etha_e,0.0,-22.222222222221323,0.0,secretion,0.0,-17.142857141781793,0.0,secretion
36,etoh_e,EX_etoh_e,-71.33761071176895,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
37,for_e,EX_for_e,0.0,0.0,0.0,secretion,-495.9822371517901,-1000.0,0.0,secretion
38,fru_e,EX_fru_e,0.0,0.0,260.31477235493185,secretion,0.0,0.0,399.99999997491494,secretion
39,fum_e,EX_fum_e,0.0,-1000.0,992.5111782661656,secretion,499.9945617522818,328.5665341550404,1000.0,uptake
40,gal_e,EX_gal_e,0.0,0.0,7.843137254901773,secretion,0.0,0.0,119.99999999247089,secretion
41,galt_e,EX_galt_e,0.0,0.0,130.15738617746334,secretion,0.0,0.0,399.9999999748897,secretion
42,glc__D_e,EX_glc__D_e,0.0,0.0,260.3147723549354,secretion,0.0,-1000.0,399.99999997489977,secretion
43,glcur_e,EX_glcur_e,0.0,0.0,0.0,secretion,0.0,-109.09090908406398,0.0,secretion
44,glu__L_e,EX_glu__L_e,0.0,0.0,1000.0,secretion,0.0,-1000.0,685.9274498153302,secretion
45,glyc_e,EX_glyc_e,0.0,-1000.0,1000.0,secretion,0.0,-218.18181816812827,799.9999999498148,secretion
46,glyclt_e,EX_glyclt_e,-0.025287565263116853,-0.025287565259354224,-0.017069106550063218,secretion,-25.355189635452916,-108.5339563809108,0.0,secretion
47,h2_e,EX_h2_e,0.0,-1000.0,1000.0,secretion,0.0,0.0,0.0,secretion
48,h2o_e,EX_h2o_e,-322.73961059532166,-1000.0,1000.0,secretion,579.8038875087607,-1000.0,1000.0,uptake
49,h2s_e,EX_h2s_e,0.0,-1000.0,2.615454134940216,secretion,0.0,-171.42857141781968,175.34088489499402,secretion
50,h_e,EX_h_e,-700.7834099056912,-1000.0,1000.0,secretion,-900.4712234549726,-1000.0,1000.0,secretion
51,hxan_e,EX_hxan_e,0.0,0.0,0.0,secretion,0.0,0.0,1000.0,secretion
52,lcts_e,EX_lcts_e,0.0,0.0,7.843137254901951,secretion,0.0,0.0,92.30769230190256,secretion
53,leu__L_e,EX_leu__L_e,0.0,0.0,0.0,secretion,11.584403237472001,-626.7033986465676,11.58440323744047,uptake
