,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,arg__L_e,EX_arg__L_e,20.00207284242364,-153.42670587039106,1000.0,uptake,15.885306082983785,0.0,316.00623835596474,uptake
1,asn__L_e,EX_asn__L_e,32.608047362150096,0.0,1000.0000000000001,uptake,12.945693114870094,11.651123803150728,12.94569311461191,uptake
2,ca2_e,EX_ca2_e,0.35197297136100725,0.31677567422490643,0.35197297136100764,uptake,0.27953094796996064,0.2515778531679474,0.27953094796438627,uptake
3,cl_e,EX_cl_e,0.35197297136100725,0.31677567422490593,0.3519729713610076,uptake,0.27953094796996064,0.2515778531679474,0.2795309479643865,uptake
4,cobalt2_e,EX_cobalt2_e,0.006762208863804178,0.0060859879774237576,0.006762208863804178,uptake,0.005370431277040554,0.0048333881492401065,0.005370431276933452,uptake
5,cu2_e,EX_cu2_e,0.0479440608443716,0.04314965475993443,0.04794406084437157,uptake,0.038076357754217506,0.034268721978112336,0.038076357753458204,uptake
6,fe2_e,EX_fe2_e,0.45408232520445063,-999.1161319660389,21.4613056716318,uptake,-486.58321307527126,-1000.0,20.912797308339663,secretion
7,fe3_e,EX_fe3_e,0.5279932680858304,0.4751939412772117,1000.0,uptake,487.3631608096359,0.377390946700757,1000.0,uptake
8,glu__L_e,EX_glu__L_e,1000.0,-1000.0,1000.0,uptake,-771.1552985864325,-1000.0,1000.0,secretion
9,gua_e,EX_gua_e,16.44758537525366,0.0,868.6302514806991,uptake,13.062392586520227,-65.29753866894471,13.062392586259591,uptake
10,h2o_e,EX_h2o_e,473.4264013133919,-1000.0,1000.0,uptake,574.6494237542215,-1000.0,1000.0,uptake
11,h2s_e,EX_h2s_e,2.190792251813784,-1000.0,405.60860308047296,uptake,13.226727783597656,-338.09594499499065,361.9040550050068,uptake
12,id3acald_e,EX_id3acald_e,3.8438423844522083,3.4594581460069866,206.19511988517564,uptake,792.4564073356754,-44.27153223529558,1000.0,uptake
13,ile__L_e,EX_ile__L_e,19.646177789921655,-982.3184399890705,19.646177789921655,uptake,0.0,-985.9576057438952,15.602660284562237,secretion
14,k_e,EX_k_e,13.199358347525306,11.879422512772774,13.199358347525314,uptake,10.482705922593782,9.434435330146254,10.482705922384737,uptake
15,leu__L_e,EX_leu__L_e,30.46584721618561,27.419262494567047,30.46584721618561,uptake,24.195457736763586,-703.3958500490907,24.19545773628106,uptake
16,mg2_e,EX_mg2_e,0.5866216189350123,0.5279594570415108,0.5866216189350123,uptake,0.4658849132832679,0.4192964219465791,0.4658849132739768,uptake
17,mn2_e,EX_mn2_e,0.046726863248886905,0.0420541769239982,0.046726863248886905,uptake,0.03710968012435026,0.03339871211124916,0.037109680123610184,uptake
18,no2_e,EX_no2_e,970.608690312964,-1000.0,1000.0,uptake,0.0,-785.5409377218348,1000.0,secretion
19,o2_e,EX_o2_e,38.032634960946865,0.04071525956712206,1000.0,uptake,35.37014386899543,-0.005958002759939518,1000.0,uptake
20,pi_e,EX_pi_e,75.1484271034622,-1000.0,1000.0,uptake,-530.4724357148009,-1000.0,-177.42519214277286,secretion
21,pnto__R_e,EX_pnto__R_e,0.038950323055512055,-147.52576262576284,0.03895032305548905,uptake,0.030933684155754735,-174.97215968426744,0.03093368415509462,uptake
22,pro__L_e,EX_pro__L_e,14.948200803882342,-386.54661927650795,14.948200803882335,uptake,11.871606859462009,-339.3155538266918,76.30944617330451,uptake
23,so4_e,EX_so4_e,0.2933446205118253,0.0,100.26401015846413,uptake,0.2329693087980193,0.0,175.2096723779138,uptake
24,thr__L_e,EX_thr__L_e,54.45955615294286,15.439360320287024,1000.0,uptake,29.22674627865844,12.261677394162803,1000.0,uptake
25,val__L_e,EX_val__L_e,28.61509827225039,-974.2464115549759,173.314406361537,uptake,0.0,-979.5469380399113,745.6248239718204,secretion
26,zn2_e,EX_zn2_e,0.023059132225572227,0.020753219003014998,0.023059132225572227,uptake,0.018313170654708274,0.01648185358890875,0.018313170654343056,uptake
27,2pglyc_e,EX_2pglyc_e,0.0,0.0,442.68245374953455,secretion,0.0,0.0,822.5748078572235,secretion
28,4abut_e,EX_4abut_e,0.0,-1000.0,0.0,secretion,771.1552985864325,-999.9999999999987,1000.0,uptake
29,4hphac_e,EX_4hphac_e,0.0,0.0,400.00202866265795,secretion,17.617914691378324,0.0,500.00299399665937,uptake
30,abt__L_e,EX_abt__L_e,0.0,-999.9999999999968,1000.0,secretion,34.94413575967281,-1000.0,1000.0,uptake
31,ac_e,EX_ac_e,-1000.0,-1000.0,-594.5286765216676,secretion,-1000.0,-1000.0,-649.9999999999958,secretion
32,acald_e,EX_acald_e,-37.304711352623656,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
33,acnam_e,EX_acnam_e,0.0,0.0,202.73566173917115,secretion,0.0,0.0,184.6667762984834,secretion
34,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0000000000034,secretion,0.0,-990.3332237015118,999.9999999999999,secretion
35,ala__L_e,EX_ala__L_e,-939.7480428026068,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
36,arab__D_e,EX_arab__D_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
37,arab__L_e,EX_arab__L_e,0.0,-1000.0,1000.0,secretion,-34.94413575966934,-999.9999999999998,999.9999999999999,secretion
38,but_e,EX_but_e,0.0,0.0,405.4713234783292,secretion,0.0,-349.9999999999983,0.0,secretion
39,butso3_e,EX_butso3_e,0.0,0.0,377.1102187299569,secretion,0.0,0.0,350.0000000000034,secretion
40,chol_e,EX_chol_e,0.0,-1000.0,1000.0,secretion,0.0,-116.8064482519435,0.0,secretion
41,chols_e,EX_chols_e,0.0,0.0,80.21120812676956,secretion,0.0,0.0,116.80644825194462,secretion
42,chtbs_e,EX_chtbs_e,0.0,0.0,101.3678308695822,secretion,5.370431277040553,0.0,92.33338814924211,uptake
43,cit_e,EX_cit_e,0.0,0.0,405.47132347833264,secretion,1000.0,0.0,1000.0,uptake
44,co2_e,EX_co2_e,-1000.0,-1000.0,67.2842808036944,secretion,-1000.0,-1000.0,501.1802223188836,secretion
45,cys__L_e,EX_cys__L_e,0.0,0.0,405.60860308047825,secretion,0.0,-350.00000000000404,0.0,secretion
46,etha_e,EX_etha_e,0.0,-35.29411764705892,1000.0,secretion,0.0,-50.000000000000234,0.0,secretion
47,etoh_e,EX_etoh_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,999.999999999997,secretion
48,for_e,EX_for_e,0.0,-1000.0000000000006,1000.0,secretion,-1000.0,-1000.0,0.0,secretion
49,fru_e,EX_fru_e,0.0,0.0,400.00000000000495,secretion,0.0,-1000.0,700.0000000000109,secretion
50,gal_e,EX_gal_e,0.0,0.0,399.9999999999981,secretion,0.0,0.0,116.66666666666775,secretion
51,galt_e,EX_galt_e,0.0,0.0,200.00000000000125,secretion,0.0,0.0,350.0000000000061,secretion
52,galur_e,EX_galur_e,0.0,0.0,400.0000000000047,secretion,0.0,0.0,0.0,secretion
53,glc__D_e,EX_glc__D_e,0.0,-1000.0,400.00000000000546,secretion,0.0,0.0,350.0000000000024,secretion
54,glcur_e,EX_glcur_e,0.0,-1000.0,1000.0,secretion,0.0,0.0,0.0,secretion
55,glyc_e,EX_glyc_e,0.0,-1000.0,1000.0,secretion,0.0,-700.0000000000113,0.0,secretion
56,h2_e,EX_h2_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
57,h_e,EX_h_e,0.0,-1000.0,1000.0,secretion,-1000.0,-1000.0,1000.0,secretion
58,hxan_e,EX_hxan_e,0.0,0.0,1000.0,secretion,10.971629986058087,-1.3674431127678306,86.92815898383436,uptake
59,indole_e,EX_indole_e,0.0,-202.73566173916458,0.0,secretion,-789.4036930848673,-1000.0,0.0,secretion
60,inost_e,EX_inost_e,0.0,-1000.0,0.0,secretion,0.0,-790.8968785947484,699.9999999999891,secretion
