,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,26.79559912523606,0.0,441.17743481512036,uptake,0.0,0.0,1000.0,secretion
1,LalaLglu_e,EX_LalaLglu_e,11.291360996866217,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
2,acac_e,EX_acac_e,10.98266198276524,0.0,409.8843957844945,uptake,0.0,0.0,1000.0,secretion
3,acald_e,EX_acald_e,163.08663764969936,-999.9999999999998,1000.0,uptake,0.0,-1000.0,1000.0,secretion
4,adn_e,EX_adn_e,13.74292492585365,0.0,1000.0,uptake,16.818504261780326,-1000.0,1000.0,uptake
5,arg__L_e,EX_arg__L_e,19.904460379542616,-64.06528651165105,667.5865298589969,uptake,24.35071984708052,-78.0843521376263,1000.0,uptake
6,bz_e,EX_bz_e,0.006726934279920589,-1000.0,0.006726934279920593,uptake,0.0,0.0,499.99173880721406,secretion
7,ca2_e,EX_ca2_e,0.35013692926986645,0.3151232363428802,0.35013692926986667,uptake,0.42849535080074547,0.3856458157206708,0.4284953508007452,uptake
8,cgly_e,EX_cgly_e,6.214274618447842,0.0,223.38514098600217,uptake,0.0,-1000.0,500.00000000000375,secretion
9,cl_e,EX_cl_e,0.35013692926986645,0.3151232363428802,0.35013692926986667,uptake,0.42849535080074547,0.3856458157206708,0.4284953508007454,uptake
10,cobalt2_e,EX_cobalt2_e,0.006726934279920589,0.006054240851928538,0.006726934279920593,uptake,0.008232379458227584,0.007409141512404824,0.008232379458227575,uptake
11,cu2_e,EX_cu2_e,0.04769396404463695,0.04292456764017331,0.047693964044637056,uptake,0.05836757035883354,-999.9474691866774,0.05836757035883351,uptake
12,cytd_e,EX_cytd_e,8.974268484156473,0.0,1000.0,uptake,25.078215219804143,-1000.0,1000.0,uptake
13,duri_e,EX_duri_e,840.4842208741111,0.0,1000.0,uptake,0.0,-1000.000000000003,1000.0,secretion
14,fe2_e,EX_fe2_e,0.9769526654728673,-999.1207426010742,24.408669163631284,uptake,1.1955884687183922,-1000.0,1000.0,uptake
15,gln__L_e,EX_gln__L_e,24.12056643948285,0.0,421.7085097955331,uptake,0.0,0.0,1000.0,secretion
16,glu__L_e,EX_glu__L_e,1000.0,-429.45391201583686,1000.0,uptake,0.0,-1000.0,1000.0,secretion
17,glyc3p_e,EX_glyc3p_e,174.04736982671636,0.0,1000.0,uptake,999.9999999999998,-1000.0000000000011,1000.0,uptake
18,gua_e,EX_gua_e,16.286782393144172,0.0,63.142952638678594,uptake,0.0,-1000.0,1000.0,secretion
19,h2o_e,EX_h2o_e,306.2578914997097,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
20,ile__L_e,EX_ile__L_e,19.5436948941105,-782.4106745953019,19.543694894110544,uptake,23.917449716194035,-978.4742952554341,23.917449716194028,uptake
21,k_e,EX_k_e,13.130504829005412,11.817454346104887,13.130504829005435,uptake,16.069028435898186,14.462125592308366,16.06902843589817,uptake
22,leu__L_e,EX_leu__L_e,30.30692428066904,-372.72376814740016,30.306924280669048,uptake,37.08942149694733,-966.6195206527512,37.08942149694729,uptake
23,lys__L_e,EX_lys__L_e,23.08421494431828,-139.2242065501138,820.775793449889,uptake,28.25031567264834,-474.5747158946134,1000.0,uptake
24,met__L_e,EX_met__L_e,10.35335728088296,0.0,10.353357280882971,uptake,0.0,0.0,52.6013462920528,secretion
25,mg2_e,EX_mg2_e,0.583561548783111,0.5252053939048005,0.5835615487831113,uptake,0.7141589180012426,0.6427430262011182,0.714158918001242,uptake
26,mn2_e,EX_mn2_e,0.04648311587425131,0.041834804286826226,0.04648311587425133,uptake,0.05688574205635265,0.051197167850717366,0.05688574205635259,uptake
27,nmn_e,EX_nmn_e,0.15323956289681817,0.0,0.15323956289627236,uptake,0.18753360405879294,0.0,1000.0,uptake
28,no2_e,EX_no2_e,957.6354406693746,-724.5917814588532,1000.0,uptake,642.1094688639104,-1000.0,1000.0,uptake
29,no_e,EX_no_e,41.78006498028556,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
