,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,acald_e,EX_acald_e,163.08663764969936,-999.9999999999998,1000.0,uptake,-999.285869484471,-1000.0,999.9999999999958,secretion
1,adn_e,EX_adn_e,13.74292492585365,0.0,1000.0,uptake,2.9961825719740203,-1000.0,53.88991791985339,uptake
2,arg__L_e,EX_arg__L_e,19.904460379542616,-64.06528651165105,667.5865298589969,uptake,8.716714833675216,4.489725320402767,24.511710016974302,uptake
3,bz_e,EX_bz_e,0.006726934279920589,-1000.0,0.006726934279920593,uptake,0.0016865174478472768,0.0015178657030625509,0.0016865174478472745,uptake
4,ca2_e,EX_ca2_e,0.35013692926986645,0.3151232363428802,0.35013692926986667,uptake,0.08778323316045071,0.07900490984440572,0.08778323316045059,uptake
5,cgly_e,EX_cgly_e,6.214274618447842,0.0,223.38514098600217,uptake,1.5445126787385364,0.0,70.68614327848883,uptake
6,cl_e,EX_cl_e,0.35013692926986645,0.3151232363428802,0.35013692926986667,uptake,0.08778323316045071,0.07900490984440572,0.08778323316045072,uptake
7,cobalt2_e,EX_cobalt2_e,0.006726934279920589,0.006054240851928538,0.006726934279920593,uptake,0.0016865174478472768,0.0015178657030625509,0.0016865174478472745,uptake
8,cu2_e,EX_cu2_e,0.04769396404463695,0.04292456764017331,0.047693964044637056,uptake,0.0,-50.00000000000011,0.0,secretion
9,cytd_e,EX_cytd_e,8.974268484156473,0.0,1000.0,uptake,5.1514295978069375,0.0,5.578915391606417,uptake
10,duri_e,EX_duri_e,840.4842208741111,0.0,1000.0,uptake,0.0,0.0,5.552761134583225,secretion
11,fe2_e,EX_fe2_e,0.9769526654728673,-999.1207426010742,24.408669163631284,uptake,0.24493292895086008,-963.1319407896533,3.805608822285031,uptake
12,gln__L_e,EX_gln__L_e,24.12056643948285,0.0,421.7085097955331,uptake,4.513820595180857,0.0,1000.0,uptake
13,glu__L_e,EX_glu__L_e,1000.0,-429.45391201583686,1000.0,uptake,0.0,-1000.0,36.68033877974672,secretion
14,glyc3p_e,EX_glyc3p_e,174.04736982671636,0.0,1000.0,uptake,9.527331012398287,0.0,60.222814126135376,uptake
15,gua_e,EX_gua_e,16.286782393144172,0.0,63.142952638678594,uptake,4.094560790232585,0.0,28.685104711209167,uptake
16,h2o_e,EX_h2o_e,306.2578914997097,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
