,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ade_e,EX_ade_e,3.1410861228130895,-12.540374855044941,6.8284825930694435,uptake,-0.004970009077494856,-197.84505491090067,1000.0,secretion
1,ca2_e,EX_ca2_e,0.08002737812712372,0.07202464031457448,0.08002737812712446,uptake,0.2586889724836071,0.2328200752352468,0.2586889724836076,uptake
2,cgly_e,EX_cgly_e,7.553492863337455,0.0,78.15549162610512,uptake,4.591244685698974,0.0,320.7987868837949,uptake
3,cl_e,EX_cl_e,0.08002737812712372,0.07202464031457448,0.08002737812712415,uptake,0.2586889724836071,0.2328200752352468,0.2586889724836077,uptake
4,cobalt2_e,EX_cobalt2_e,0.0015375096662271618,0.0013837586996075797,0.0015375096662271761,uptake,0.004970009077494856,0.004473008169745378,0.004970009077494866,uptake
5,cu2_e,EX_cu2_e,0.010900943533550572,-999.9901891508284,0.010900943531342187,uptake,0.035237364359438514,0.03171362792349473,0.035237364359438514,uptake
6,fe2_e,EX_fe2_e,0.10324377408715393,-1000.0,1000.0,uptake,0.33373610955377964,-316.3663041680738,0.33373610955378147,uptake
7,fe3_e,EX_fe3_e,0.12004875473901683,-1000.0,1000.0,uptake,0.3880583087707985,0.3492524778937192,0.388058308770799,uptake
8,fum_e,EX_fum_e,28.687047541180686,-0.0015174407814771646,995.9069524672551,uptake,485.2284374626782,-1000.0,1000.0,uptake
9,gua_e,EX_gua_e,3.7327967178596357,0.0,3.739371949306483,uptake,12.088453679009216,0.0,12.088453679008637,uptake
10,h_e,EX_h_e,644.0512781101377,-1000.0,1000.0,uptake,-193.8633233476737,-1000.0,1000.0,secretion
11,ile__L_e,EX_ile__L_e,4.466911458193114,0.0,4.4669114581931435,uptake,14.439317672755042,-987.0046140945175,14.439317672755054,uptake
12,k_e,EX_k_e,3.0011112427987876,2.7010001185250263,3.001111242798804,uptake,9.701109818634547,8.730998836771107,9.701109818634587,uptake
13,met__L_e,EX_met__L_e,2.366365752193558,0.0,15.826783526158149,uptake,0.0,0.0,81.07452519619504,secretion
14,mg2_e,EX_mg2_e,0.13337896354520626,0.1200410671909575,0.1333789635452075,uptake,0.43114828747267864,0.38803345872541145,0.4311482874726795,uptake
15,mn2_e,EX_mn2_e,0.010624191793629697,0.009561772614288382,0.010624191793629795,uptake,0.03434276272548949,0.03090848645294059,0.03434276272548955,uptake
16,no2_e,EX_no2_e,366.5687931575958,-1000.0,517.9909318137763,uptake,333.3333333333333,-997.6211200650833,672.0295662618954,uptake
17,no_e,EX_no_e,0.03502447019664938,0.0,999.9999999999987,uptake,0.0,0.0,0.0,secretion
18,o2_e,EX_o2_e,0.03502447019664938,0.0,1000.0,uptake,132.54044167810866,-0.005541510556668072,1000.0,uptake
19,orn_e,EX_orn_e,7.9465725846051,-93.29038238375311,107.59421303607434,uptake,0.0,-329.8974669921114,69.26601825911172,secretion
20,ptrc_e,EX_ptrc_e,28.197143148676368,-88.9816622200932,1000.0,uptake,0.0,-1000.0,0.0,secretion
21,so4_e,EX_so4_e,0.0666971693209343,0.0,33.39336078504427,uptake,0.21559899378172698,0.19403909440355457,105.74959464995915,uptake
22,thr__L_e,EX_thr__L_e,3.9004621469617033,0.0,83.03840938096471,uptake,12.608266928424387,0.0,1000.0,uptake
23,ura_e,EX_ura_e,2.6194552183512188,0.0,5.075594239969598,uptake,0.0,-814.147054702039,16.227441137530665,secretion
24,zn2_e,EX_zn2_e,0.005242907961834617,0.004718617165661842,0.005242907961834666,uptake,0.016947730954257445,0.015252957858831727,0.01694773095425748,uptake
25,LalaDgluMdapDala_e,EX_LalaDgluMdapDala_e,0.0,-12.499999999745318,0.0,secretion,0.0,-23.576026416925774,0.0,secretion
26,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-6.2499999998724425,0.0,secretion,0.0,-23.57602641692595,0.0,secretion
27,abt__L_e,EX_abt__L_e,0.0,-1000.0,999.9999999999892,secretion,0.0,-1000.0,1000.0,secretion
28,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,-1000.0,-1000.0,-683.3333333333364,secretion
29,acald_e,EX_acald_e,-941.0267026760479,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0000000000006,secretion
30,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-991.0539836605093,1000.0,secretion
31,ala__L_e,EX_ala__L_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
32,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-28.787878787878924,0.0,secretion
33,alltn_e,EX_alltn_e,0.0,0.0,50.22114885495311,secretion,0.0,0.0,541.4157697783199,secretion
34,anhgm_e,EX_anhgm_e,0.0,-12.499999999745832,0.0,secretion,0.0,-23.576026416925828,18.278201084080433,secretion
35,arab__D_e,EX_arab__D_e,0.0,0.0,102.54280882195636,secretion,0.0,-1000.0,0.0,secretion
36,arab__L_e,EX_arab__L_e,0.0,-1000.0000000000044,1000.0,secretion,0.0,-1000.0,1000.0,secretion
37,but_e,EX_but_e,0.0,0.0,0.0,secretion,0.0,-316.66666666667066,0.0,secretion
38,cellb_e,EX_cellb_e,0.0,0.0,781.9441001378809,secretion,0.0,0.0,839.2279394591844,secretion
39,chol_e,EX_chol_e,0.0,-25.04502058878373,0.0,secretion,0.0,-1000.0,999.9999999999993,secretion
40,co2_e,EX_co2_e,-1000.0,-1000.0,-899.5577022900943,secretion,-1000.0,-1000.0,426.4194186797826,secretion
41,co_e,EX_co_e,0.0,0.0,100.4422977099057,secretion,0.0,0.0,1000.0,secretion
42,dha_e,EX_dha_e,0.0,-99.99999999796657,0.0,secretion,0.0,0.0,1000.0,secretion
43,enter_e,EX_enter_e,0.0,-49.999999998966935,0.0,secretion,0.0,-316.6666666666722,0.0,secretion
44,etoh_e,EX_etoh_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
45,feenter_e,EX_feenter_e,0.0,0.0,49.9999999989826,secretion,0.0,0.0,316.6666666666687,secretion
46,for_e,EX_for_e,0.0,0.0,44.12303081543282,secretion,0.004970009077894133,0.0,1000.0,uptake
47,fru_e,EX_fru_e,0.0,0.0,556.2987139267425,secretion,0.0,0.0,1000.0,secretion
48,gal_e,EX_gal_e,0.0,0.0,99.99999999794616,secretion,0.0,-1000.0,678.4558789183667,secretion
49,galt_e,EX_galt_e,0.0,0.0,556.0775650707665,secretion,0.0,0.0,602.455843511846,secretion
50,glc__D_e,EX_glc__D_e,0.0,-1000.0,563.8882002757626,secretion,0.0,-1000.0,678.4558789183653,secretion
51,glcur_e,EX_glcur_e,0.0,-49.99999999898207,0.0,secretion,0.0,0.0,1000.0,secretion
52,gln__L_e,EX_gln__L_e,0.0,0.0,212.3934549003178,secretion,23.041260283796476,0.0,1000.0,uptake
53,glu__L_e,EX_glu__L_e,0.0,-848.7164494235099,107.73455384338486,secretion,30.476890864651196,-1000.0,1000.0,uptake
54,glyc_e,EX_glyc_e,0.0,-99.99999999793565,0.0,secretion,0.0,-1000.0,1000.0,secretion
55,glyclt_e,EX_glyclt_e,-0.010285939667055908,-60.886887619184066,100.43304036421182,secretion,-201.14864268878102,-1000.0,-0.029924424655177972,secretion
56,h2_e,EX_h2_e,0.0,-6.249999999872466,0.0,secretion,148.96609271246513,-1000.0,1000.0,uptake
57,h2o_e,EX_h2o_e,-26.842226449397682,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
58,h2s_e,EX_h2s_e,0.0,-100.44229770991143,127.70368633768884,secretion,3.8221606310020246,-313.2267220987715,324.23873145169875,uptake
59,hxan_e,EX_hxan_e,0.0,0.0,17.352521529177128,secretion,0.0,-1000.0,65.89692066985695,secretion
60,leu__L_e,EX_leu__L_e,0.0,0.0,6.903049109846009,secretion,22.39143159692836,-499.51881664750493,22.39143159692841,uptake
61,lys__L_e,EX_lys__L_e,0.0,0.0,100.4422977099083,secretion,17.055132850422115,-316.6666666666694,17.055132850422144,uptake
62,madg_e,EX_madg_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
63,malt_e,EX_malt_e,-257.7155386946069,-1000.0,281.9441001378795,secretion,0.0,0.0,339.2279394591815,secretion
64,malttr_e,EX_malttr_e,0.0,-1000.0,187.96273342525345,secretion,0.0,0.0,226.15195963945436,secretion
65,maltttr_e,EX_maltttr_e,0.0,0.0,140.97205006894043,secretion,0.0,0.0,169.61396972959125,secretion
66,mbdg_e,EX_mbdg_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
67,melib_e,EX_melib_e,0.0,0.0,99.99999999796516,secretion,0.0,0.0,339.22793945918255,secretion
68,meoh_e,EX_meoh_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
69,n2o_e,EX_n2o_e,0.0,0.0,6.249999999872788,secretion,0.0,0.0,1000.0,secretion
70,nh4_e,EX_nh4_e,-351.92278357904905,-647.3582328226843,213.58678072771025,secretion,-394.9143799082917,-1000.0,1000.0,secretion
71,no3_e,EX_no3_e,0.0,0.0,1000.0,secretion,0.0,0.0,997.6211200650828,secretion
72,pi_e,EX_pi_e,0.0,-1000.0,14.723784120583902,secretion,46.25249487808004,-1000.0,61.84991992368075,uptake
73,ppa_e,EX_ppa_e,0.0,0.0,54.24136916733087,secretion,0.0,0.0,158.33333333333312,secretion
74,pyr_e,EX_pyr_e,0.0,0.0,0.0,secretion,69.63594028685394,-1000.0,1000.0,uptake
75,s_e,EX_s_e,-6.1365854553291515,-185.12915115456659,0.0,secretion,0.0,-316.6666666666645,0.0,secretion
76,so3_e,EX_so3_e,0.0,0.0,99.99999999797049,secretion,0.0,-1000.0,0.0,secretion
77,spmd_e,EX_spmd_e,0.0,-13.696676960443307,0.0,secretion,0.0,0.0,0.0,secretion
78,succ_e,EX_succ_e,-28.687047541180686,-995.9069524672567,0.0015174407811890341,secretion,-690.1659914217328,-1000.0,0.0,secretion
79,tre_e,EX_tre_e,0.0,0.0,281.9441001378807,secretion,0.0,0.0,839.2279394591766,secretion
80,tsul_e,EX_tsul_e,0.0,0.0,33.33333333265408,secretion,0.0,-1000.0,1000.0000000000002,secretion
81,udcpdp_e,EX_udcpdp_e,0.0,-1000.0,1000.0000000000005,secretion,0.0,0.0,1000.0,secretion
