,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,34.60009698670697,0.0,246.93641596129885,uptake,0.0,0.0,151.21883087479392,secretion
1,asp__L_e,EX_asp__L_e,51.72850436087606,-953.4443460752093,149.60332101729495,uptake,22.31839724780357,0.0,1000.0,uptake
2,bz_e,EX_bz_e,0.006648890923272183,-999.9940159981728,0.006648890923272179,uptake,0.003022956513138151,0.002720660861824337,0.003022956513138133,uptake
3,ca2_e,EX_ca2_e,0.3460747725563169,0.31146729530068573,0.34607477255631675,uptake,0.15734488650884068,0.14161039785795665,0.1573448865088397,uptake
4,cgly_e,EX_cgly_e,6.1038813342915645,0.0,405.49349320086,uptake,0.0,0.0,200.00000000000597,secretion
5,cl_e,EX_cl_e,0.3460747725563169,0.31146729530068573,0.34607477255631713,uptake,0.15734488650884068,0.14161039785795665,0.1573448865088404,uptake
6,cobalt2_e,EX_cobalt2_e,0.006648890923272183,0.005984001830944974,0.006648890923272192,uptake,0.003022956513138151,0.002720660861824337,0.0030229565131381277,uptake
7,cu2_e,EX_cu2_e,0.04714063664599975,0.042426572981399846,0.04714063664599988,uptake,0.021432761678149483,0.019289485510334537,0.021432761678149483,uptake
8,fe2_e,EX_fe2_e,0.4464730254977271,-999.1309434140854,25.401825722948107,uptake,0.0,-999.6048784230379,11.50623268807433,secretion
9,fe3_e,EX_fe3_e,0.5191454032890922,0.46723086296015026,1000.0,uptake,0.4390239744030538,0.0,1000.0,uptake
10,glu__L_e,EX_glu__L_e,34.994442707364854,-401.998716451554,238.10896606032958,uptake,18.932716182653976,-1000.0,217.03944456438896,uptake
11,h2o_e,EX_h2o_e,294.76308966076203,-1000.0,1000.0,uptake,-901.8053284151564,-1000.0,1000.0,secretion
12,ile__L_e,EX_ile__L_e,19.316956310473454,17.3852606794311,1000.0,uptake,8.782565328055147,-992.0956912047494,8.782565328055256,uptake
13,k_e,EX_k_e,12.978169659862692,11.680352693876438,12.97816965986272,uptake,5.900599506689758,5.310539556020784,5.900599506689749,uptake
14,leu__L_e,EX_leu__L_e,29.955314765527408,26.959783288974712,29.955314765527433,uptake,13.61935620820645,-987.7425794126142,13.619356208206286,uptake
15,lys__L_e,EX_lys__L_e,22.81640058121004,20.53476052308895,1000.0,uptake,0.0,0.0,1000.0,secretion
16,mg2_e,EX_mg2_e,0.5767912875938617,0.5191121588344764,0.5767912875938626,uptake,0.26224147751473453,0.23601732976326115,0.2622414775147325,uptake
17,mn2_e,EX_mn2_e,0.045943836279810815,0.04134945265182981,0.045943836279810885,uptake,0.020888629505784642,0.018799766555206182,0.02088862950578448,uptake
18,no2_e,EX_no2_e,1000.0,-1000.0,1000.0,uptake,228.7645197027769,-1000.0,524.2189108622182,uptake
19,no3_e,EX_no3_e,32.88525742645618,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
20,o2_e,EX_o2_e,514.1794700785391,0.0,1000.0,uptake,270.4019443034426,0.1305645147586781,1000.0,uptake
21,orn_e,EX_orn_e,1000.0,17.700198695788686,1000.0,uptake,0.8609639259999246,-100.00136033042997,1000.0,uptake
22,pro__L_e,EX_pro__L_e,14.69770583043934,0.0,14.697705830439375,uptake,5.821432594117604,-678.168927525766,6.682396520117536,uptake
23,ptrc_e,EX_ptrc_e,0.006648890922861028,-399.9940159981694,1000.0,uptake,-0.8609639259999246,-1000.0,100.00136033043425,secretion
24,ribflv_e,EX_ribflv_e,0.029654053517793915,0.0,0.029654053517793932,uptake,0.013482386048596145,0.012134147443736528,0.013482386048596149,uptake
25,thr__L_e,EX_thr__L_e,16.867371916521517,15.180634724869378,1000.0,uptake,7.668847689484787,-93.09803707946257,1000.0,uptake
26,zn2_e,EX_zn2_e,0.022672718048358124,0.020405446243522345,0.022672718048358156,uptake,0.010308281709801087,0.00927745353882098,0.010308281709801007,uptake
27,15dap_e,EX_15dap_e,0.0,-979.4652394769106,0.0,secretion,0.0,-1000.0,0.0,secretion
28,2ddglcn_e,EX_2ddglcn_e,0.0,0.0,402.24707646354904,secretion,37.51452757326316,-1000.0,172.54856440097512,uptake
29,4hphac_e,EX_4hphac_e,0.0,0.0,199.99999999999721,secretion,4.175277306381288,0.0,203.76047023660504,uptake
30,5mtr_e,EX_5mtr_e,0.0,-100.00000000001621,0.0,secretion,0.0,-33.333333333331886,0.0,secretion
