,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,462.94887983738226,0.0,469.9754949201708,uptake,4.64603369830068,0.0,4.646033698300673,uptake
1,ade_e,EX_ade_e,10.635000844262613,9.498445905632403,574.5316332866535,uptake,-0.025867548374902682,-1000.0,14.866267361174442,secretion
2,arg__L_e,EX_arg__L_e,608.5164727513245,9.41291592487449,797.3236110779835,uptake,9.949822976475012,0.0,55.653863945607995,uptake
3,bz_e,EX_bz_e,0.0035633037851966714,0.003206973406677005,0.0035633037851966745,uptake,0.003363790425865141,0.003027411383278168,0.003363790425865136,uptake
4,ca2_e,EX_ca2_e,0.18546996201948665,0.16692296581753802,0.1854699620194868,uptake,0.17508529166628048,0.15757676249962857,0.17508529166628023,uptake
5,cgly_e,EX_cgly_e,21.838099210994162,0.0,21.91232200076433,uptake,26.346821234780197,0.0,112.73168286105157,uptake
6,cl_e,EX_cl_e,0.18546996201948665,0.16692296581753802,0.18546996201948673,uptake,0.17508529166628048,0.15757676249962857,0.1750852916662804,uptake
7,cobalt2_e,EX_cobalt2_e,0.0035633037851966714,0.003206973406677005,0.0035633037851966745,uptake,0.003363790425865141,0.003027411383278168,0.003363790425865141,uptake
8,cu2_e,EX_cu2_e,0.02526382383704439,0.022737441453339953,0.025263823837044324,uptake,0.02384927411938384,0.021464346707442204,0.02384927411938384,uptake
9,fe2_e,EX_fe2_e,0.5174986087241127,-999.5342512521496,0.5174986087240606,uptake,0.22587852709684425,-999.5603290448163,0.22587852709651324,uptake
10,galur_e,EX_galur_e,606.0318077898924,0.0,1000.0,uptake,0.0,0.0,222.02764944583475,secretion
11,gln__L_e,EX_gln__L_e,22.3176842674437,19.229718080584778,152.35975636977923,uptake,21.998314799647297,0.0,108.80468434226472,uptake
12,gua_e,EX_gua_e,5.251418953433613,0.0,780.1584951006645,uptake,4.994892403367162,0.0,8.149052082724275,uptake
13,h2o_e,EX_h2o_e,1000.0,-1000.0,1000.0,uptake,-296.35088053631495,-1000.0,1000.0,secretion
14,id3acald_e,EX_id3acald_e,2.0254887706193436,1.8229398935574097,2.0254887706193383,uptake,1.912079391774522,0.0,1.9120793917745196,uptake
15,k_e,EX_k_e,6.955319557438949,6.259787601695054,6.955319557438944,uptake,6.565883445958954,5.909295101362162,6.565883445958944,uptake
