,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,462.94887983738226,0.0,469.9754949201708,uptake,5.1127329782335185,0.0,44.67041113871375,uptake
1,acgam_e,EX_acgam_e,6.175276725821622,0.0,148.37660883726988,uptake,7.41534631640296,0.0,30.48333549433479,uptake
2,ade_e,EX_ade_e,10.635000844262613,9.498445905632403,574.5316332866535,uptake,7.553308834622012,-16.774509361996923,39.54354416962789,uptake
3,arg__L_e,EX_arg__L_e,608.5164727513245,9.41291592487449,797.3236110779835,uptake,999.9999999963591,499.9999999990619,1000.0,uptake
4,ca2_e,EX_ca2_e,0.18546996201948665,0.16692296581753802,0.1854699620194868,uptake,0.19298438788438693,0.17368594909603857,0.1929843878845275,uptake
5,cgly_e,EX_cgly_e,21.838099210994162,0.0,21.91232200076433,uptake,0.0,0.0,253.05593837092312,secretion
6,cl_e,EX_cl_e,0.18546996201948665,0.16692296581753802,0.18546996201948673,uptake,0.19298438788438693,0.17368594909603857,0.19298438788452696,uptake
7,coa_e,EX_coa_e,0.020524629802824188,-27.795426931608322,0.020524629802739103,uptake,0.021356197391202425,-27.112562368136626,0.021356197391199157,uptake
8,cobalt2_e,EX_cobalt2_e,0.0035633037851966714,0.003206973406677005,0.0035633037851966745,uptake,0.00370767315820148,0.003336905842383068,0.003707673158204169,uptake
9,cu2_e,EX_cu2_e,0.02526382383704439,0.022737441453339953,0.025263823837044324,uptake,0.026287402691648483,0.023658662422495938,0.02628740269166751,uptake
10,fe2_e,EX_fe2_e,0.5174986087241127,-999.5342512521496,0.5174986087240606,uptake,0.24897025257322944,-999.5153811645108,15.00103557756294,uptake
11,gln__L_e,EX_gln__L_e,22.3176842674437,19.229718080584778,152.35975636977923,uptake,0.0,0.0,1000.0,secretion
12,gua_e,EX_gua_e,5.251418953433613,0.0,780.1584951006645,uptake,9.001563046944737,0.0,35.99204680685532,uptake
13,h2o_e,EX_h2o_e,1000.0,-1000.0,1000.0,uptake,495.63768311816756,-1000.0,1000.0,uptake
14,id3acald_e,EX_id3acald_e,2.0254887706193436,1.8229398935574097,2.0254887706193383,uptake,2.1075526533164672,1.896797387985807,2.107552653317998,uptake
15,ile__L_e,EX_ile__L_e,10.352430854094045,-123.52824548658373,10.352430854094019,uptake,10.771865749791187,0.0,10.77186574979901,uptake
16,k_e,EX_k_e,6.955319557438949,6.259787601695054,6.955319557438944,uptake,7.237118467688225,6.51340662092279,7.237118467693496,uptake
17,leu__L_e,EX_leu__L_e,16.053788176484424,14.448409358835983,16.05378817648442,uptake,16.70421695637672,15.033795260746865,16.70421695638886,uptake
18,lys__L_e,EX_lys__L_e,12.227868902318743,-501.18453424071186,12.227868902318734,uptake,12.723288286415775,0.0,12.723288286425039,uptake
19,malthp_e,EX_malthp_e,77.76993035019863,0.0,98.97684394237251,uptake,3.088662999970799,0.0,8.64120290218592,uptake
20,mg2_e,EX_mg2_e,0.30911660336581115,0.2782049430292301,0.3091166033658114,uptake,0.32164064647397833,0.289476581826731,0.32164064647421153,uptake
21,mn2_e,EX_mn2_e,0.02462242915570902,0.022160186240138123,0.02462242915570904,uptake,0.02562002152317225,0.023058019370867017,0.025620021523190824,uptake
22,o2_e,EX_o2_e,1000.0,200.91866037516758,1000.0,uptake,533.0331154263106,276.87911025048,1000.0,uptake
23,pi_e,EX_pi_e,23.292247852702218,-283.4218593261793,112.98154002962781,uptake,36.49703688373654,-1000.0,114.24268203274016,uptake
24,ptrc_e,EX_ptrc_e,126.57563849977277,0.0,999.9999999999985,uptake,0.0037076731582041944,0.0,41.022974112069505,uptake
25,ribflv_e,EX_ribflv_e,0.015892334881977638,0.014303101393779431,0.015892334881977638,uptake,0.016536222285578592,0.0,0.01653622228559264,uptake
26,so4_e,EX_so4_e,0.15457611820183167,0.0,66.50861981258309,uptake,0.16083886160278027,0.14475497544257754,0.16083886160289745,uptake
27,thr__L_e,EX_thr__L_e,9.03963847355189,0.0,30.482353629443498,uptake,9.405884804847233,0.0,1000.0,uptake
28,zn2_e,EX_zn2_e,0.01215086590752064,0.010935779316768578,0.01215086590752065,uptake,0.012643165469467038,0.011378848922526252,0.012643165469476204,uptake
29,12ppd__S_e,EX_12ppd__S_e,0.0,0.0,1000.0000000000002,secretion,583.8989522845244,0.0,1000.0,uptake
30,2pglyc_e,EX_2pglyc_e,0.0,0.0,304.38488239360953,secretion,0.0,0.0,1000.0,secretion
31,acald_e,EX_acald_e,-317.24526246563704,-1000.0,651.6561263948594,secretion,0.0,-1000.0,500.00000000094127,secretion
32,actn__R_e,EX_actn__R_e,0.0,0.0,238.34033613445362,secretion,0.0,0.0,250.00000000046973,secretion
33,ala_B_e,EX_ala_B_e,0.0,0.0,73.33548804137,secretion,0.0,0.0,100.00000000018755,secretion
34,ala__D_e,EX_ala__D_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,1000.0,secretion
35,ala__L_e,EX_ala__L_e,0.0,0.0,173.3384262796034,secretion,-415.94892187669626,-1000.0,1000.0,secretion
36,co2_e,EX_co2_e,-1000.0,-1000.0,-585.2164509317821,secretion,-1000.0,-1000.0,-499.9999999991165,secretion
37,diact_e,EX_diact_e,0.0,-238.34033613445146,0.0,secretion,0.0,-250.000000000467,0.0,secretion
