,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,11.502302947225141,0.0,158.14949657904577,uptake,0.0,0.0,174.99999999999696,secretion
1,ade_e,EX_ade_e,4.770924803675865,-36.759175502267624,504.29383232343275,uptake,3.629964846681026,-28.319844842394094,21.25194695882598,uptake
2,ala__L_e,EX_ala__L_e,16.326054818708037,0.0,514.6934493372981,uptake,0.0,0.0,1000.0,secretion
3,arg__L_e,EX_arg__L_e,685.9464546406497,512.1757729005337,775.5076294762091,uptake,5.270514880297994,0.0,5.270514880297997,uptake
4,bz_e,EX_bz_e,0.00233643236858264,0.0021027891317941857,0.0023364323686602,uptake,0.0017818314492271587,-911.8204816851116,0.0017818314492593827,uptake
5,ca2_e,EX_ca2_e,0.12161130478472633,0.1094501743098873,0.12161130478876332,uptake,0.09274432693227355,0.08346989423904554,0.09274432693227348,uptake
6,cellb_e,EX_cellb_e,78.62904444303109,0.0,807.9734704514141,uptake,0.0,0.0,674.9999999999956,secretion
7,cit_e,EX_cit_e,0.13191497153017576,0.009273300071185986,1000.0,uptake,14.722658533115776,0.0,1000.0,uptake
8,cl_e,EX_cl_e,0.12161130478472633,0.1094501743098873,0.121611304788763,uptake,0.09274432693227355,0.08346989423904635,0.09274432693227368,uptake
9,cobalt2_e,EX_cobalt2_e,0.00233643236858264,0.0021027891317941857,0.0023364323686601925,uptake,0.0017818314492271587,0.001603648304304468,0.0017818314492271563,uptake
10,cu2_e,EX_cu2_e,0.016565305493250908,0.014908774944420769,0.01656530549380082,uptake,0.012633184975020549,0.011369866477518515,0.012633184975020542,uptake
11,fe2_e,EX_fe2_e,0.15689143355032428,-1000.0,0.15689143355553606,uptake,0.0,-999.8747871404,0.11964998181560363,secretion
12,fe3_e,EX_fe3_e,0.18242863933893255,0.0,1000.0,uptake,0.2587753813712603,0.125212859600083,1000.0,uptake
13,fru_e,EX_fru_e,375.86400969851104,0.0,615.9469409028292,uptake,0.0,0.0,699.9999999999844,secretion
14,gua_e,EX_gua_e,5.6724372330923165,0.0,505.1051935099319,uptake,4.31404557666736,0.0,16.163342773386375,uptake
15,h2o_e,EX_h2o_e,436.3486089816304,-1000.0,1000.0,uptake,-867.2763954450566,-1000.0,1000.0,secretion
16,h_e,EX_h_e,701.7348262783784,-1000.0,1000.0,uptake,-885.8388965087955,-1000.0,116.13334135010365,secretion
17,his__L_e,EX_his__L_e,2.213489297347822,0.0,2.213489297421305,uptake,1.688071478368826,-13.588649338532468,1.6880714783688269,uptake
18,hxan_e,EX_hxan_e,0.00233643236858264,0.0,1000.0,uptake,0.0,0.0,33.47266741363464,secretion
19,icit_e,EX_icit_e,12.358885782194951,-1000.0,247.32542395213375,uptake,-3.5835926832156737,-1000.0,67.47703528041785,secretion
20,ile__L_e,EX_ile__L_e,6.7880135961194625,-65.31935919185662,6.7880135963448,uptake,0.0,0.0,5.176737091125177,secretion
21,k_e,EX_k_e,4.560552433207518,4.1044971900230305,4.560552433358901,uptake,3.4780102606899725,3.130209234620981,3.47801026068997,uptake
22,leu__L_e,EX_leu__L_e,10.526352114499057,-459.19966308274337,10.52635211484846,uptake,0.0,0.0,7.972842805535239,secretion
23,lys__L_e,EX_lys__L_e,8.017724680351868,-76.11738112077595,8.017724680618008,uptake,6.114550619482406,0.0,6.114550619482402,uptake
24,met__L_e,EX_met__L_e,3.5959796941618487,0.0,3.595979694281225,uptake,0.0,0.0,2.742398965191018,secretion
25,mg2_e,EX_mg2_e,0.20268550797454393,0.18241695718314554,0.20268550798127163,uptake,0.15457387822045596,0.13911649039841256,0.1545738782204558,uptake
