,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4abz_e,EX_4abz_e,0.02125902964573708,-33.3142002066518,0.021259029645732643,uptake,0.022447521010100523,0.020202768909090455,0.022447521010104055,uptake
1,5mtr_e,EX_5mtr_e,4.890816134149105,0.0,4.890816134148085,uptake,0.0,-26.219512195122515,0.0,secretion
2,acald_e,EX_acald_e,1000.0,-294.2481931651974,1000.0,uptake,267.9985172302625,-323.1890335636786,688.7036229533646,uptake
3,ade_e,EX_ade_e,6.47370818902886,-0.010197952358513217,15.603021960753168,uptake,0.0,-26.222347259576544,14.80795767448468,secretion
4,arg__L_e,EX_arg__L_e,731.2764393293561,20.513400163800156,1000.0,uptake,9.924958347712511,0.0,145.44039902087624,uptake
5,bz_e,EX_bz_e,0.003177732383518258,0.0028599591451658308,0.003177732383517594,uptake,0.0033553843064425396,0.0030198458757982813,0.003355384306442541,uptake
6,ca2_e,EX_ca2_e,0.16540097056212522,0.1488608735058814,0.16540097056209066,uptake,0.1746477531503341,0.15718297783530044,0.17464775315033415,uptake
7,cl_e,EX_cl_e,0.16540097056212522,0.1488608735058814,0.1654009705620907,uptake,0.1746477531503341,0.15718297783530055,0.17464775315033415,uptake
8,cobalt2_e,EX_cobalt2_e,0.003177732383518258,0.0028599591451658308,0.0031777323835175896,uptake,0.0033553843064425396,0.0030198458757982813,0.003355384306442541,uptake
9,cu2_e,EX_cu2_e,0.022530122599144435,0.02027711033922573,0.022530122599141684,uptake,0.023789674732677596,0.021410707259409804,0.023789674732677648,uptake
10,fe2_e,EX_fe2_e,0.4615020740583567,-1000.0,0.46150207405833044,uptake,0.4873024628246501,-633.8921353983318,0.4873024628247555,uptake
11,gln__L_e,EX_gln__L_e,14.732157993933647,0.0,217.93162924468453,uptake,0.0,0.0,187.01015558184758,secretion
12,glu__L_e,EX_glu__L_e,5.19187450016363,0.0,204.67268705014422,uptake,68.60459017565377,-377.22184375670753,711.3637310469708,uptake
13,gly_e,EX_gly_e,18.619160245453173,-185.88741719981348,216.75724422089894,uptake,13.388050490391848,-993.439356831414,217.28283502982538,uptake
14,gua_e,EX_gua_e,7.714962235353314,0.0,7.71496223535169,uptake,8.146269126867345,0.0,8.146269126867349,uptake
15,h2o_e,EX_h2o_e,1000.0,-789.8353532642232,1000.0,uptake,242.7143473324623,-1000.0,1000.0,uptake
16,h2s_e,EX_h2s_e,2.917253660041297,-50.00000000000094,9.371742991561124,uptake,0.0,-614.2857142857333,209.8746699211565,secretion
17,ile__L_e,EX_ile__L_e,9.232234116511766,8.309010704858842,9.23223411650982,uptake,9.748364471664454,-103.16839306578133,9.748364471664448,uptake
18,k_e,EX_k_e,6.202711171360801,5.582440054223547,6.202711171359504,uptake,6.549475289274395,5.894527760346947,6.5494752892743975,uptake
19,leu__L_e,EX_leu__L_e,14.316669484788648,12.885002536307073,14.316669484785615,uptake,15.117046469658645,-308.88055082726396,15.117046469658678,uptake
20,lys__L_e,EX_lys__L_e,10.904738224605083,0.0,10.904738224602761,uptake,0.0,0.0,307.1428571428622,secretion
21,mg2_e,EX_mg2_e,0.2756682842702088,0.24810145584313573,0.27566828427015083,uptake,0.2910795885838902,0.2619716297255008,0.2910795885838903,uptake
22,mn2_e,EX_mn2_e,0.02195813077011118,0.019762317693095905,0.02195813077010656,uptake,0.023185705557517967,0.02086713500176614,0.023185705557517977,uptake
23,o2_e,EX_o2_e,992.967892732001,0.1116528050277052,1000.0,uptake,0.13099420332351677,0.11789478299116493,0.13099420332351708,uptake
24,pi_e,EX_pi_e,28.10275299350505,25.206335724695762,32.82334038093916,uptake,29.73182546249104,-1000.0,41.48938343706212,uptake
25,ribflv_e,EX_ribflv_e,0.01417268643049142,0.012755417787439596,0.014172686430488452,uptake,0.014965014006733716,0.013468512606060325,0.014965014006733742,uptake
26,sbt__D_e,EX_sbt__D_e,13.640252072568755,0.0,617.4035722470676,uptake,0.0,0.0,564.456315629326,secretion
27,so4_e,EX_so4_e,0.13785003079702207,0.12406502771729379,28.695493599145234,uptake,0.14555657121347743,0.1310009140921295,0.14555657121347776,uptake
28,udcpp_e,EX_udcpp_e,3.177732383518258,2.7237652907101744,4.802354147200889,uptake,3.3553843064425397,-999.2445516969453,28.638525042441582,uptake
29,ura_e,EX_ura_e,10.511779838059235,0.0,10.511779838057054,uptake,11.09608813219017,6.619649718244631,185.49668340060683,uptake
30,val__L_e,EX_val__L_e,13.446955908743524,12.102260317866628,13.446955908740673,uptake,14.218038352433483,-309.6896581327631,335.28212716714677,uptake
31,zn2_e,EX_zn2_e,0.01083606742779725,0.009752460685015474,0.010836067427794971,uptake,0.011441860484969051,0.01029767443647213,0.011441860484969054,uptake
32,2ddglcn_e,EX_2ddglcn_e,0.0,-1000.0000000000011,830.7154734371611,secretion,0.0,-1000.0,0.0,secretion
