,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,491.1346102754871,99.98575725012307,499.9240998610916,uptake,0.0,0.0,0.0,secretion
1,abt__L_e,EX_abt__L_e,507.1022576678056,0.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
2,arg__L_e,EX_arg__L_e,493.68219888178834,118.89740543470828,851.6946507126994,uptake,513.3244126805622,361.9919714125142,535.4732084943748,uptake
3,ca2_e,EX_ca2_e,0.23148625092412567,0.20833762585079596,0.23148625092412542,uptake,0.1235105245718586,0.11115947211467296,0.1235105245718586,uptake
4,cgly_e,EX_cgly_e,4.098529671501199,0.0,134.61822774530157,uptake,2.1731208146572176,1.9558087331914997,151.9558087331877,uptake
5,cl_e,EX_cl_e,0.23148625092412567,0.20833762585079596,0.23148625092412525,uptake,0.1235105245718586,0.11115947211467296,0.12351052457185847,uptake
6,cobalt2_e,EX_cobalt2_e,0.004447382342442379,0.004002644108564766,0.004447382342442374,uptake,0.002372920741053961,0.002135628666948569,0.002372920741053961,uptake
7,cu2_e,EX_cu2_e,0.03153194080791645,0.02837874672972418,0.03153194080791643,uptake,0.0,-75.00000000000126,0.0,secretion
8,fe2_e,EX_fe2_e,0.6458933375929068,0.0,0.645893337592907,uptake,0.34461927922326685,-999.6898426487003,0.3446192792232523,uptake
9,glyc_e,EX_glyc_e,330.8248216927194,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
10,gua_e,EX_gua_e,10.79744379862848,0.0,42.537073435312394,uptake,5.74514959378799,0.0,27.491020808592932,uptake
11,h2o_e,EX_h2o_e,1000.0,-750.755093164203,1000.0,uptake,425.9627458193266,-1000.0,1000.0,uptake
12,ile__L_e,EX_ile__L_e,12.920935445674429,-136.4881414629674,12.920935445674427,uptake,6.894022899776668,6.204620609799013,6.894022899776661,uptake
13,k_e,EX_k_e,8.680979015683564,7.812881114830835,8.68097901568355,uptake,4.631775182085464,4.168597663876926,4.631775182085462,uptake
14,leu__L_e,EX_leu__L_e,20.03683614122908,-481.1971514398176,20.036836141229095,uptake,10.690743543877826,9.621669189490062,10.690743543877792,uptake
15,lys__L_e,EX_lys__L_e,15.261681720148683,-153.49398457427034,15.261681720148673,uptake,8.14293854420818,0.0,8.142938544208185,uptake
16,mal__L_e,EX_mal__L_e,229.75015559648614,0.0,646.0444203230073,uptake,0.0,-1000.0,1000.0,secretion
17,met__L_e,EX_met__L_e,6.8449216894296265,0.0,6.844921689429628,uptake,3.6521385833487345,0.0,3.652138583348738,uptake
18,mg2_e,EX_mg2_e,0.3858104182068762,0.3472293764179934,0.38581041820687584,uptake,0.20585087428643106,0.18526578685778833,0.20585087428643106,uptake
19,mn2_e,EX_mn2_e,0.030731411986276862,0.027658270790182557,0.030731411986276828,uptake,0.016396882320682885,0.014757194088614624,0.016396882320682885,uptake
20,o2_e,EX_o2_e,1000.0,330.0000005523263,1000.0,uptake,175.11929015320504,0.045472873391001506,1000.0,uptake
21,ribflv_e,EX_ribflv_e,0.019835325247292996,0.0178517927241858,0.019835325247292996,uptake,0.010583226505100659,0.0,0.010583226505100692,uptake
22,sula_e,EX_sula_e,17.55715364237688,0.0,178.54648634957277,uptake,0.0,0.0,100.00000000000021,secretion
