,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ala__D_e,EX_ala__D_e,3.357855782093198,-1000.0,1000.0,uptake,0.0,-992.2137794773726,866.1360111275612,secretion
1,ala__L_e,EX_ala__L_e,26.390082548323186,-1000.0,1000.0,uptake,-707.3110078219719,-1000.0,858.349790604944,secretion
2,bz_e,EX_bz_e,0.0011192852606973583,-999.9967462377466,0.0011192852606973613,uptake,0.004325678068126219,-1000.0,0.004325678067764232,uptake
3,ca2_e,EX_ca2_e,0.058258797819297464,0.052432918037367694,0.05825879781929762,uptake,0.22515154344597732,0.20263638910137965,0.22515154344597713,uptake
4,cl_e,EX_cl_e,0.058258797819297464,0.052432918037367694,0.058258797819296805,uptake,0.22515154344597732,0.20263638910137965,0.225151543445978,uptake
5,cobalt2_e,EX_cobalt2_e,0.0011192852606973583,0.001007356734627622,0.001119285260697361,uptake,0.004325678068126368,0.0038931102613137328,0.004325678068126375,uptake
6,cu2_e,EX_cu2_e,0.007935732498344266,0.007142159248509836,0.00793573249834427,uptake,0.030669057503015934,0.0276021517527143,0.030669057503015934,uptake
7,fe2_e,EX_fe2_e,0.07516000525582761,-66.59902266193751,6.734310671396804,uptake,-48.41036600459733,-999.4346035967492,10.942754893815922,secretion
8,fe3_e,EX_fe3_e,0.08739379315524975,0.07865441383972474,0.08739379315524974,uptake,49.038584230430274,0.0,1000.0,uptake
9,fum_e,EX_fum_e,419.64434671667067,-691.312908095433,1000.0,uptake,757.8787900332879,464.5512424385633,1000.0,uptake
10,gln__L_e,EX_gln__L_e,5.1840816134458825,0.0,37.999006785434695,uptake,36.94717362397182,0.0,223.9491404809522,uptake
11,glu__L_e,EX_glu__L_e,1.8273451166135315,-31.689730085115116,1000.0,uptake,-757.8831157113561,-988.4883844061162,107.60165350669806,secretion
12,h2s_e,EX_h2s_e,0.002496006131354811,-399.9974178089057,36.58036644319281,uptake,3.9960181425649552,-1000.0,36.9297496616324,uptake
13,h_e,EX_h_e,8.776964914580082,-1000.0,877.7580403947643,uptake,-130.4134170075763,-1000.0,1000.0,secretion
14,id3acald_e,EX_id3acald_e,19.306887247346832,-382.62380147739145,1000.0,uptake,2.458845184265071,0.0,2.458845184265078,uptake
15,ile__L_e,EX_ile__L_e,3.2518482750514304,2.9266634475462863,3.2518482750514344,uptake,12.567349234546866,0.0,12.567349234546901,uptake
16,k_e,EX_k_e,2.1847664789129975,1.9662898310216967,2.1847664789130032,uptake,8.443420791517912,7.599078712366124,8.443420791518033,uptake
17,leu__L_e,EX_leu__L_e,5.042727077872417,4.538454370085174,5.042727077872425,uptake,19.488520657110417,0.0,19.488520657110424,uptake
18,met__L_e,EX_met__L_e,1.7201847457553388,0.0,11.20641186846869,uptake,6.6576078578726,5.991847072085341,6.657607857872618,uptake
19,mg2_e,EX_mg2_e,0.09709799636549579,0.08738819672894618,0.09709799636549606,uptake,0.37525257240996235,0.3377273151689662,0.37525257240996285,uptake
20,mn2_e,EX_mn2_e,0.007734261151418752,0.006960835036276873,0.007734261151418772,uptake,0.029890435450753226,0.026901391905677915,0.02989043545075327,uptake
21,nh4_e,EX_nh4_e,2.382868777205431,-1000.0,1000.0,uptake,188.81044254238168,-1000.0,1000.0,uptake
22,o2_e,EX_o2_e,272.0739975603523,0.0022464055182195956,1000.0,uptake,209.58548638056962,0.19105438607431358,1000.0,uptake
23,pro__L_e,EX_pro__L_e,2.474236033034548,-64.439854236936,2.4742360330345545,uptake,9.562127653496754,-211.39408511185061,9.562127653496889,uptake
24,ptrc_e,EX_ptrc_e,1.8273451166135315,-1000.0,1000.0,uptake,0.0,0.0,137.4999999999988,secretion
25,so4_e,EX_so4_e,0.04855459460905142,0.04369913514814626,22.265921357370942,uptake,0.1876479145953219,0.1688831231357812,91.83554978980118,uptake
26,thr__L_e,EX_thr__L_e,2.8394811993053097,0.0,1000.0,uptake,10.97368292068775,0.0,229.87631462861745,uptake
27,val__L_e,EX_val__L_e,4.736389894872152,4.262750905384905,4.736389894872104,uptake,0.0,0.0,110.6979086927968,secretion
28,zn2_e,EX_zn2_e,0.003816762738977988,0.0034350864650801883,0.003816762738977998,uptake,0.014750562212310903,0.013275505991079817,0.014750562212310924,uptake
29,4abut_e,EX_4abut_e,-1.8273451166135315,-1000.0,0.0,secretion,757.8831157113561,0.0,988.4883844061164,uptake
30,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-7.407407407407533,0.0,secretion,0.0,-18.965517241379022,0.0,secretion
31,ac_e,EX_ac_e,-1.122900552088501,-1000.0,998.9926432653724,secretion,0.0,0.0,0.0,secretion
32,acald_e,EX_acald_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
33,ade_e,EX_ade_e,0.0,-80.00000000000068,32.68280562233022,secretion,-24.977157273852637,-1000.0,160.85389178687518,secretion
34,anhgm_e,EX_anhgm_e,0.0,-7.407407407407455,0.0,secretion,0.0,-18.965517241379935,0.0,secretion
35,aso3_e,EX_aso3_e,0.0,-998.9262685301279,0.0,secretion,0.0,-995.8590543394503,0.0,secretion
36,aso4_e,EX_aso4_e,0.0,0.0,998.9262685301273,secretion,0.0,0.0,995.8590543394515,secretion
37,but_e,EX_but_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
38,co2_e,EX_co2_e,-1000.0,-1000.0,382.6238014774028,secretion,-1000.0,-1000.0,-450.0000000000015,secretion
39,enlipa_e,EX_enlipa_e,0.0,-2.531645569620321,0.0,secretion,0.0,-8.461538461538487,0.0,secretion
40,etoh_e,EX_etoh_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
41,for_e,EX_for_e,-0.014976036788130642,-1000.0,66.65318823355442,secretion,0.0,-549.9999999999899,0.0,secretion
42,g3pe_e,EX_g3pe_e,0.0,-14.814814814815023,0.0,secretion,0.0,-20.370370370369653,0.0,secretion
43,glcur_e,EX_glcur_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
44,glyc_e,EX_glyc_e,0.0,-133.33333333333525,0.0,secretion,0.0,-34.37548663878337,0.0,secretion
45,glyclt_e,EX_glyclt_e,0.0,-800.0437495029873,0.0,secretion,-1000.0,-1000.0,64.61004157715989,secretion
46,gm1lipa_e,EX_gm1lipa_e,0.0,-2.4844720496895083,0.0,secretion,0.0,-7.241914930384156,0.0,secretion
47,gm2lipa_e,EX_gm2lipa_e,0.0,-2.484472049689553,0.0,secretion,0.0,-7.241914930384167,0.0,secretion
48,gua_e,EX_gua_e,0.0,0.0,33.024708697180486,secretion,6.423199363360864,0.0,78.21913422638835,uptake
49,h2_e,EX_h2_e,-999.9999999999994,-1000.0,1000.0000000000001,secretion,0.0,0.0,0.0,secretion
50,h2o_e,EX_h2o_e,0.0,-1000.0,1000.0,secretion,-951.1687356883373,-1000.0,1000.0,secretion
51,hxan_e,EX_hxan_e,0.0,-23.622441751712522,57.14285714285615,secretion,0.0,0.0,1000.0,secretion
52,kdo2lipid4_e,EX_kdo2lipid4_e,0.0,-3.4482758620690626,0.0,secretion,0.0,-11.458333333333115,0.0,secretion
53,lac__L_e,EX_lac__L_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,1000.0,secretion
54,man1p_e,EX_man1p_e,-325.3805597168983,-797.9785473141935,7.569313761481095,secretion,0.0,0.0,36.66666666666761,secretion
55,meoh_e,EX_meoh_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
56,no2_e,EX_no2_e,0.0,-998.9262685301278,0.0,secretion,66.47145943298737,-999.9999999999992,333.3661796487975,uptake
57,no3_e,EX_no3_e,0.0,0.0,998.9262685301278,secretion,622.6500268895027,0.0,1000.0,uptake
58,oxa_e,EX_oxa_e,0.0,-66.66666666667115,1000.0,secretion,0.0,0.0,549.999999999997,secretion
59,pi_e,EX_pi_e,-672.3247711844415,-1000.0,-199.95625049701107,secretion,-961.6704694357885,-965.5034224922066,-828.0034224922132,secretion
60,pnto__R_e,EX_pnto__R_e,0.0,0.0,11.111111111111182,secretion,0.024915905672406324,-99.97757568489283,0.024915905672407514,uptake
61,ppa_e,EX_ppa_e,0.0,0.0,66.66666666666742,secretion,0.0,0.0,83.20603914769224,secretion
62,pyr_e,EX_pyr_e,-1000.0,-1000.0,1000.0,secretion,0.0,0.0,0.0,secretion
63,so3_e,EX_so3_e,0.0,0.0,333.33299754775516,secretion,0.0,-1000.0,0.0,secretion
64,spmd_e,EX_spmd_e,0.0,-34.107416468923795,0.0,secretion,0.0,-137.4999999999973,0.0,secretion
