,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ala__D_e,EX_ala__D_e,3.357855782093198,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
1,ala__L_e,EX_ala__L_e,26.390082548323186,-1000.0,1000.0,uptake,-986.9830878105621,-1000.0,1000.0,secretion
2,arg__L_e,EX_arg__L_e,3.310756258321928,0.0,3.3107562583219274,uptake,6.278424854119072,-69.35132730860278,1000.0,uptake
3,asp__L_e,EX_asp__L_e,3.819874352002762,-63.22877974986486,76.03211259633667,uptake,-525.2555483605289,-988.8816677676822,-47.729993524454244,secretion
4,bz_e,EX_bz_e,0.0011192852606973583,-999.9967462377466,0.0011192852606973613,uptake,0.002121863671244601,0.0019096773041201174,0.0021218636712445876,uptake
5,ca2_e,EX_ca2_e,0.058258797819297464,0.052432918037367694,0.05825879781929762,uptake,0.11044300408828142,0.09939870367945206,0.1104430040882807,uptake
6,cl_e,EX_cl_e,0.058258797819297464,0.052432918037367694,0.058258797819296805,uptake,0.11044300408828142,0.09939870367945296,0.1104430040882814,uptake
7,coa_e,EX_coa_e,0.006447083101700299,-11.105308736319804,0.006447083101644121,uptake,0.012221934746574141,-13.421836079624534,0.012221934746468006,uptake
8,cobalt2_e,EX_cobalt2_e,0.0011192852606973583,0.001007356734627622,0.001119285260697361,uptake,0.002121863671244601,0.0019096773041201577,0.0021218636712445884,uptake
9,cu2_e,EX_cu2_e,0.007935732498344266,0.007142159248509836,0.00793573249834427,uptake,0.015044013429124216,0.013539612086211746,0.0150440134291242,uptake
10,fe2_e,EX_fe2_e,0.07516000525582761,-66.59902266193751,6.734310671396804,uptake,0.14248314552407498,0.0,6.465468779003917,uptake
11,fe3_e,EX_fe3_e,0.08739379315524975,0.07865441383972474,0.08739379315524974,uptake,0.1656751154507785,0.1491076039057002,0.16567511545077834,uptake
12,fum_e,EX_fum_e,419.64434671667067,-691.312908095433,1000.0,uptake,843.5648900131633,634.2084010118585,1000.0000000000001,uptake
13,galt_e,EX_galt_e,0.45757500742741986,0.0,405.54786107566673,uptake,0.0,0.0,662.9919420977616,secretion
14,gln__L_e,EX_gln__L_e,5.1840816134458825,0.0,37.999006785434695,uptake,9.837087291710242,0.0,1000.0,uptake
15,glu__L_e,EX_glu__L_e,1.8273451166135315,-31.689730085115116,1000.0,uptake,675.3508055399719,-275.8441059546424,1000.0,uptake
16,gly_e,EX_gly_e,6.555687350462366,-1000.0,72.56678528208307,uptake,0.0,-1000.0,29.964773167201482,secretion
17,h2s_e,EX_h2s_e,0.002496006131354811,-399.9974178089057,36.58036644319281,uptake,1.9526662620995567,-48.24543941770187,17.862314656161068,uptake
18,h_e,EX_h_e,8.776964914580082,-1000.0,877.7580403947643,uptake,-1000.0,-1000.0,-424.6441833253267,secretion
19,his__L_e,EX_his__L_e,1.0603884702794635,0.9543496232515167,1.0603884702794633,uptake,2.010211204863711,-27.22306798014019,2.010211204863709,uptake
20,id3acald_e,EX_id3acald_e,19.306887247346832,-382.62380147739145,1000.0,uptake,1.2061309666455684,-23.914482130016204,1.206130966645562,uptake
21,ile__L_e,EX_ile__L_e,3.2518482750514304,2.9266634475462863,3.2518482750514344,uptake,6.164629305430232,5.548166374887191,6.164629305430199,uptake
22,k_e,EX_k_e,2.1847664789129975,1.9662898310216967,2.1847664789130032,uptake,4.14172935581248,3.7275564202312257,4.141729355812461,uptake
23,leu__L_e,EX_leu__L_e,5.042727077872417,4.538454370085174,5.042727077872425,uptake,9.559653616695018,-141.3963117449764,9.559653616694993,uptake
24,lys__L_e,EX_lys__L_e,3.84095049346166,0.0,3.8409504934616585,uptake,7.281408592879682,0.0,7.281408592879675,uptake
25,met__L_e,EX_met__L_e,1.7201847457553388,0.0,11.20641186846869,uptake,3.2610074017889716,0.0,3.2657288560211466,uptake
26,mg2_e,EX_mg2_e,0.09709799636549579,0.08738819672894618,0.09709799636549606,uptake,0.1840716734804691,0.16566450613242362,0.184071673480468,uptake
27,mn2_e,EX_mn2_e,0.007734261151418752,0.006960835036276873,0.007734261151418772,uptake,0.014662077968300206,0.0131958701714703,0.014662077968300118,uptake
28,nh4_e,EX_nh4_e,2.382868777205431,-1000.0,1000.0,uptake,986.1075125547611,-1000.0,1000.0,uptake
29,o2_e,EX_o2_e,272.0739975603523,0.0022464055182195956,1000.0,uptake,671.6877026148393,0.004258580391820033,1000.0,uptake
30,pro__L_e,EX_pro__L_e,2.474236033034548,-64.439854236936,2.4742360330345545,uptake,-165.1095739476683,-995.7785628353772,4.690485738469647,secretion
31,ptrc_e,EX_ptrc_e,1.8273451166135315,-1000.0,1000.0,uptake,0.0,-575.3558166746898,75.00000000000011,secretion
32,so4_e,EX_so4_e,0.04855459460905142,0.04369913514814626,22.265921357370942,uptake,0.09204644605859083,0.08284180145273148,50.0828418014512,uptake
33,thr__L_e,EX_thr__L_e,2.8394811993053097,0.0,1000.0,uptake,17.86961440557466,0.0,1000.0,uptake
34,val__L_e,EX_val__L_e,4.736389894872152,4.262750905384905,4.736389894872104,uptake,-170.94704488174764,-991.9189713263391,158.08102867367086,secretion
35,zn2_e,EX_zn2_e,0.003816762738977988,0.0034350864650801883,0.003816762738977998,uptake,0.007235555118944084,0.006511999607049732,0.007235555118944041,uptake
36,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-7.407407407407533,0.0,secretion,0.0,-8.823529411764829,0.0,secretion
37,acald_e,EX_acald_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,290.7915989881623,secretion
38,ade_e,EX_ade_e,0.0,-80.00000000000068,32.68280562233022,secretion,4.322681889697833,-14.277450419033364,53.89041370072965,uptake
39,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
40,anhgm_e,EX_anhgm_e,0.0,-7.407407407407455,0.0,secretion,0.0,-8.823529411765351,0.0,secretion
41,arab__D_e,EX_arab__D_e,0.0,-1000.0,0.0,secretion,0.0,-75.00000000000547,0.0,secretion
42,co2_e,EX_co2_e,-1000.0,-1000.0,382.6238014774028,secretion,-1000.0,-1000.0,-849.9999999999959,secretion
43,enlipa_e,EX_enlipa_e,0.0,-2.531645569620321,0.0,secretion,0.0,-2.571428571428557,0.0,secretion
44,enter_e,EX_enter_e,0.0,-9.523809523809678,0.0,secretion,0.0,-5.552696716085577,0.0,secretion
45,g3pe_e,EX_g3pe_e,0.0,-14.814814814815023,0.0,secretion,0.0,-17.64705882352799,0.0,secretion
46,glyclt_e,EX_glyclt_e,0.0,-800.0437495029873,0.0,secretion,-0.014195267960626338,-0.014195267960626316,-0.012775741164563703,secretion
47,gm2lipa_e,EX_gm2lipa_e,0.0,-2.484472049689553,0.0,secretion,0.0,-2.387267904509249,0.0,secretion
48,gua_e,EX_gua_e,0.0,0.0,33.024708697180486,secretion,5.16096657029483,0.0,54.644869913265026,uptake
49,h2o_e,EX_h2o_e,0.0,-1000.0,1000.0,secretion,-173.38041817979683,-1000.0,1000.0,secretion
50,hxan_e,EX_hxan_e,0.0,-23.622441751712522,57.14285714285615,secretion,0.0,0.0,74.99999999999802,secretion
51,indole_e,EX_indole_e,0.0,0.0,1000.0,secretion,0.0,-37.499999999995424,0.0,secretion
52,kdo2lipid4_e,EX_kdo2lipid4_e,0.0,-3.4482758620690626,0.0,secretion,0.0,-3.629032258064081,0.0,secretion
53,lac__L_e,EX_lac__L_e,0.0,-1000.0,0.0,secretion,0.0,-149.99999999998303,0.0,secretion
54,mal__L_e,EX_mal__L_e,0.0,0.0,1000.0,secretion,0.0,0.0,150.00000000000753,secretion
55,murein4p3p_e,EX_murein4p3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
56,murein4p4p_e,EX_murein4p4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
57,murein4px4p_e,EX_murein4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-999.9999999999997,0.0,secretion
58,murein4px4px4p_e,EX_murein4px4px4p_e,0.0,-999.9999999999931,0.0,secretion,0.0,-1000.0,0.0,secretion
59,murein5p3p_e,EX_murein5p3p_e,0.0,0.0,1000.0,secretion,0.0,0.0,999.999999999999,secretion
60,murein5p4p_e,EX_murein5p4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
61,murein5p5p5p_e,EX_murein5p5p5p_e,0.0,-1000.000000000001,1000.0000000000014,secretion,0.0,-575.3558166746697,1000.0,secretion
62,murein5p5p_e,EX_murein5p5p_e,0.0,-500.0000000000001,1000.0,secretion,0.0,-287.67790833733477,1000.0,secretion
63,murein5px3p_e,EX_murein5px3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0000000000001,0.0,secretion
64,murein5px4p_e,EX_murein5px4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
65,murein5px4px4p_e,EX_murein5px4px4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
66,no2_e,EX_no2_e,0.0,-998.9262685301278,0.0,secretion,-378.9103563311986,-997.9687526386997,152.10301303439184,secretion
67,no3_e,EX_no3_e,0.0,0.0,998.9262685301278,secretion,378.9103563311947,0.0,997.9687526386989,uptake
68,orn_e,EX_orn_e,0.0,0.0,1000.0,secretion,169.79793782246685,-290.7935086654535,1000.0,uptake
