,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,699.5090151722502,0.0,1000.0,uptake,0.0,0.0,220.39956170053642,secretion
1,4hphac_e,EX_4hphac_e,495.6642607388857,346.0978346650712,499.9063071815121,uptake,0.0,0.0,274.81556123039263,secretion
2,ade_e,EX_ade_e,4.766376915052972,-22.693747308589685,23.487354542923196,uptake,6.342220141511457,-97.14288565910411,25.5465188155868,uptake
3,arg__L_e,EX_arg__L_e,6.920524444985686,6.22847200048747,6.920524444985711,uptake,9.18260170290048,-31.735658467394956,1000.0,uptake
4,asp__L_e,EX_asp__L_e,11.27973048687619,-289.8482425616743,312.3578764004789,uptake,0.0,-100.00000000000625,0.0,secretion
5,bz_e,EX_bz_e,0.0023396590999708207,0.002105693189973858,0.0023396590999708324,uptake,0.0031044117835845745,0.0027939706052250686,0.0031044117835834686,uptake
6,ca2_e,EX_ca2_e,0.12177925615348115,0.10960133053813922,0.12177925615348174,uptake,0.161584633335577,0.14542617000196473,0.16158463333551937,uptake
7,cl_e,EX_cl_e,0.12177925615348115,0.10960133053813922,0.121779256153481,uptake,0.161584633335577,0.14542617000196473,0.16158463333551762,uptake
8,cobalt2_e,EX_cobalt2_e,0.0023396590999708207,0.002105693189973858,0.0023396590999708324,uptake,0.0031044117835845745,0.0027939706052250686,0.003104411783583416,uptake
9,cu2_e,EX_cu2_e,0.016588183018793112,0.014929364716914644,0.016588183018793192,uptake,0.02201027954561462,0.019809251591045726,0.022010279545606512,uptake
10,fe2_e,EX_fe2_e,0.15710810856304064,0.0,0.15710810856304125,uptake,0.2084612512677042,-1000.0,0.4508537233298284,uptake
11,fe3_e,EX_fe3_e,0.18268058252572175,0.16441252427315886,0.18268058252572264,uptake,0.24239247206228362,0.0,1000.0,uptake
12,gln__L_e,EX_gln__L_e,10.836365087424848,0.0,47.119262471848586,uptake,8.190338564513343,0.0,34.18455502466271,uptake
13,glu__L_e,EX_glu__L_e,3.8173877875124242,-33.93088488440435,163.18837758737158,uptake,8.16957004968122,0.0,1000.0,uptake
14,glyc3p_e,EX_glyc3p_e,1000.0,671.0803956910834,1000.0,uptake,0.0,-33.33333333333569,0.0,secretion
15,gua_e,EX_gua_e,5.675053716298237,0.0,17.81905294238571,uptake,7.550798692977082,0.0,28.417340445299992,uptake
16,h2o_e,EX_h2o_e,438.0564937118801,-1000.0,1000.0,uptake,186.24493967321987,-1000.0,1000.0,uptake
17,h2s_e,EX_h2s_e,0.101494411756734,-103.13838830108588,34.70672958594914,uptake,2.881670238846569,-199.98753889112697,202.5935032143153,uptake
18,his__L_e,EX_his__L_e,2.216546238130357,1.9948916143174338,2.2165462381303644,uptake,2.9410576355323546,2.6469518719781258,2.9410576355312763,uptake
19,ile__L_e,EX_ile__L_e,6.797388186554231,6.117649367899154,6.797388186554249,uptake,9.019216510730436,-191.8827051403607,9.01921651072713,uptake
20,k_e,EX_k_e,4.56685078700605,4.1101657083056775,4.566850787006072,uptake,6.059594492732246,5.453635043456975,6.059594492730012,uptake
21,leu__L_e,EX_leu__L_e,10.540889539689543,9.486800585721126,10.540889539689587,uptake,13.986337452701424,-445.43823167656024,13.986337452696302,uptake
22,lys__L_e,EX_lys__L_e,8.028797564050864,7.225917807646185,8.028797564050903,uptake,10.653130520666656,-190.41218253141562,1000.0,uptake
23,man1p_e,EX_man1p_e,13.100601376877236,-88.20945876076793,190.71327601204942,uptake,0.0,0.0,3.9215686274512978,secretion
24,met__L_e,EX_met__L_e,3.600945924174084,0.0,3.6009459241741126,uptake,4.764123454708202,0.0,4.777936055116816,uptake
25,mg2_e,EX_mg2_e,0.20296542692246866,0.18266888423023211,0.20296542692246966,uptake,0.2693077222259618,0.2423769500032746,0.2693077222258613,uptake
26,mn2_e,EX_mn2_e,0.016167044380798384,0.014550339942719369,0.016167044380798464,uptake,0.021451485424569428,0.01930633688210524,0.021451485424561424,uptake
27,no3_e,EX_no3_e,651.0564611516612,358.3306608361993,750.5617226441815,uptake,0.0,0.0,1000.0,secretion
28,o2_e,EX_o2_e,991.5367277410777,692.3830549671161,1000.0,uptake,22.879887375166522,0.018691663348955667,1000.0,uptake
29,pro__L_e,EX_pro__L_e,5.171933423440503,-145.345259918832,5.171933423440529,uptake,0.0,-993.8237882786206,6.8624574682030595,secretion
30,ser__L_e,EX_ser__L_e,5.64012260593565,0.0,305.0761103451995,uptake,3.456048506311183,-109.67037929999105,1000.0,uptake
31,val__L_e,EX_val__L_e,9.90054824061852,8.910493416557172,9.900548240618573,uptake,13.13669099165215,11.8230218924825,13.136690991647319,uptake
32,zn2_e,EX_zn2_e,0.007978237530900493,0.007180413777810849,0.007978237530900531,uptake,0.01058604418202339,0.009527439763817475,0.01058604418201944,uptake
33,12ppd__S_e,EX_12ppd__S_e,0.0,-328.91960430891106,0.0,secretion,0.0,-200.00000000001393,0.0,secretion
34,2obut_e,EX_2obut_e,-2.1426598037532782,-125.80407374937722,0.0,secretion,0.0,-200.0000000000146,0.0,secretion
35,2pg_e,EX_2pg_e,-956.8583083601803,-1000.0,-811.1724775242307,secretion,7.8754891214222065,0.0,227.487501909814,uptake
36,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-13.63636363635725,0.0,secretion,3.1044117835845744,-16.666666666667762,32.95756187859825,uptake
37,acald_e,EX_acald_e,-13.742315275952603,-317.4441940935591,0.0,secretion,-586.2411336681959,-1000.0,1000.0,secretion
38,ala__D_e,EX_ala__D_e,0.0,-1000.0,700.5325094006483,secretion,0.0,-1000.0,1000.0000000000002,secretion
39,ala__L_e,EX_ala__L_e,-446.19242643251056,-1000.0,700.5325094006497,secretion,-395.5804864293418,-1000.0,1000.0,secretion
40,alaala_e,EX_alaala_e,0.0,-13.636363636357201,0.0,secretion,0.0,-1000.0,0.0,secretion
41,anhgm_e,EX_anhgm_e,0.0,-13.636363636357167,0.0,secretion,0.0,-16.666666666667965,7.6720193857133525,secretion
42,co2_e,EX_co2_e,-1000.0,-1000.0,-700.0000000001428,secretion,-665.2469544876209,-1000.0,23.292405751446836,secretion
43,enlipa_e,EX_enlipa_e,0.0,-3.2291140226465713,0.0,secretion,0.0,-3.8461538461540985,0.0,secretion
44,enter_e,EX_enter_e,0.0,-0.15705875815418732,0.0,secretion,0.0,-0.4508537233298222,0.0,secretion
