,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,236.9185766150918,0.0,926.3525922126942,uptake,25.49892524580936,0.0,80.03858495892828,uptake
1,4hphac_e,EX_4hphac_e,7.56360277817982,0.0,7.563602778179794,uptake,0.0,0.0,58.62068965436623,secretion
2,ade_e,EX_ade_e,11.18760892255375,-26.601099427314995,554.7816292498171,uptake,5.289415856235115,-53.82725005196604,28.147968428070847,uptake
3,arg__L_e,EX_arg__L_e,672.3854429416691,338.48023198083547,1000.0,uptake,7.679949023159152,0.0,132.9865303862005,uptake
4,ca2_e,EX_ca2_e,0.28503357583262184,0.2565302182493588,0.2850335758326213,uptake,0.13514271740122577,0.12162844565939929,0.1351427173991261,uptake
5,cit_e,EX_cit_e,0.3037072452579675,0.01680630248279158,1000.0,uptake,0.008853730381136982,0.007968357342911651,0.008853730380999418,uptake
6,cl_e,EX_cl_e,0.28503357583262184,0.25653021824935907,0.28503357583262157,uptake,0.1351427174012258,0.12162844565939929,0.13514271739912612,uptake
7,cobalt2_e,EX_cobalt2_e,0.0054761493915969645,0.004928534452437253,0.005476149391596961,uptake,0.0025964018713011696,0.0023367616841383164,0.0025964018712608286,uptake
8,cu2_e,EX_cu2_e,0.03882589918642246,0.03494330926778011,0.03882589918642241,uptake,0.018408489267525283,0.016567640340540653,0.018408489267239255,uptake
9,fe3_e,EX_fe3_e,0.7953011761416273,0.38481997004635105,1000.0,uptake,106.37975163899914,0.0,800.8622603630715,uptake
10,glu__L_e,EX_glu__L_e,1000.0,-1000.0,1000.0,uptake,508.4713063495133,-80.39937236840099,739.4440155680793,uptake
11,gly_e,EX_gly_e,18.669671836289943,-1000.0,287.0971424837352,uptake,21.65053839216287,-580.515741551684,906.8596063605647,uptake
12,gua_e,EX_gua_e,13.295105015906975,0.0,52.375185742512414,uptake,6.303596391182421,0.0,6.314878104108676,uptake
13,h2o_e,EX_h2o_e,792.3795165798012,-1000.0,1000.0,uptake,-1000.0,-1000.0,1000.0,secretion
14,h2s_e,EX_h2s_e,13.487098813576317,-342.2055578412525,361.92940486386664,uptake,3.9960961561009087,-248.71792697474194,148.57056084409805,uptake
15,k_e,EX_k_e,10.689060281939877,9.620154253745868,10.689060281939863,uptake,5.067994704648899,4.56119523412011,5.067994704570153,uptake
16,lys__L_e,EX_lys__L_e,18.79200901369805,-136.9333457338271,980.2911165555917,uptake,0.0,0.0,364.28571428070245,secretion
