,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,6.35771184514996,0.0,6.357711845149965,uptake,0.0,0.0,98.55006351842862,secretion
1,asn__L_e,EX_asn__L_e,22.296710266136365,-62.493490014328756,982.3283481955314,uptake,53.025218694590365,0.0,295.6501905552572,uptake
2,ca2_e,EX_ca2_e,0.23958970274911842,0.21563073247436101,0.23958970274911828,uptake,0.1450217526669613,0.13051957740026832,0.14502175266696207,uptake
3,cl_e,EX_cl_e,0.23958970274911842,0.21563073247436101,0.23958970274911862,uptake,0.1450217526669613,0.13051957740026832,0.1450217526669619,uptake
4,cobalt2_e,EX_cobalt2_e,0.004603068256467216,0.004142761430823461,0.004603068256467212,uptake,0.0027862008197302858,0.0025075807377573176,0.002786200819730295,uptake
5,cu2_e,EX_cu2_e,0.032635753938352545,0.029372178544538326,0.03263575393835256,uptake,0.01975416381188772,0.017778747430699373,0.019754163811887743,uptake
6,fe2_e,EX_fe2_e,0.30909603342177355,0.0,13.914550066355662,uptake,-204.9355464062241,-999.8042080959959,0.18709338504564493,secretion
7,fe3_e,EX_fe3_e,0.3594075694649603,0.3234668125186959,0.35940756946496033,uptake,205.3401863512735,0.19579190400406787,1000.0,uptake
8,glu__L_e,EX_glu__L_e,16.32485828936735,-1000.0,1000.0,uptake,50.142435771352226,-398.8827864090293,318.7728934478289,uptake
9,glyc3p_e,EX_glyc3p_e,954.4384391366883,0.0,1000.0,uptake,1000.0,861.4217169935007,1000.0,uptake
10,gua_e,EX_gua_e,6.814566369604347,0.0,85.05787905649868,uptake,103.80541273776267,0.0,1000.0,uptake
11,h2o_e,EX_h2o_e,1000.0,-1000.0,1000.0,uptake,-1000.0,-1000.0,611.229463074287,secretion
12,k_e,EX_k_e,8.984867021846064,8.08638031966725,8.98486702184606,uptake,5.438468966056464,4.894622069450648,5.438468966056162,uptake
13,mg2_e,EX_mg2_e,0.39931617124853086,0.35938455412393516,0.3993161712485305,uptake,0.24170292111160224,0.21753262900044726,0.241702921111603,uptake
14,mn2_e,EX_mn2_e,0.031807201652188484,0.02862648148699014,0.03180720165218846,uptake,0.019252647664336292,0.01732738289790308,0.01925264766433635,uptake
15,o2_e,EX_o2_e,20.918432717548757,0.0,1000.0,uptake,804.0455676148,0.005591905045198815,1000.0,uptake
16,pnto__R_e,EX_pnto__R_e,0.026513673157251175,-149.97613769319517,0.026513673157251484,uptake,0.0,-64.32109823342422,0.01604847379594483,secretion
17,pro__L_e,EX_pro__L_e,10.175312534333614,-290.8422187171633,10.17531253433361,uptake,0.0,0.0,6.1590362220548105,secretion
18,so4_e,EX_so4_e,0.19968110096554786,0.17971299086912182,75.17971299038504,uptake,0.12086539155989984,0.10877885240391248,40.10877885239759,uptake
19,zn2_e,EX_zn2_e,0.015696462754553192,0.014126816479107992,0.01569646275455318,uptake,0.009500944795280268,0.008550850315752445,0.009500944795280297,uptake
20,4abut_e,EX_4abut_e,0.0,-1000.0,49.73518567485675,secretion,0.0,-295.6501905552852,0.0,secretion
21,acald_e,EX_acald_e,0.0,-1000.0,299.99999999806806,secretion,-848.9396276145966,-1000.0,-241.98305286241464,secretion
22,ade_e,EX_ade_e,-77.18730956483427,-1000.0,871.2512036117778,secretion,5.692124688686295,-26.510097180036887,43.299065509942636,uptake
23,ala__L_e,EX_ala__L_e,-911.2948546849343,-1000.0,1000.0,secretion,0.0,0.0,73.14861474074715,secretion
24,anhgm_e,EX_anhgm_e,0.0,-24.99999999983925,0.0,secretion,2.786200819730286,-15.261561949942656,7.29481478030975,uptake
25,co2_e,EX_co2_e,-1000.0,-1000.0,979.0771258311495,secretion,-1000.0,-1000.0,-704.349809444716,secretion
26,colipa_e,EX_colipa_e,0.0,-4.687499999969788,0.0,secretion,0.0,-2.599277978338813,0.0,secretion
27,etha_e,EX_etha_e,0.0,-49.99999999967737,0.0,secretion,0.0,-4.619534227426299,0.0,secretion
28,glcur_e,EX_glcur_e,0.0,-149.99999999903278,0.0,secretion,0.0,-96.39946337496711,0.0,secretion
29,h2s_e,EX_h2s_e,-169.53015231806202,-1000.0,310.2031242708189,secretion,-3.2221855240016946,-152.58851728181034,201.70273926553156,secretion
30,h_e,EX_h_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
31,hxan_e,EX_hxan_e,0.0,0.0,1000.0,secretion,0.0,0.0,59.92191629828182,secretion
32,mobd_e,EX_mobd_e,0.0,0.0,9.090909090850502,secretion,0.0,0.0,4.819062845895252,secretion
33,nh4_e,EX_nh4_e,-955.6304266770393,-1000.0,122.63819378198603,secretion,-91.15810268222964,-1000.0,357.6812836184178,secretion
34,no2_e,EX_no2_e,0.0,-995.5935103764903,0.0,secretion,38.132883987639275,0.0,336.4266942187668,uptake
35,orn_e,EX_orn_e,-986.3844923428306,-1000.0000000000001,-687.7460431104729,secretion,0.0,-199.9999999999583,35.167124108464606,secretion
36,pi_e,EX_pi_e,-1000.0,-1000.0,-700.0000000019303,secretion,-972.5254687506936,-975.272921875623,-836.694638869125,secretion
37,ppa_e,EX_ppa_e,0.0,0.0,299.99999999807005,secretion,0.0,0.0,84.40109786031228,secretion
38,ptrc_e,EX_ptrc_e,0.0,0.0,1000.0,secretion,0.0,0.0,199.99999999997587,secretion
39,s_e,EX_s_e,0.0,-299.99999999806846,0.0,secretion,0.0,-208.29060522814046,0.0,secretion
40,salchs4_e,EX_salchs4_e,0.0,-12.755004227492416,0.0,secretion,0.0,-0.1870758847146229,0.0,secretion
41,salchs4fe_e,EX_salchs4fe_e,0.0,0.0,12.75500422749257,secretion,0.0,0.0,0.1870758847146242,secretion
42,spmd_e,EX_spmd_e,0.0,-74.99999999951571,0.0,secretion,0.0,-27.69230769230331,0.0,secretion
43,succ_e,EX_succ_e,0.0,-903.3432948432594,0.0,secretion,-24.511227122374642,-147.87971038611414,0.002752571966592488,secretion
44,tsul_e,EX_tsul_e,-245.83609706026766,-775.9624369816261,0.0,secretion,0.0,0.0,74.99999999998819,secretion
45,xan_e,EX_xan_e,0.0,0.0,1000.0,secretion,-97.04723189143307,-1000.0,0.0,secretion
46,4hba_c,sink_4hba_c,-0.010264842211921884,-0.010264842211921801,-0.00923835799073631,secretion,0.0,-0.0062129919224000315,0.0,secretion
47,bmocogdp_c,sink_bmocogdp_c,0.0,-9.090909090849856,0.0,secretion,0.0,-4.819062845895612,0.0,secretion
