,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pg_e,EX_2pg_e,37.88367787894897,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
1,LalaDgluMdap_e,EX_LalaDgluMdap_e,9.831017346363112,-75.00000000000057,608.8479156117329,uptake,8.172771139630553,-50.0000000000006,507.3554940256799,uptake
2,acald_e,EX_acald_e,890.2992657532692,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
3,adn_e,EX_adn_e,20.094304525451097,-1000.0,1000.0,uptake,36.66538057216118,-1000.0,1000.0,uptake
4,akg_e,EX_akg_e,1000.0,-1000.0,1000.0,uptake,1000.0,-1000.0,1000.0,uptake
5,arg__L_e,EX_arg__L_e,1000.0,399.99999999998704,1000.0,uptake,24.174403209335992,-78.24303711159928,1000.0,uptake
6,asn__L_e,EX_asn__L_e,23.698158864275577,-278.67165702215397,1000.0,uptake,19.700873470636413,-232.26921387642906,1000.0,uptake
7,ca2_e,EX_ca2_e,0.5117044528781997,0.4605340075903793,0.5117044528781984,uptake,0.42539273781777004,0.3828534640359928,0.42539273781777154,uptake
8,cl_e,EX_cl_e,0.5117044528781997,0.4605340075903793,0.5117044528781998,uptake,0.42539273781777004,0.3828534640359928,0.42539273781777026,uptake
9,cobalt2_e,EX_cobalt2_e,0.009831017346363111,0.008847915611726794,0.009831017346363104,uptake,0.008172771139630552,0.007355494025667493,0.008172771139630563,uptake
10,cu_e,EX_cu_e,0.06970191298571443,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
11,cytd_e,EX_cytd_e,15.7812405952494,-1000.0,1000.0,uptake,13.119340871891964,-1000.0,1000.0,uptake
12,dad_2_e,EX_dad_2_e,69.16823620905961,-1000.0000000000014,1000.0,uptake,184.84904062168488,-1000.0,1000.0,uptake
13,fe2_e,EX_fe2_e,1.4277586492123149,-1000.0,1000.0,uptake,1.1869315526085455,-1000.0,1000.0,uptake
14,glu__L_e,EX_glu__L_e,901.2301445503448,-1000.0,1000.0,uptake,111.58137327056778,-1000.0,1000.0,uptake
15,glyc3p_e,EX_glyc3p_e,928.6001720084054,-1000.0,1000.0,uptake,905.1359892316882,-1000.0,1000.0,uptake
16,gsn_e,EX_gsn_e,23.911786871212122,-1000.0,1000.0,uptake,0.0,-1000.0,0.0,secretion
17,h2s_e,EX_h2s_e,16.62528258952141,-1000.0,1000.0,uptake,13.821014138084841,-987.5610872757394,1000.0,uptake
18,his__L_e,EX_his__L_e,9.313709213597487,-91.61766170776309,1000.0,uptake,7.742719922263195,-76.3648854032957,7.742719922263211,uptake
19,ile__L_e,EX_ile__L_e,28.561956386215307,-974.2942392524063,28.56195638621529,uptake,23.744270264257267,-978.6301567621674,23.744270264257302,uptake
20,k_e,EX_k_e,19.189457688886574,17.270511919997904,19.189457688886566,uptake,15.952677170579086,14.35740945352117,15.952677170579072,uptake
21,leu__L_e,EX_leu__L_e,44.29178076074321,-960.1373973153294,44.29178076074319,uptake,36.820867543088944,-966.8612192112191,36.82086754308894,uptake
22,lys__L_e,EX_lys__L_e,33.7362174359531,-569.6374043076447,1000.0,uptake,28.045763170467588,-474.75881314657664,525.2411868534266,uptake
23,mg2_e,EX_mg2_e,0.8528407547969997,0.7675566793172991,0.852840754796999,uptake,0.7089878963629502,0.6380891067266549,0.7089878963629511,uptake
24,mmet_e,EX_mmet_e,7.565410243806986,0.0,105.45998274274518,uptake,6.289315166646982,0.0,12.500013806875106,uptake
25,mn2_e,EX_mn2_e,0.06793232986336915,0.061139096877032194,0.0679323298633691,uptake,0.05647384857484716,0.05082646371736242,0.05647384857484723,uptake
26,nmn_e,EX_nmn_e,0.22395057515024064,0.0,1000.0,uptake,0.1861757265610322,0.0,1000.0,uptake
27,no3_e,EX_no3_e,19.990882222954973,0.0,1000.0,uptake,46.93269844878863,0.0,1000.0,uptake
28,o2_e,EX_o2_e,1000.0,0.0,1000.0,uptake,449.87584584337185,0.016402751677219385,1000.0,uptake
29,phe__L_e,EX_phe__L_e,18.213434286739627,-283.6079091419375,1000.0,uptake,15.141284451836553,-236.37284399335525,15.141284451836567,uptake
30,pnto__R_e,EX_pnto__R_e,0.05662665991508753,-299.9490360060788,0.056626659915079154,uptake,0.04707516176419822,-249.9576323544161,0.04707516176420138,uptake
31,pro__L_e,EX_pro__L_e,21.731955395003,-1000.0,1000.0,uptake,18.06631924271034,-1000.0,1000.0,uptake
32,ptrc_e,EX_ptrc_e,122.48974905481617,-1000.0,1000.0,uptake,6.289315166646982,-1000.0,1000.0,uptake
33,skm_e,EX_skm_e,0.07560052339353189,-599.9319595289509,300.06804047105203,uptake,0.06284861006375897,-499.9434362509488,1000.0,uptake
34,so4_e,EX_so4_e,0.42646953248523195,0.0,150.38382257923772,uptake,0.3545348120371735,0.0,125.31908133083581,uptake
35,tartr__D_e,EX_tartr__D_e,997.668115455494,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
36,thm_e,EX_thm_e,0.021923168682389724,0.0,0.021923168682389714,uptake,0.01822527964137612,0.0,0.018225279641376112,uptake
37,thr__L_e,EX_thr__L_e,85.12471468852047,-1000.0,1000.0,uptake,20.73325792099458,-1000.0,1000.0,uptake
38,thymd_e,EX_thymd_e,2.58221501619574,-1000.0,1000.0,uptake,2.146660067535365,-1000.0,75.0452134044988,uptake
39,trp__L_e,EX_trp__L_e,5.588245190193183,-1000.0,5.588245190192141,uptake,4.645648298900195,-1000.0,4.6456482989013965,uptake
40,tyr__L_e,EX_tyr__L_e,13.55657967994089,-1000.0,13.578105948484465,uptake,11.269924490704959,-1000.0,11.287820612446822,uptake
41,uri_e,EX_uri_e,14.157058219456752,-1000.0,656.5770009886772,uptake,11.769117351913591,-1000.0,512.5168441834819,uptake
42,val__L_e,EX_val__L_e,41.60112962321705,-962.5589833391025,1000.0,uptake,34.58406180988342,-968.8743443711022,1000.0,uptake
43,zn2_e,EX_zn2_e,0.033523769151098184,0.03017139223598834,0.03352376915109816,uptake,0.027869149586140163,0.025082234627575417,0.027869149586194908,uptake
44,12ppd__R_e,EX_12ppd__R_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
45,14glucan_e,EX_14glucan_e,0.0,0.0,200.00000000000117,secretion,0.0,0.0,125.00000000000098,secretion
46,23camp_e,EX_23camp_e,0.0,0.0,1000.0000000000001,secretion,0.0,0.0,999.999999999995,secretion
47,23ccmp_e,EX_23ccmp_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
48,23cgmp_e,EX_23cgmp_e,0.0,0.0,1000.0,secretion,0.0,0.0,999.9999999999998,secretion
49,23cump_e,EX_23cump_e,0.0,0.0,1000.0,secretion,0.0,0.0,999.9999999999999,secretion
50,2ddglcn_e,EX_2ddglcn_e,0.0,-1000.0,600.0000000000025,secretion,0.0,-1000.0,500.0000000000037,secretion
51,2hxmp_e,EX_2hxmp_e,0.0,-600.0000000000047,0.0,secretion,0.0,-500.00000000002245,0.0,secretion
52,2pglyc_e,EX_2pglyc_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
53,34dhpac_e,EX_34dhpac_e,0.0,-1000.0,0.0,secretion,0.0,-999.9835972483213,0.0,secretion
54,3amp_e,EX_3amp_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
55,3cmp_e,EX_3cmp_e,0.0,-1000.0,1000.0,secretion,0.0,-999.9999999999998,1000.0,secretion
56,3gmp_e,EX_3gmp_e,0.0,-1000.0,1000.0000000000005,secretion,0.0,-1000.0,1000.0,secretion
57,3hoxpac_e,EX_3hoxpac_e,0.0,0.0,500.00000000000017,secretion,0.0,0.0,499.99179862416116,secretion
58,3hpp_e,EX_3hpp_e,0.0,-634.4189447243492,0.0,secretion,0.0,-500.0000000000082,0.0,secretion
59,3hpppn_e,EX_3hpppn_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
60,3pg_e,EX_3pg_e,0.0,0.0,999.9999999999995,secretion,0.0,0.0,1000.0,secretion
61,3ump_e,EX_3ump_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
62,4abut_e,EX_4abut_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
