,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,13.796154068458662,0.0,112.416538661613,uptake,0.0,0.0,117.37761014627101,secretion
1,arg__L_e,EX_arg__L_e,4.614375290989981,0.0,57.256563475077165,uptake,0.0,0.0,0.0,secretion
2,ca2_e,EX_ca2_e,0.0811983535376308,0.07307851818386756,0.08119835353763072,uptake,0.21214983262136758,0.1909348493592309,0.212149832621368,uptake
3,cgly_e,EX_cgly_e,9.142045404465634,0.0,60.50941397798972,uptake,0.0,0.0,283.2246756305119,secretion
4,cit_e,EX_cit_e,0.005319623161639212,0.004787660845475306,0.005319623161639206,uptake,1000.0,220.1579250602357,1000.0,uptake
5,cl_e,EX_cl_e,0.0811983535376308,0.07307851818386756,0.08119835353763115,uptake,0.21214983262136758,0.1909348493592309,0.21214983262136763,uptake
6,cobalt2_e,EX_cobalt2_e,0.001560006792269565,0.0014040061130426128,0.0015600067922695632,uptake,0.004075885352956152,0.0036682968176605384,0.004075885352956152,uptake
7,cu2_e,EX_cu2_e,0.01106044815719121,0.009954403341472066,0.011060448157191177,uptake,0.028898027152459104,0.026008224437213203,0.028898027152459118,uptake
8,fe3_e,EX_fe3_e,0.2265597864413091,0.10962479730631003,1000.0,uptake,0.31824512835881646,0.2864206155229567,1000.0,uptake
9,fol_e,EX_fol_e,0.010436445440283357,-8.67426345774285,0.010436445440283382,uptake,0.027267673011276427,-15.103160469534858,0.027267673011276732,uptake
10,gln__L_e,EX_gln__L_e,4.1122715048301135,0.0,103.73758361344595,uptake,50.17125481628889,0.0,327.04116970136147,uptake
11,glu__L_e,EX_glu__L_e,9.10151642800251,-1000.0,61.892409139551546,uptake,-12.582950985085063,-1000.0,813.6715483878428,secretion
12,gua_e,EX_gua_e,3.7769792449676203,0.0,12.082937579110492,uptake,9.886426753276936,0.0,69.84765215182755,uptake
13,his__L_e,EX_his__L_e,1.4779192348603407,0.0,1.477919234860343,uptake,0.0,0.0,0.0,secretion
14,hxan_e,EX_hxan_e,3.1780614372801823,0.0,14.351232305266388,uptake,0.0,0.0,106.45161290322515,secretion
