,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ala__L_e,EX_ala__L_e,680.8192417134102,0.0,1000.0,uptake,0.0,0.0,700.0000000000273,secretion
1,arg__L_e,EX_arg__L_e,2.2106048317116915,0.0,51.989544348540434,uptake,4.911815079645434,0.0,91.92063357167878,uptake
2,bz_e,EX_bz_e,0.0007473511223128729,0.0006726160100815854,0.0007473511223128728,uptake,0.0016605638690855185,0.0014945074821769717,0.0016605638690855148,uptake
3,ca2_e,EX_ca2_e,0.03889962591638501,0.035009663324746504,0.038899625916385,uptake,0.08643234938590119,0.07778911444731133,0.086432349385901,uptake
4,cit_e,EX_cit_e,0.00771266358226885,0.006941397224068169,0.007712663582295053,uptake,0.0,0.0,233.33333333331046,secretion
5,cl_e,EX_cl_e,0.03889962591638501,0.035009663324746504,0.038899625916385,uptake,0.08643234938590119,0.07778911444731133,0.08643234938590176,uptake
6,cobalt2_e,EX_cobalt2_e,0.0007473511223128729,0.0006726160100924972,0.0007473511222997331,uptake,0.0016605638690855185,0.0014945074821769717,0.0016605638690855313,uptake
7,cu2_e,EX_cu2_e,0.005298719457198266,0.004768847511478438,0.0052987194571982674,uptake,0.01177339783181632,0.010596058048634725,0.011773397831816138,uptake
8,fe3_e,EX_fe3_e,65.34240332606282,0.0,584.6811912962239,uptake,0.12965682689819732,0.11669114420840287,1000.0,uptake
9,fol_e,EX_fol_e,0.0049997790082733085,-4.995500198892083,0.004999779007679922,uptake,0.011109172284183177,0.0,0.01110917228418895,uptake
10,gln__L_e,EX_gln__L_e,4.673096885687713,0.0,30.50597412308708,uptake,20.76991773355555,0.0,158.69292596019926,uptake
11,id3acald_e,EX_id3acald_e,0.42481679845630627,0.3823351186106756,0.42481679845630654,uptake,0.9439143201042812,0.0,0.9439143201042728,uptake
12,ile__L_e,EX_ile__L_e,2.171271742144368,-48.04585543207024,2.1712717421443672,uptake,0.0,0.0,4.817778750002443,secretion
13,k_e,EX_k_e,1.4587770761761678,1.3128993685585508,1.4587770761761643,uptake,3.2413044329840943,2.9171739896857,3.2413044329841085,uptake
14,leu__L_e,EX_leu__L_e,3.3670484848674107,-456.30641201783806,3.3670484848674094,uptake,0.0,0.0,7.449507911715204,secretion
15,mal__L_e,EX_mal__L_e,163.73099851364145,0.0,1000.0,uptake,0.0,0.0,63.63636363636405,secretion
16,mg2_e,EX_mg2_e,0.0648327098606417,0.058349438874577525,0.06483270986064169,uptake,0.1440539156431687,0.12964852407885227,0.1440539156431698,uptake
17,mn2_e,EX_mn2_e,0.005164196255181956,0.004647776629667533,0.005164196255185728,uptake,0.011474496335380942,0.010327046701842884,0.011474496335381031,uptake
18,nh4_e,EX_nh4_e,27.29027007917,-641.2634007342742,546.6843061211785,uptake,-626.7199097529742,-867.485569943083,-164.04791877769708,secretion
19,o2_e,EX_o2_e,125.02552974788544,0.026258929033585104,440.74680844730824,uptake,982.2886873111656,0.0,1000.0,uptake
20,pi_e,EX_pi_e,7.339638216590363,6.605674395056705,8.97177463102249,uptake,16.37470407358296,-46.66666666666045,23.542265112766597,uptake
21,pro__L_e,EX_pro__L_e,1.6520570234287217,-48.513148678914376,1.6520570234287195,uptake,3.670759460806997,-96.69631648528005,3.6707594608070067,uptake
22,so4_e,EX_so4_e,0.032420091685932434,0.0,12.529178082517527,uptake,0.07203526064092983,0.06483173457683705,0.07203526064092974,uptake
23,succ_e,EX_succ_e,0.0007473511223132387,-49.99932738398625,0.000747351122313944,uptake,-373.58518564664996,-1000.0,-136.22666708199176,secretion
24,ura_e,EX_ura_e,2.472200145054871,2.1987212015157946,2.472200145054764,uptake,0.0016605638690855185,-36.965516971537994,5.47905787331568,uptake
25,xan_e,EX_xan_e,0.8817248541047337,0.0,6.35663824246227,uptake,4.0278471152151525,0.0,12.43166590291636,uptake
26,zn2_e,EX_zn2_e,0.0025484673270868945,0.002293620594400636,0.0025484673271093253,uptake,0.005662522793581613,0.005096270514223469,0.005662522793581657,uptake
27,12ppd__S_e,EX_12ppd__S_e,0.0,-100.00000000000007,0.0,secretion,0.0,-116.66666666666441,0.0,secretion
28,15dap_e,EX_15dap_e,0.0,-1000.0,0.0,secretion,0.0,-175.000000000002,0.0,secretion
29,4abz_e,EX_4abz_e,0.0,-7.854438382048413,5.000000000000024,secretion,0.0,0.0,0.011107991164275452,secretion
