,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4abut_e,EX_4abut_e,373.586846210519,136.2281615894825,836.2281615894691,uptake,11.272589116505248,0.0,1000.0000000000007,uptake
1,4hphac_e,EX_4hphac_e,2.29355421034223,0.0,177.0641987892869,uptake,2.1174843784571067,0.0,2.1174843784571107,uptake
2,arab__D_e,EX_arab__D_e,14.546622521383073,8.258962193083175,108.42497718965564,uptake,0.0,0.0,0.0,secretion
3,arg__L_e,EX_arg__L_e,4.911815079645434,0.0,91.92063357167878,uptake,7.9237139608049505,0.0,1000.0,uptake
4,ca2_e,EX_ca2_e,0.08643234938590119,0.07778911444731133,0.086432349385901,uptake,0.07979717627458366,0.07181745864712534,0.0797971762745839,uptake
5,cl_e,EX_cl_e,0.08643234938590119,0.07778911444731133,0.08643234938590176,uptake,0.07979717627458366,0.07181745864712534,0.07979717627458327,uptake
6,cobalt2_e,EX_cobalt2_e,0.0016605638690855185,0.0014945074821769717,0.0016605638690855313,uptake,0.0015330869601264882,0.00137977826411384,0.0015330869601264821,uptake
7,cu2_e,EX_cu2_e,0.01177339783181632,0.010596058048634725,0.011773397831816138,uptake,0.010869586547296795,0.009782627892567121,0.010869586547296792,uptake
8,fe2_e,EX_fe2_e,0.11150686380909258,-999.7829526783635,5.324236774441813,uptake,0.22265021921916991,-999.7996148026913,5.75594075285296,uptake
9,fe3_e,EX_fe3_e,0.12965682689819732,0.11669114420840287,1000.0,uptake,0.0,0.0,1000.0,secretion
10,fol_e,EX_fol_e,0.011109172284183177,0.0,0.01110917228418895,uptake,0.010256351763246173,0.009230716586921539,0.010256351763242707,uptake
11,h2o_e,EX_h2o_e,313.6116690782951,-1000.0,1000.0,uptake,-583.5738267683993,-1000.0,1000.0,secretion
12,h2s_e,EX_h2s_e,4.089769541893336,-229.65254074562324,103.68079258769718,uptake,1.4108386059260019,-98.73024525466585,1000.0,uptake
13,k_e,EX_k_e,3.2413044329840943,2.9171739896857,3.2413044329841085,uptake,2.9924784300797,2.6932305870717315,2.9924784300797,uptake
14,mg2_e,EX_mg2_e,0.1440539156431687,0.12964852407885227,0.1440539156431698,uptake,0.1329952937909728,0.1196957644118756,0.13299529379097227,uptake
15,mn2_e,EX_mn2_e,0.011474496335380942,0.010327046701842884,0.011474496335381031,uptake,0.010593630894474041,0.009534267805026643,0.010593630894474002,uptake
16,o2_e,EX_o2_e,982.2886873111656,0.0,1000.0,uptake,0.029925857461669057,0.0269332717198977,1000.0,uptake
17,pac_e,EX_pac_e,3.076443652061288,0.0,3.0764436520612843,uptake,2.8402735566783397,0.0,2.840273556678344,uptake
18,pi_e,EX_pi_e,16.37470407358296,-46.66666666666045,23.542265112766597,uptake,15.091171455051933,-999.9999999999906,56.439197166689276,uptake
19,pro__L_e,EX_pro__L_e,3.670759460806997,-96.69631648528005,3.6707594608070067,uptake,0.0,-1000.0,3.3889653797065837,secretion
20,sbt__D_e,EX_sbt__D_e,17.159146142518683,0.0,365.4432315283089,uptake,0.0,0.0,561.2305465062531,secretion
21,so4_e,EX_so4_e,0.07203526064092983,0.06483173457683705,0.07203526064092974,uptake,0.06650531233028707,0.059854781097258405,33.39318811443096,uptake
22,thym_e,EX_thym_e,0.4345031419849177,0.0,0.4345031419849183,uptake,0.004951870881208555,-99.99554331619788,2.3555419098456034,uptake
23,ura_e,EX_ura_e,0.0016605638690855185,-36.965516971537994,5.47905787331568,uptake,-167.11362475535802,-1000.0,1000.0,secretion
24,xan_e,EX_xan_e,4.0278471152151525,0.0,12.43166590291636,uptake,0.0,0.0,1000.0,secretion
25,zn2_e,EX_zn2_e,0.005662522793581613,0.005096270514223469,0.005662522793581657,uptake,0.00522782653403132,0.004705043880628191,0.0052278265340313,uptake
26,12ppd__S_e,EX_12ppd__S_e,0.0,-116.66666666666441,0.0,secretion,0.0,0.0,1000.0,secretion
27,15dap_e,EX_15dap_e,0.0,-175.000000000002,0.0,secretion,0.0,-1000.0,0.0,secretion
28,2pglyc_e,EX_2pglyc_e,0.0,0.0,61.4039003328908,secretion,0.0,0.0,46.479338843154814,secretion
29,4abz_e,EX_4abz_e,0.0,0.0,0.011107991164275452,secretion,0.0,-25.00000000000147,0.0,secretion
30,ac_e,EX_ac_e,-1000.0,-1000.0,-766.6666666666742,secretion,0.0,-999.9857606883143,0.0,secretion
31,acald_e,EX_acald_e,-2.655407683054115,-1000.0,1000.0,secretion,-186.79042219867054,-999.9999999999997,999.9999999999995,secretion
32,ala__D_e,EX_ala__D_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,1000.0,secretion
33,ala__L_e,EX_ala__L_e,0.0,0.0,700.0000000000273,secretion,-70.1343552952429,-1000.0,1000.0,secretion
34,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
35,alltn_e,EX_alltn_e,0.0,0.0,65.34769426405425,secretion,0.0,0.0,200.00000000000753,secretion
36,chol_e,EX_chol_e,0.0,0.0,999.9999999999992,secretion,0.0,0.0,1000.0,secretion
37,cit_e,EX_cit_e,0.0,0.0,233.33333333331046,secretion,0.01582145742850536,0.014239311685741995,1000.0,uptake
38,co2_e,EX_co2_e,-1000.0,-1000.0,-825.0000000000018,secretion,-654.375335516088,-1000.0,1000.0,secretion
39,fru_e,EX_fru_e,0.0,0.0,235.56746064796485,secretion,508.4614672083743,-50.000000000000774,557.6175488294296,uptake
40,galt_e,EX_galt_e,0.0,0.0,235.56746064796386,secretion,0.0,0.0,557.617548829433,secretion
41,glc__D_e,EX_glc__D_e,0.0,-1000.0,0.0,secretion,0.0,0.0,99.99999999999973,secretion
