,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,0.10512015176603502,0.0,214.9162455309878,uptake,0.0,0.0,1000.0,secretion
1,arg__L_e,EX_arg__L_e,132.30111701480988,9.144608175060348,762.8363824242487,uptake,9.682929971487052,0.0,557.9008805828527,uptake
2,asn__L_e,EX_asn__L_e,16.56770812264872,14.910937310384847,139.8075913745641,uptake,28.184439009204105,-92.89802693835742,1000.0,uptake
3,bz_e,EX_bz_e,0.0034350745625528678,0.0030915671062977878,0.0034350745625528725,uptake,0.0032735604652888036,0.002946204418776688,0.003273560465305563,uptake
4,ca2_e,EX_ca2_e,0.17879563098087667,0.16091606788279977,0.17879563098087692,uptake,0.1703888222182821,0.1533499399964542,0.17038882221828214,uptake
5,cgly_e,EX_cgly_e,3.1535015006604095,2.8381513505942624,191.26109491288392,uptake,0.0,0.0,108.66232711488391,secretion
6,cl_e,EX_cl_e,0.17879563098087667,0.16091606788279975,0.17879563098087656,uptake,0.1703888222182821,0.1533499399964542,0.1703888222182825,uptake
7,cobalt2_e,EX_cobalt2_e,0.0034350745625528678,0.0030915671062956562,0.003435074562545992,uptake,0.0032735604652888036,0.0029462044187599287,0.0032735604652887945,uptake
8,cu2_e,EX_cu2_e,0.02435467864849982,0.021919210783651305,0.024354678648499797,uptake,0.023209543698897606,0.020888589329007883,0.023209543698897644,uptake
9,fe2_e,EX_fe2_e,0.2306652568754251,0.0,8.20759873118368,uptake,-64.44592539411876,-999.5721227322595,11.962543509072493,secretion
10,fe3_e,EX_fe3_e,0.26821062184412797,0.24138955965973136,0.2682106218441278,uptake,64.92134458049264,0.23003964101792462,1000.0,uptake
11,gln__L_e,EX_gln__L_e,15.272101049891454,8.156450580874386,80.2922185777687,uptake,13.007066945964574,0.0,1000.0,uptake
12,gua_e,EX_gua_e,8.339742724457123,0.0,8.339742724457121,uptake,0.0,0.0,0.0,secretion
13,his__L_e,EX_his__L_e,6.084684975631605,2.928888845164399,59.82930526577615,uptake,3.1013057136053073,-15.31921271023583,3.1013057136053077,uptake
14,ile__L_e,EX_ile__L_e,9.979887775839229,8.981898998255907,9.979887775839318,uptake,9.510642484198785,-991.440421764221,9.510642484198101,uptake
15,k_e,EX_k_e,6.7050250908838285,6.034522581795849,6.7050250908838,uptake,6.389760879011183,5.750784791110075,6.389760879011183,uptake
16,leu__L_e,EX_leu__L_e,15.476075777415067,13.928468199674493,15.476075777415064,uptake,14.748404699870305,-935.0107725509314,14.748404699870317,uptake
17,lys__L_e,EX_lys__L_e,11.78783621960204,10.609052597642517,1000.0,uptake,11.233582828289704,-189.88977545457237,1000.0,uptake
18,met__L_e,EX_met__L_e,5.286888908479484,0.0,5.2868889084794715,uptake,0.0,0.0,5.105010838102061,secretion
19,mg2_e,EX_mg2_e,0.2979927183014612,0.26819344647133303,0.29799271830146523,uptake,0.2839813703638036,0.2555832333274237,0.28398137036380283,uptake
20,mn2_e,EX_mn2_e,0.023736365227240337,0.021362728704517733,0.023736365227240656,uptake,0.02262030281514565,0.020358272533631122,0.02262030281514559,uptake
21,nh4_e,EX_nh4_e,798.5238357900294,-290.2831654249139,997.4756427106911,uptake,-36.84765489574906,-1000.0,206.54387355860513,secretion
22,nmn_e,EX_nmn_e,0.07825099853495612,0.0704258986815347,0.07825099853495311,uptake,0.074571707399275,0.06711453665918299,0.07457170739904732,uptake
23,phe__L_e,EX_phe__L_e,6.363990888313574,5.7275917994826,6.363990888313548,uptake,7.576350164599577,-25.864295391125943,544.7436483801911,uptake
24,progly_e,EX_progly_e,7.59340407425125,6.834063666826583,7.593404074251248,uptake,0.0,0.0,108.66232711488274,secretion
25,so4_e,EX_so4_e,0.14901353452354346,0.1341121810711981,66.80077884769727,uptake,0.14200705298422833,0.12780634768580576,50.12780634768582,uptake
26,thr__L_e,EX_thr__L_e,8.714337605503502,7.8429038449536765,8.714337605503497,uptake,27.554213148428914,0.0,1000.0,uptake
27,tyr__L_e,EX_tyr__L_e,4.744490635052401,-55.73468883524562,4.744490635052399,uptake,4.514108939214653,-27.472414146980636,4.521161444112348,uptake
28,val__L_e,EX_val__L_e,14.53593022038996,13.082337198351839,14.53593022038995,uptake,0.0,-987.5327824574871,960.7515543233385,secretion
29,zn2_e,EX_zn2_e,0.01171360425830527,0.010542243832475448,0.011713604258305426,uptake,0.01116284118663481,0.010046557067971348,0.01116284118663478,uptake
30,15dap_e,EX_15dap_e,0.0,-989.3909474023579,0.0,secretion,0.0,-1000.0,0.0,secretion
31,acald_e,EX_acald_e,-1000.0,-1000.0,-599.9684639547123,secretion,-19.2496158108517,-1000.0,1000.0,secretion
32,ala__D_e,EX_ala__D_e,0.0,-1000.0,136.3892323755573,secretion,0.0,-1000.0,1000.0,secretion
33,ala__L_e,EX_ala__L_e,-980.3513391514584,-1000.0,136.38923237555935,secretion,-401.5347844770472,-1000.0,1000.0,secretion
34,anhgm_e,EX_anhgm_e,0.0,-21.194186942846322,0.0,secretion,3.2735604652888033,-13.44394159464172,9.397817321985755,uptake
35,but_e,EX_but_e,0.0,0.0,14.327749702065889,secretion,0.0,0.0,0.0,secretion
36,cit_e,EX_cit_e,0.0,0.0,32.30230179841976,secretion,0.0,0.0,1000.0,secretion
37,co2_e,EX_co2_e,-127.66775104185054,-1000.0,46.481320212683634,secretion,-37.465589218976305,-1000.0,189.297571998569,secretion
38,csn_e,EX_csn_e,0.0,0.0,1000.0,secretion,10.818200740849232,0.0,118.39870778164745,uptake
39,for_e,EX_for_e,0.0,0.0,104.6449713723031,secretion,0.0,0.0,0.0,secretion
40,glyclt_e,EX_glyclt_e,-0.13576101686400802,-214.94382230957638,-0.027576778588174936,secretion,-0.021900119512782028,-1000.0,439.1292774366491,secretion
41,h2o_e,EX_h2o_e,0.0,-459.4958925254757,1000.0,secretion,-1000.0,-1000.0,1000.0,secretion
42,h2s_e,EX_h2s_e,0.0,-188.42294356229752,53.729061382746906,secretion,5.53958449056723,-395.0143739584764,1000.0,uptake
43,h_e,EX_h_e,-664.1664831420723,-1000.0,1000.0,secretion,-1000.0,-1000.0,1000.0,secretion
44,hxan_e,EX_hxan_e,0.0,0.0,46.050593042962454,secretion,0.0,0.0,0.0,secretion
45,no2_e,EX_no2_e,0.0,0.0,23.20067376513094,secretion,0.0,0.0,333.3333333333333,secretion
46,o2_e,EX_o2_e,-0.003830108137246445,-0.0038301081372464434,19.227322133433933,secretion,576.7118388139543,0.0032850179269173184,1000.0,uptake
47,octa_e,EX_octa_e,0.0,0.0,13.432265345688098,secretion,0.0,0.0,26.666666666665964,secretion
