,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,53.318062682073226,0.0,999.9703676439802,uptake,0.0,0.0,179.99999999998587,secretion
1,arg__L_e,EX_arg__L_e,14.557405500295443,0.0,1000.0,uptake,6.414171339076801,0.0,455.7727542051476,uptake
2,bz_e,EX_bz_e,0.004921500750627282,-1000.0,0.0049215007506272735,uptake,0.0021684735689526603,-29.9980483737857,150.00195162620003,uptake
3,ca2_e,EX_ca2_e,0.2561641140701499,0.2305477026630116,0.25616411407014944,uptake,0.11286904926398589,0.10158214433759027,0.11286904926398875,uptake
4,cit_e,EX_cit_e,1.0414879888477455,0.9373391899623584,1000.0,uptake,0.0,0.0,449.99999999998096,secretion
5,cl_e,EX_cl_e,0.2561641140701499,0.2305477026630116,0.25616411407014966,uptake,0.11286904926398589,0.10158214433759027,0.11286904926398834,uptake
6,cobalt2_e,EX_cobalt2_e,0.004921500750627283,0.00442935067556216,0.004921500750583618,uptake,0.0021684735689526603,0.0019516262120574512,0.002168473568952712,uptake
7,cu2_e,EX_cu2_e,0.03489344032194742,-999.9685959037103,0.03489344032194738,uptake,0.015374477603874353,0.013837029843487322,0.015374477603873098,uptake
8,fe2_e,EX_fe2_e,0.33047877540462206,-999.3567254013903,1000.0,uptake,-272.17370626702643,-1000.0,5.455848467879928,secretion
9,fe3_e,EX_fe3_e,0.38427077860897835,-999.3567254013875,1000.0,uptake,272.4886336834454,0.0,1000.0,uptake
10,glu__L_e,EX_glu__L_e,337.38177078747043,-1000.0,1000.0,uptake,523.2219376895363,-1000.0,672.0987710217893,uptake
11,gua_e,EX_gua_e,11.970467845735755,0.0,1000.0,uptake,5.274334892292188,-12.77161573690623,5.274334892292272,uptake
12,h2s_e,EX_h2s_e,12.110090822031015,-1000.0,628.4723533740075,uptake,3.337475985239343,-125.56770018470463,136.43519134466823,uptake
13,k_e,EX_k_e,9.606424960171925,8.645782464150102,9.606424960171925,uptake,4.232708613445771,3.809437752101303,4.23270861344588,uptake
