,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,arg__L_e,EX_arg__L_e,1000.0,699.9999999999684,1000.0,uptake,10.54159722347319,0.0,314.4537100649073,uptake
1,bz_e,EX_bz_e,0.00498526462603641,-999.985507835732,0.0049852646260364186,uptake,0.003563854743695974,0.0032074692693346563,0.003563854743695571,uptake
2,ca2_e,EX_ca2_e,0.25948302378519494,0.23353472140667275,0.2594830237851954,uptake,0.18549863940937533,0.16694877546886877,0.18549863940935435,uptake
3,cgly_e,EX_cgly_e,4.565505344524144,0.0,304.1089548101105,uptake,3.2717255703552155,0.0,52.944553012114234,uptake
4,cit_e,EX_cit_e,0.25948302378519494,0.0,1000.0,uptake,0.18549863940937533,0.0,0.18549863940935432,uptake
5,cl_e,EX_cl_e,0.25948302378519494,0.23353472140667275,0.25948302378519533,uptake,0.18549863940937533,0.16694877546886877,0.1854986394093541,uptake
6,coa_e,EX_coa_e,0.028715124245969805,-37.474156388185655,0.028715124245877632,uptake,0.02052780332477516,-26.29731445005511,0.020527803323699842,uptake
7,cobalt2_e,EX_cobalt2_e,0.00498526462603641,0.004486738163432717,0.004985264626036416,uptake,0.003563854743695974,0.0032074692693346563,0.0035638547436955704,uptake
8,cu2_e,EX_cu2_e,0.035345526198598126,0.031810973578737946,0.03534552619859813,uptake,0.025267730132804443,0.022740957119582704,0.02526773013280161,uptake
9,fe2_e,EX_fe2_e,0.33476051963834497,-1000.0,17.948343291205514,uptake,0.0,-999.74956079945,0.517578624426904,secretion
10,fe3_e,EX_fe3_e,0.389249462000923,0.350324515801276,1000.0,uptake,0.5175786244269664,0.0,1000.0,uptake
11,glu__L_e,EX_glu__L_e,39.67727248480621,-982.4732656282637,1000.0,uptake,61.073636189096796,0.0,554.9662725576792,uptake
12,gly_e,EX_gly_e,46.54277951719845,-1000.0,1000.0,uptake,8.80403984318422,-242.07636413505338,507.9236358467675,uptake
13,gua_e,EX_gua_e,11.273926688549997,0.0,1000.0,uptake,8.652397823839982,0.0,8.652397823839038,uptake
14,h2o_e,EX_h2o_e,547.6758589486275,-1000.0,1000.0,uptake,-104.47360588307765,-1000.0,1000.0,secretion
15,h2s_e,EX_h2s_e,0.011117140113783732,-299.98999457393313,304.11896023620375,uptake,5.4850931974750265,-245.06341611619723,90.232952551274,uptake
16,h_e,EX_h_e,997.1903048567681,-1000.0,1000.0,uptake,0.0,-1000.0,494.9005231856227,secretion
17,ile__L_e,EX_ile__L_e,14.483639465377331,-986.9647244811564,1000.0,uptake,10.354031548312484,-738.8331476207113,10.354031548311456,uptake
18,k_e,EX_k_e,9.730887581499262,8.757798823349233,9.730887581499292,uptake,6.956394989862492,6.260755490892405,6.956394989861696,uptake
19,leu__L_e,EX_leu__L_e,22.460162572328105,-979.7858536849031,22.460162572328137,uptake,16.056270415320917,-485.54935661405307,16.0562704153191,uptake
20,lys__L_e,EX_lys__L_e,17.107483943352793,-284.60326445101236,1000.0,uptake,0.0,0.0,499.9999999878747,secretion
21,mg2_e,EX_mg2_e,0.4324717063086584,0.38922453567778803,0.43247170630865894,uptake,0.30916439901562565,0.27824795911478134,0.3091643990155906,uptake
