,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,12ppd__S_e,EX_12ppd__S_e,11.70010500801924,0.0,1000.0,uptake,0.0,-963.3153412534487,0.0,secretion
1,LalaDgluMdapDala_e,EX_LalaDgluMdapDala_e,3.442189391688779,-16.379100835743024,3.4421893916887814,uptake,0.0,-19.34673366834167,0.0,secretion
2,acald_e,EX_acald_e,159.04577136773247,-250.00000000001125,1000.0,uptake,-470.5695826436373,-1000.0,1000.0,secretion
3,acgam_e,EX_acgam_e,6.884378783377558,0.0,172.86260757171343,uptake,0.0,0.0,43.332192124056235,secretion
4,arg__L_e,EX_arg__L_e,10.181720845464069,9.163548760917706,1000.0,uptake,0.0,0.0,0.0,secretion
5,ca2_e,EX_ca2_e,0.17916595783740086,0.16124936205366078,0.17916595783740133,uptake,0.21214983262136758,0.1909348493592309,0.212149832621368,uptake
6,cgly_e,EX_cgly_e,3.1523570449085843,0.0,225.05934356264586,uptake,0.0,0.0,283.2246756305119,secretion
7,cl_e,EX_cl_e,0.17916595783740086,0.16124936205366078,0.17916595783740094,uptake,0.21214983262136758,0.1909348493592309,0.21214983262136763,uptake
8,cobalt2_e,EX_cobalt2_e,0.0034421893916887795,0.0030979704525199016,0.003442189391688798,uptake,0.004075885352956152,0.0036682968176605384,0.004075885352956152,uptake
9,cu2_e,EX_cu2_e,0.024405122787073436,0.02196461050836609,0.024405122787073682,uptake,0.028898027152459104,0.026008224437213203,0.028898027152459118,uptake
10,fe2_e,EX_fe2_e,0.23114301765190157,-999.5500817511996,0.23114301765240952,uptake,0.27369570145100564,-999.4672532531705,15.036403273755809,uptake
11,fe3_e,EX_fe3_e,0.26876614770305995,0.24188953293275972,1000.0,uptake,0.31824512835881646,0.2864206155229567,1000.0,uptake
12,fol_e,EX_fol_e,0.02302824703039922,-25.22652205050179,0.02302824703039774,uptake,0.027267673011276427,-15.103160469534858,0.027267673011276732,uptake
13,glu__L_e,EX_glu__L_e,25.729505155522517,-1000.0,1000.0,uptake,-12.582950985085063,-1000.0,813.6715483878428,secretion
14,gly_e,EX_gly_e,17.019767759628515,-239.4433558859962,206.86678207352753,uptake,20.029348971815338,-1000.0,20.02934897181534,uptake
15,h2o_e,EX_h2o_e,1000.0,-1000.0,1000.0,uptake,-1000.0,-1000.0,1000.0,secretion
16,h_e,EX_h_e,24.07512009003307,-1000.0,1000.0,uptake,-1000.0,-1000.0,1000.0,secretion
17,his__L_e,EX_his__L_e,3.261061385898117,0.0,3.261061385898124,uptake,0.0,0.0,0.0,secretion
18,ile__L_e,EX_ile__L_e,10.000558417779501,-213.22171964623294,10.000558417779507,uptake,11.841628957090052,-989.3425339386188,11.841628957090052,uptake
19,k_e,EX_k_e,6.718912739319088,6.047021465387179,6.718912739319105,uptake,7.955842896995712,7.160258607296144,7.955842896995707,uptake
20,leu__L_e,EX_leu__L_e,15.508130288269381,-986.0426827405576,15.508130288269427,uptake,18.36312703952689,-983.473185664425,18.36312703952686,uptake
21,lys__L_e,EX_lys__L_e,11.812251538413125,-656.0356402821121,1000.0,uptake,0.0,-125.54347826087114,0.0,secretion
22,mal__L_e,EX_mal__L_e,1000.0,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
23,met__L_e,EX_met__L_e,5.2901631885098315,0.0,51.821026989231356,uptake,6.273154387881272,0.0,59.78808563127678,uptake
24,mg2_e,EX_mg2_e,0.2986099297290015,0.2687489367561014,0.29860992972900313,uptake,0.3535830543689461,0.3182247489320516,0.3535830543689461,uptake
25,mn2_e,EX_mn2_e,0.023785528696569486,0.021406975826912537,0.023785528696569615,uptake,0.028164367788927034,0.02534793101003434,0.028164367788927034,uptake
