,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ade_e,EX_ade_e,6.263682749101186,-27.97181306628318,45.78171793633883,uptake,3.055079657602741,-22.93782123111668,1000.0,uptake
1,arg__L_e,EX_arg__L_e,9.068891113044904,-58.50466466492662,208.16200200174444,uptake,4.435812322153104,0.0,53.992231089936524,uptake
2,bz_e,EX_bz_e,0.0030659690299416173,0.0027593721269474837,0.0030659690299416537,uptake,0.0014996390443802084,0.0013496751399421636,0.0014996390443802157,uptake
3,ca2_e,EX_ca2_e,0.1595836880084611,0.14362531920761645,0.15958368800846298,uptake,0.07805621225998981,0.07025059103399081,0.07805621225999018,uptake
4,cgly_e,EX_cgly_e,2.832311530169763,0.0,202.5490803771567,uptake,1.376713631912363,0.0,101.23904226872139,uptake
5,cit_e,EX_cit_e,5.9950118830060495,0.0,205.3955106947085,uptake,0.08316998140132631,0.07485298326119366,1000.0000000000007,uptake
6,cl_e,EX_cl_e,0.1595836880084611,0.14362531920761645,0.15958368800846304,uptake,0.07805621225998981,0.07025059103399081,0.07805621225998959,uptake
7,cobalt2_e,EX_cobalt2_e,0.0030659690299416173,0.0027593721269474837,0.0030659690299416503,uptake,0.0014996390443802084,0.0013496751399421874,0.0014996390443802051,uptake
8,cu2_e,EX_cu2_e,0.021737720422286055,0.01956394838005765,0.021737720422286305,uptake,0.010632440824655674,0.009569196742190105,0.010632440824655632,uptake
9,fe3_e,EX_fe3_e,63.53872316073103,0.0,1000.0,uptake,0.1170918165852067,0.10538263492668602,0.11709181658520647,uptake
10,fru_e,EX_fru_e,18.84831543883849,-92.98435024068597,240.8278355526428,uptake,476.1689435161415,0.0,566.2097873852251,uptake
11,glu__L_e,EX_glu__L_e,20.995602618588578,-1000.0,1000.0,uptake,5.423564575125567,-95.11879188238231,1000.0,uptake
12,gly_e,EX_gly_e,15.95781692642072,-1000.0,33.555529934274844,uptake,7.813989211866556,-1000.0,17.362541650310135,uptake
13,gua_e,EX_gua_e,7.423109597462565,0.0,35.96649856812576,uptake,3.6408536647271657,0.0,28.276768298255362,uptake
14,h2o_e,EX_h2o_e,622.9641754855644,-1000.0,1000.0,uptake,-1000.0,-1000.0,1000.0,secretion
15,h2s_e,EX_h2s_e,4.851804010811703,-195.63337639029223,105.64116379830726,uptake,0.0,-99.99999999999974,101.23904226872308,secretion
16,h_e,EX_h_e,77.44431327719158,-1000.0,1000.0,uptake,-474.6136903577986,-1000.0,1000.0,secretion
17,his__L_e,EX_his__L_e,2.9046377395860903,-22.38582603437261,2.904637739586121,uptake,1.4207280378649223,0.0,1.4207280378649212,uptake
18,k_e,EX_k_e,5.984556928613751,5.386101235752609,5.984556928614011,uptake,2.927190439897064,2.6344713959073576,2.927190439897064,uptake
19,lys__L_e,EX_lys__L_e,10.521209982837949,-190.53091101544692,1000.0,uptake,5.146176341085565,0.0,1000.0,uptake
20,mg2_e,EX_mg2_e,0.2659728133474352,0.23937553201269415,0.2659728133474381,uptake,0.13009368709998304,0.11708431838998473,0.13009368709998276,uptake
21,mn2_e,EX_mn2_e,0.021185845996896595,0.019067261397207127,0.02118584599689682,uptake,0.010362505796667249,0.009326255217000522,0.010362505796667226,uptake
22,nmn_e,EX_nmn_e,0.06984277450206354,0.0,0.06984277450200224,uptake,0.03416177743095728,0.030745599687932668,0.034161777430960896,uptake
