,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,4.457780458672782,0.0,19.613948360789202,uptake,6.046731113104975,0.0,56.059567502846505,uptake
1,arg__L_e,EX_arg__L_e,13.185757974317388,11.867182176885649,13.185757974317385,uptake,4.493906254792828,4.04451562931348,104.04451562931254,uptake
2,bz_e,EX_bz_e,0.004457780458672783,-151.788154569995,0.004457780458672781,uptake,0.0015192791741469784,0.0013673512567322816,0.001519279174146978,uptake
3,ca2_e,EX_ca2_e,0.23202747287391817,0.2088247255865262,0.23202747287391812,uptake,0.07907848101435018,0.07117063291291521,0.07907848101435015,uptake
4,cl_e,EX_cl_e,0.23202747287391817,0.20882472558652643,0.2320274728739182,uptake,0.07907848101435018,0.07117063291291521,0.07907848101435015,uptake
5,cobalt2_e,EX_cobalt2_e,0.004457780458672783,0.004012002412805493,0.004457780458672782,uptake,0.0015192791741469784,0.0013673512567322816,0.0015192791741469778,uptake
6,cu2_e,EX_cu2_e,0.031605663451990014,0.02844509710679101,0.03160566345199001,uptake,0.010771689344702072,0.009694520410231873,0.01077168934470206,uptake
7,fe2_e,EX_fe2_e,0.2993399577998774,0.2694059620198897,0.29933995779987754,uptake,0.10201959654396961,0.09181763688957273,4.439643723846061,uptake
8,fe3_e,EX_fe3_e,0.34806349821317095,0.3132571483918538,0.34806349821317084,uptake,0.1186253179173961,0.10676278612565658,0.11862531791739542,uptake
9,fol_e,EX_fol_e,0.029822551268520847,-42.914014065719684,0.029822551268523963,uptake,0.010163977675043253,0.0,0.010163977675043257,uptake
10,glu__L_e,EX_glu__L_e,699.4090938541517,129.46818446875068,1000.0,uptake,0.0,-1000.0,1000.0,secretion
11,glyc3p_e,EX_glyc3p_e,1000.0,445.13564888694066,1000.0,uptake,0.0,-16.666666666666043,0.0,secretion
12,gua_e,EX_gua_e,10.792866001906457,0.0,94.71357940171593,uptake,3.6851483720191776,0.0,3.6948992460862877,uptake
13,h2o_e,EX_h2o_e,194.53646859997278,-825.3156904597001,1000.0,uptake,-191.6681231067662,-1000.0,1000.0,secretion
14,h2s_e,EX_h2s_e,4.11805300991733,-102.54375229107384,285.6456272365329,uptake,0.0,-99.99999999999551,34.2819978592677,secretion
15,his__L_e,EX_his__L_e,4.223212050937422,3.8008908458436794,4.223212050937426,uptake,1.819929329918925,1.2954012336030292,24.90712667281452,uptake
16,ile__L_e,EX_ile__L_e,12.951144988777457,11.656030489899711,12.95114498877745,uptake,4.412427312683331,-99.36597289576159,4.413946591857481,uptake
17,k_e,EX_k_e,8.701275410697178,7.8311478696274435,8.701275410697178,uptake,2.9655265983927155,2.668973938553446,2.9655265983927146,uptake
18,leu__L_e,EX_leu__L_e,20.08368287826308,18.07531459043678,20.083682878263062,uptake,6.844823656076126,-93.83965870954295,6.844823656076122,uptake
19,lys__L_e,EX_lys__L_e,15.297363999786098,0.0,15.297363999786093,uptake,0.0,-49.999999999999375,99.9999999999988,secretion
20,mg2_e,EX_mg2_e,0.38671245478986377,0.3480412093108764,0.3867124547898637,uptake,0.13179746835725034,0.1186177215215254,0.13179746835725029,uptake
21,mn2_e,EX_mn2_e,0.03080326296942895,0.02772293667248598,0.030803262969428945,uptake,0.010498219093355628,0.009448397184020074,0.010498219093355625,uptake
22,nmn_e,EX_nmn_e,0.10154823884855937,0.09139341496450015,0.10154823884869302,uptake,0.03460917958709331,0.0,0.03460917958706989,uptake
23,o2_e,EX_o2_e,1000.0,580.1783471053451,1000.0,uptake,0.0,0.0,1000.0,secretion
24,pnto__R_e,EX_pnto__R_e,0.025676815441955242,0.02310913389779492,0.025676815441951995,uptake,0.008751048043086485,0.007875943238900618,0.008751048043086487,uptake
25,pro__L_e,EX_pro__L_e,9.854146592919022,-1000.0,9.854146592919532,uptake,3.3584425784106067,-96.9774016794275,3.358442578410606,uptake
26,so4_e,EX_so4_e,0.19337851629722536,0.17404066466750295,106.4240406646692,uptake,0.06590633057449595,0.0593156975170464,33.39264903085002,uptake
27,thr__L_e,EX_thr__L_e,37.44798594332198,0.0,458.7031873489918,uptake,3.8542137585182483,0.0,103.46879238265957,uptake
28,tyr__L_e,EX_tyr__L_e,6.157041791714266,5.5413376125428435,6.157041791714271,uptake,2.098413202540067,1.888571882286062,2.0984132025400664,uptake
29,val__L_e,EX_val__L_e,18.86363294452891,16.977269650076032,18.863632944528923,uptake,0.0,-985.0885286253687,105.78611092501347,secretion
30,zn2_e,EX_zn2_e,0.015201031364074176,0.013680928227666719,0.015201031364074172,uptake,0.005180741983841192,0.004662667785457077,0.00518074198384119,uptake
31,acald_e,EX_acald_e,-170.89089214468055,-754.9480893338425,382.5138074296436,secretion,-29.807634492302196,-1000.0,1000.0,secretion
32,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
33,ala__L_e,EX_ala__L_e,-264.1756987791916,-1000.0,1000.0,secretion,25.202441038003265,-1000.0,1000.0,uptake
34,but_e,EX_but_e,0.0,0.0,53.283582089551615,secretion,0.0,0.0,99.99999999999872,secretion
35,co2_e,EX_co2_e,-1000.0000000000088,-1000.0,-564.6035416758591,secretion,-1000.0000000000007,-1000.0,-900.0000000000014,secretion
36,etha_e,EX_etha_e,0.0,-33.99999999999954,0.0,secretion,0.0,0.0,1000.0,secretion
37,for_e,EX_for_e,0.0,0.0,425.00000000000193,secretion,0.0,0.0,20.31706607560105,secretion
38,fru_e,EX_fru_e,0.0,0.0,425.0000000000025,secretion,511.0108542722972,0.0,541.9211404420481,uptake
39,galt_e,EX_galt_e,0.0,0.0,171.30468713663447,secretion,0.0,0.0,541.9211404420672,secretion
40,glyc_e,EX_glyc_e,0.0,-554.8643511130589,286.78848891601587,secretion,0.0,-12.499999999999533,1000.0,secretion
