,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,25.355189635452916,0.0,108.53395638091195,uptake,0.0,0.0,1000.0,secretion
1,4hphac_e,EX_4hphac_e,499.99713303000465,328.5688483049859,500.00000000000006,uptake,0.0,0.0,499.9938542484712,secretion
2,LalaLglu_e,EX_LalaLglu_e,9.33785217825266,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
3,ade_e,EX_ade_e,5.253043249424843,-26.522642469397923,1000.0,uptake,-334.1131036153208,-1000.0,1000.0,secretion
4,arg__L_e,EX_arg__L_e,7.605633801932197,0.0,528.3433108846032,uptake,24.15365070461028,-78.26171436585207,1000.0,uptake
5,ca2_e,EX_ca2_e,0.13383500547363378,0.1204515049267824,0.13383500547326935,uptake,0.42502755962803757,0.3825248036652336,0.4250275596280376,uptake
6,cgly_e,EX_cgly_e,2.369586698257059,0.0,173.5611994462523,uptake,0.0,-1000.0,500.0000000000051,secretion
7,cl_e,EX_cl_e,0.13383500547363378,0.1204515049267824,0.13383500547326954,uptake,0.42502755962803757,0.3825248036652336,0.42502755962803773,uptake
8,cobalt2_e,EX_cobalt2_e,0.0025712777228363856,0.0023141499505625837,0.0025712777228293878,uptake,0.008165755228204378,0.007349179705383936,0.008165755228204386,uptake
9,cu2_e,EX_cu2_e,0.018230359054909964,0.016407323149488708,0.018230359054860413,uptake,0.05789520456796901,-999.9478943158888,0.05789520454625668,uptake
10,cytd_e,EX_cytd_e,13.817275099207688,0.0,69.57840472861194,uptake,22.66911640412277,-1000.0,1000.0,uptake
11,fe2_e,EX_fe2_e,0.1726612990884633,-85.5588905397291,9.951313535912877,uptake,1.1859126317921218,-1000.0,1000.0,uptake
12,fe3_e,EX_fe3_e,0.20076536459906505,0.18068882813992657,0.20076536459851835,uptake,0.0,-1000.0,1000.0,secretion
13,fum_e,EX_fum_e,499.9945617522818,328.5665341550404,1000.0,uptake,0.0,-1000.0,1000.0,secretion
14,gam_e,EX_gam_e,5.142555445672771,0.0,14.462647797577404,uptake,16.331510456408754,0.0,514.6983594107661,uptake
15,gln__L_e,EX_gln__L_e,6.766574455416228,0.0,179.50499441642134,uptake,21.54363036101931,0.0,534.087626735686,uptake
16,gly_e,EX_gly_e,12.683958730088591,-1000.0,184.97676230338584,uptake,49.99010024664891,-1000.0,1000.0,uptake
17,gua_e,EX_gua_e,184.65943379592065,0.0,1000.0,uptake,19.86140312645698,0.0,1000.0,uptake
18,h2o_e,EX_h2o_e,579.8038875087607,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
19,his__L_e,EX_his__L_e,2.4359770890607355,0.0,2.4359770890541177,uptake,7.736073188096265,-76.37086746404701,7.736073188096263,uptake
